id,name,count
2,terrainFiller,3470
5,terrDirt,34
14,terrDestroyedStone,24
16,terrGravel,639
259,woodShapes:cube,823
261,woodShapes:cubeHalfInsideCorner,2
268,woodShapes:cubeHalfCorner,1
274,woodShapes:cubeHalf,108
310,woodShapes:pole,16
368,woodShapes:cubeQuarterCenteredSquareTop,2
375,woodShapes:plate,44
415,woodShapes:platePole,6
694,woodShapes:rampFrame,5
695,woodShapes:ramp,254
698,woodShapes:rampTipOffset,4
699,woodShapes:rampTipOffsetHalfLeft,1
700,woodShapes:rampTipOffsetHalfRight,1
702,woodShapes:rampInsideCornerFull,14
730,woodShapes:wedge60Tip,33
731,woodShapes:wedge60TipHalf,26
732,woodShapes:wedge60TipHalfOutsideCorner,2
737,woodShapes:wedge60TipCorner,2
739,woodShapes:wedge60InsideCorner,2
742,woodShapes:wedge60Incline,22
752,woodShapes:wedge60InclineCorner,2
775,woodShapes:rampInclineInsideCnr,4
776,woodShapes:rampInclineHalfLeft,23
777,woodShapes:rampInclineHalfRight,16
975,woodShapes:halfRampStairs50,20
976,woodShapes:halfRampStairs50Filler,8
977,woodShapes:rampIncline,55
978,woodShapes:rampInclineFiller,87
979,woodShapes:rampInclineFillerHalfLeft,20
980,woodShapes:rampInclineFillerHalfRight,14
981,woodShapes:rampInclineInsideCnrFiller,6
985,woodShapes:rampInclineSplitRampTipOffsetLeft,1
986,woodShapes:rampInclineSplitRampTipOffsetRight,1
1137,woodShapes:stairsFilledQuarterVerticalUV,26
1149,woodShapes:stairsRailing,4
1151,woodShapes:stairsFilledRailingLeft,5
1152,woodShapes:stairsFilledRailingRight,5
1197,woodShapes:catwalkV1RailOnly,5
1261,woodShapes:railing,23
1264,woodShapes:railingBroke01,10
1274,woodShapes:cubeBaseboard,89
1278,woodShapes:cubeBaseboard2Sided,4
1280,woodShapes:cubeBaseboard4Sided,25
1285,woodShapes:halfBaseboard,2
1286,woodShapes:halfBaseboardOffset,3
1287,woodShapes:cubeHalfBaseboard2SidedLeft,1
1288,woodShapes:cubeHalfBaseboard2SidedRight,1
1290,woodShapes:halfBaseboard4Sided,4
1400,woodShapes:cubeTrimQuarterEdge,10
