id,name,count
2,terrainFiller,88717
5,terrDirt,156
14,terrDestroyedStone,82
16,terrGravel,508
17,terrAsphalt,2353
259,woodShapes:cube,6641
274,woodShapes:cubeHalf,259
285,woodShapes:halfBlockPoleQuarter,11
291,woodShapes:cubeQuarter,114
292,woodShapes:cubeQuarterCenter,27
293,woodShapes:quarterCenteredWall,40
299,woodShapes:quarterCenteredTee,1
312,woodShapes:poleSideCentered,5
315,woodShapes:poleHalfSideCentered,1
359,woodShapes:polePlate,24
368,woodShapes:cubeQuarterCenteredSquareTop,17
371,woodShapes:cubeHalfPlateCorner,3
375,woodShapes:plate,306
376,woodShapes:plateCentered,4
404,woodShapes:plateThreeQuarter,8
405,woodShapes:plateHalf,28
410,woodShapes:plateHalfTriangle,18
411,woodShapes:plateQuarterTriangle,9
412,woodShapes:plateQuarterTriangleCorner,4
512,woodShapes:poleSupportCenter,1
652,woodShapes:arch,18
677,woodShapes:cornerRound,1
686,woodShapes:cubeHalfQuarterRoundInside,2
976,woodShapes:halfRampStairs50Filler,10
1123,woodShapes:cubeHalfPillar0.025,1
1137,woodShapes:stairsFilledQuarterVerticalUV,15
1274,woodShapes:cubeBaseboard,301
1278,woodShapes:cubeBaseboard2Sided,1
1280,woodShapes:cubeBaseboard4Sided,341
1285,woodShapes:halfBaseboard,3
1286,woodShapes:halfBaseboardOffset,2
1290,woodShapes:halfBaseboard4Sided,23
1295,woodShapes:cubeBaseboardChairRail,40
1296,woodShapes:cubeBaseboardChairRail2Sided,2
1297,woodShapes:cubeBaseboardChairRail3Sided,4
1298,woodShapes:cubeBaseboardChairRail4Sided,42
1302,woodShapes:halfChairRailOffset,3
1306,woodShapes:halfChairRail4Sided,4
1310,woodShapes:cubeQuarterBaseboardChairRail4SidedCentered,1
1321,woodShapes:counterBottomFiller,10
1322,woodShapes:counterRound1m,1
1330,woodShapes:cubeTrimHalfSplit,4
1428,woodShapes:cubeTrimQuarterSquare,1
1510,woodShapes:cubeTrimQuarterEdgeTwoSided,5
1590,woodShapes:halfCrown,15
1596,woodShapes:halfCrownCorner1,5
1597,woodShapes:halfCrownCorner2,5
1599,woodShapes:halfCrownCorner4,1
1600,woodShapes:halfCrownCorner5,1
1601,woodShapes:halfCrownCorner6,1
1610,woodShapes:crown,1016
1611,woodShapes:crownStraight,56
1614,woodShapes:crownHalfRight,2
1615,woodShapes:crownInsideCorner,424
1629,woodShapes:doorTrim1m,26
1635,woodShapes:doorTrim2m,6
1636,woodShapes:doorTrimTop,3
1872,woodShapes:windowBoarded,7
1877,woodShapes:windowCentered,48
1927,woodShapes:concreteDestroyed08,1
1939,woodShapes:plateDestroyed,1
1943,woodShapes:plateDiagonalDestroyed02,1
1945,woodShapes:plateDiagonalDestroyed04,1
1975,woodShapes:woodDebris01,27
1976,woodShapes:woodDebris02,24
1977,woodShapes:woodDebris03,35
1992,woodShapes:sawhorse,2
1993,woodShapes:floorJoist,111
1995,woodShapes:floorJoist2,42
2040,woodShapes:coffeeTable,13
2041,woodShapes:table,4
2042,woodShapes:tableDynamic,5
2043,woodShapes:tableDynamicHalf,2
2055,woodShapes:cupboardCorner,1
2063,woodShapes:plateCounter02,13
2064,woodShapes:plateCounter03,3
2065,woodShapes:plateCounterSquareHole,1
2071,woodShapes:cubeTileBroken,65
2079,woodShapes:bookcaseEmpty,20
2081,woodShapes:bookcaseHalfEmpty,17
2085,woodShapes:bookcaseQuarterDoubleEmpty,2
2091,woodShapes:tvStand04,1
2092,woodShapes:tvStand05,1
2111,woodShapes:ladderSquare,14
2113,woodShapes:ladderSquareBroken02,1
2114,woodShapes:ladderSquareBroken03,1
2115,woodShapes:trellisSquare,72
2311,woodShapes:cubeHalf3x3x1Destroyed,3
2317,brickShapes:cube,3407
2332,brickShapes:cubeHalf,28
3332,brickShapes:cubeBaseboard,400
3336,brickShapes:cubeBaseboard2Sided,3
3338,brickShapes:cubeBaseboard4Sided,1
3353,brickShapes:cubeBaseboardChairRail,75
3356,brickShapes:cubeBaseboardChairRail4Sided,2
3359,brickShapes:halfChairRail,10
3551,brickShapes:cubeTrimHalfSplitDiagonal,1
3648,brickShapes:halfCrown,2
3655,brickShapes:halfCrownCorner2,1
3941,brickShapes:brickDestroyed01,7
3942,brickShapes:brickDestroyed02,3
3943,brickShapes:brickDestroyed03,1
3944,brickShapes:brickDestroyed04,1
3950,brickShapes:brickHalfDestroyed01,1
3951,brickShapes:brickHalfDestroyed02,1
3952,brickShapes:brickHalfDestroyed03,1
3953,brickShapes:brickHalfDestroyed04,1
3955,brickShapes:brickHalfDestroyed06,1
3956,brickShapes:brickHalfDestroyed07,1
6433,concreteShapes:cube,9117
6442,concreteShapes:cubeHalfCorner,9
6448,concreteShapes:cubeHalf,1394
6449,concreteShapes:cubeHalfCentered,9
6451,concreteShapes:cubeCornerBeveled,37
6458,concreteShapes:cubeHalfCornerBeveled,7
6459,concreteShapes:halfBlockPoleQuarter,1
6465,concreteShapes:cubeQuarter,265
6466,concreteShapes:cubeQuarterCenter,4
6470,concreteShapes:quarterInsideCorner,8
6479,concreteShapes:cubeEighth,20
6586,concreteShapes:plateQuarterTriangleCorner,1
6621,concreteShapes:pillar100,2
6633,concreteShapes:pillar50,8
6713,concreteShapes:3mTunnelCenter,8
