id,name,count
2,terrainFiller,12933
5,terrDirt,427
8,terrBurntForestGround,11
16,terrGravel,148
375,woodShapes:plate,18
415,woodShapes:platePole,4
499,woodShapes:pillar0.05Centered,12
1147,woodShapes:stairs,5
1939,woodShapes:plateDestroyed,2
2111,woodShapes:ladderSquare,4
2257,woodShapes:barrierGateBase,1
2259,woodShapes:barrierGateMiddle,3
2260,woodShapes:barrierGateTip,1
2261,woodShapes:barrierGateTip2,1
6533,concreteShapes:polePlate,324
8098,concreteShapes:concreteDestroyed05,2
8102,concreteShapes:concreteDestroyed09,1
12622,corrugatedMetalShapes:cubeHalf,11
12625,corrugatedMetalShapes:cubeCornerBeveled,7
12653,corrugatedMetalShapes:cubeEighth,1
12658,corrugatedMetalShapes:pole,16
12661,corrugatedMetalShapes:poleHalf,20
12664,corrugatedMetalShapes:poleTwoWayCorner,38
12665,corrugatedMetalShapes:poleThreeWayCorner,4
12670,corrugatedMetalShapes:poleSquareCornerBracketLeft,6
12673,corrugatedMetalShapes:poleSquareBracketCorner,4
12723,corrugatedMetalShapes:plate,192
12753,corrugatedMetalShapes:plateHalf,70
12756,corrugatedMetalShapes:plateQuarter,20
12763,corrugatedMetalShapes:platePole,28
12767,corrugatedMetalShapes:platePoleCorner,2
12803,corrugatedMetalShapes:plateQuarterRoundCorner,4
12836,corrugatedMetalShapes:pillar0.025,6
12838,corrugatedMetalShapes:pillar0.025Centered,3
12842,corrugatedMetalShapes:pillar0.025Double,2
12845,corrugatedMetalShapes:pillar0.05,22
12847,corrugatedMetalShapes:pillar0.05Centered,1
13036,corrugatedMetalShapes:cubeQuarterRoundOutside,8
13037,corrugatedMetalShapes:cubeHalfQuarterRoundOutside,8
13193,corrugatedMetalShapes:wedgeNarrowLow,8
13498,corrugatedMetalShapes:stairsRailingMetal,2
13548,corrugatedMetalShapes:catwalkV2,1
13562,corrugatedMetalShapes:catwalkV2Railing2EndLeft,1
13563,corrugatedMetalShapes:catwalkV2Railing2EndRight,1
13588,corrugatedMetalShapes:catwalkV2RailOnly,1
13657,corrugatedMetalShapes:cubeQuarterBaseboardChairRail4Sided,1
13973,corrugatedMetalShapes:doorTrimCorner,4
13975,corrugatedMetalShapes:doorTrim0.5m,12
13977,corrugatedMetalShapes:doorTrim1m,48
13978,corrugatedMetalShapes:doorTrim1mOffCenter,6
14028,corrugatedMetalShapes:windowStoreThreeSidedFull,2
14092,corrugatedMetalShapes:windowPlateRoundedSquare3SidedFull,4
14120,corrugatedMetalShapes:windowPlateRoundedSquare3SidedEmpty,2
14226,corrugatedMetalShapes:windowPanel,4
14330,corrugatedMetalShapes:scaffoldingLadder,4
14347,corrugatedMetalShapes:iBeamSmall,50
14392,corrugatedMetalShapes:prepTable,2
14393,corrugatedMetalShapes:prepTableDynamic,1
14404,corrugatedMetalShapes:buffetCounter,2
14409,corrugatedMetalShapes:counterHollowCombo,1
14415,corrugatedMetalShapes:plateCounterHoleSquare,1
14509,corrugatedMetalShapes:roadPaintDiagonal,32
14510,corrugatedMetalShapes:roadPaintDashDiagonalFiller,16
16911,cntAmmoPileSmall,1
16916,cntMilitaryGoodsC,1
16917,cntMilitaryGoodsD,1
16922,cntMedicLootPileACorner,1
16923,cntMedicLootPileB,1
16929,cntFoodPileSmallCornerRandomHelper,3
16936,cntShippingCrateShotgunMessiah,1
16955,cntLootChestHero,1
16974,cntQuestInfestedT3LootHelper,1
16988,cntWoodenChestMilitaryClosed,1
16989,cntWoodenChestMilitaryOpen,2
16990,cntWoodenChestMilitaryRandomLootHelper,3
17016,cntFootlockerOpenBrown,3
17028,cntFootlockerBrownRandomLootHelper,2
17070,utilitySink,1
17071,sinkKitchen,1
17110,cntPillCaseClosed,1
17111,cntPillCaseRandomLootHelper,1
17144,laundryLoose,5
17145,cntTrashPile01,1
17146,cntTrashPile02,2
17147,cntTrashPile03,3
17148,cntTrashPile04,1
17150,cntTrashPile06,1
17151,cntTrashPile07,1
17152,cntTrashPile08,1
17154,garbage_decor1,6
17155,garbage_decor2,6
17156,garbage_decor3,6
17218,cntBruteStyleTrashCanRandomLootHelper,1
17265,cntDuffle01,2
17297,cntBagsRandomLootHelper,3
17310,airConditioner,3
17313,satelliteUnitLarge,1
17516,cntgasRangeBlack,1
17528,cntwallOvenBlackRandomLootHelper,1
17573,cntCoffeeMaker,1
17577,decoCookingPot,1
17585,radioHam,1
17587,decoComputerMonitorKeyboardMousePC,1
17591,decoLaptop,3
17600,decoServerRackArmyGreen,1
17653,lightCeiling07,1
17673,lightIndustrial,3
17677,lightIndustrialHangingWhite,5
17796,spotlightUpLeft_POI,1
17797,spotlightUpStraight_POI,4
17819,lightDisplayXRayFull,1
18012,tentBiohazardWire01,20
18013,tentBiohazardCapLeftCamo,8
18014,tentBiohazardCapCenterCamo,8
18015,tentBiohazardCapRightCamo,8
18017,tentBiohazardWallWindowCamo,7
18018,tentBiohazardWallRollupCamo,1
18020,tentBiohazardWallMedicLogoCamo,1
18021,tentBiohazardWallTubeCamo,3
18022,tentBiohazardWallThinCamo,20
18025,tentBiohazardRoofCamo,12
18026,tentBiohazardRoofThinCamo,20
18029,tentBiohazardRoofCenterCamo,2
18030,tentBiohazardRoofCenterSupportCamo,5
18031,tentBiohazardRoofCenterThinCamo,7
18033,tentBiohazardDoorCamo,3
18159,sandbagStraight01,24
18160,sandbagCorner01Short,22
18162,sandbagEnd00,147
18163,sandbagEnd01,13
18164,sandbagEnd02,5
18165,sandbagPile01,3
18166,sandbagPile02,1
18167,sandbagSingle01,1
18168,sandbagSingle02,1
18171,sandbagSingle05,2
18176,chainlinkFencePole,15
18177,chainlinkFencePole02,15
18178,chainlinkFencePole03,1
18192,chainlinkFenceBottomPlain,36
18193,chainlinkFenceBottomPlainPoleLeft,30
18194,chainlinkFenceBottomPlainPoleRight,30
18195,chainlinkFenceBottomPlainCorner,2
18196,chainlinkFenceTopPlainRail,18
