id,name,count
2,terrainFiller,17020
16,terrGravel,7
17,terrAsphalt,2745
259,woodShapes:cube,5
274,woodShapes:cubeHalf,13
368,woodShapes:cubeQuarterCenteredSquareTop,1
375,woodShapes:plate,10
439,woodShapes:billboard,1
476,woodShapes:pillar50CenteredSquareTop,2
1137,woodShapes:stairsFilledQuarterVerticalUV,12
1636,woodShapes:doorTrimTop,36
2041,woodShapes:table,1
2042,woodShapes:tableDynamic,4
2052,woodShapes:cabinetAjar,1
2129,woodShapes:fenceBroken2,1
2317,brickShapes:cube,248
3332,brickShapes:cubeBaseboard,10
3954,brickShapes:brickHalfDestroyed05,1
6433,concreteShapes:cube,1241
6448,concreteShapes:cubeHalf,13
6449,concreteShapes:cubeHalfCentered,158
6466,concreteShapes:cubeQuarterCenter,16
6613,concreteShapes:billboard,1
6621,concreteShapes:pillar100,3
6903,concreteShapes:wedge60,40
7311,concreteShapes:stairsFilledQuarterVerticalUV,2
7312,concreteShapes:stairsFilledVerticalUV,8
7448,concreteShapes:cubeBaseboard,117
7454,concreteShapes:cubeBaseboard4Sided,10
7574,concreteShapes:cubeTrimQuarterEdge,102
7609,concreteShapes:cubeTrimQuarterCornerInside,7
7684,concreteShapes:cubeTrimQuarterEdgeTwoSided,58
7690,concreteShapes:cubeTrimQuarterCornerOutsideTwoSided,10
7696,concreteShapes:cubeTrimQuarterEdgeDouble,27
7701,concreteShapes:cubeTrimCornerRound,6
7705,concreteShapes:cubeTrimQuarterEdgeRound,4
8229,concreteShapes:cupboardCorner,6
8245,concreteShapes:cubeTileBroken,4
8491,steelShapes:cube,8
8507,steelShapes:cubeHalfCentered,2
8523,steelShapes:cubeQuarter,4
8542,steelShapes:pole,12
8607,steelShapes:plate,1
8679,steelShapes:pillar100,3
8690,steelShapes:pillar100Cap,2
8691,steelShapes:pillar50,20
9857,steelShapes:doorTrimCorner,4
9861,steelShapes:doorTrim1m,20
9864,steelShapes:doorTrimDiagonal,4
12607,corrugatedMetalShapes:cube,554
12622,corrugatedMetalShapes:cubeHalf,369
12660,corrugatedMetalShapes:poleSideCentered,2
12723,corrugatedMetalShapes:plate,25
12787,corrugatedMetalShapes:billboard,1
12795,corrugatedMetalShapes:pillar100,16
12807,corrugatedMetalShapes:pillar50,16
12836,corrugatedMetalShapes:pillar0.025,1
12838,corrugatedMetalShapes:pillar0.025Centered,6
12845,corrugatedMetalShapes:pillar0.05,9
12847,corrugatedMetalShapes:pillar0.05Centered,10
12849,corrugatedMetalShapes:pillar0.05Middle,10
12887,corrugatedMetalShapes:3mTunnelCenter,1
