id,name,count
2,terrainFiller,12236
5,terrDirt,8
16,terrGravel,111
17,terrAsphalt,778
18,terrConcrete,12
29,terrStoneHelper,311
259,woodShapes:cube,177
274,woodShapes:cubeHalf,2
275,woodShapes:cubeHalfCentered,12
375,woodShapes:plate,23
378,woodShapes:plateCladding01,13
379,woodShapes:plateCladding02,7
380,woodShapes:plateCladding03,8
382,woodShapes:plateCladding05,4
387,woodShapes:plateCorner,1
392,woodShapes:plateHalfThreeSidedHalf,4
405,woodShapes:plateHalf,28
1000,woodShapes:plateRamp,1
1294,woodShapes:cubeBaseboardChairRail,7
1579,woodShapes:plateTrimSplit,18
1624,woodShapes:doorTrimCorner,6
1626,woodShapes:doorTrim0.5m,2
1628,woodShapes:doorTrim1m,43
1876,woodShapes:windowCentered,1
1877,woodShapes:windowPanel,13
1939,woodShapes:plateDestroyed02,1
2039,woodShapes:coffeeTable,6
2041,woodShapes:tableDynamic,2
2051,woodShapes:cabinetAjar,7
2052,woodShapes:cabinetBrokenDoor,1
2053,woodShapes:cupboardAjar,6
2073,woodShapes:cubeBookcase,2
2079,woodShapes:bookcaseEmpty,1
2081,woodShapes:bookcaseHalfEmpty,2
2087,woodShapes:bookcaseOpenEnded,4
2093,woodShapes:storageCube,4
2094,woodShapes:storageCubeHalf,6
2107,woodShapes:mirrorRound,2
2111,woodShapes:ladderSquare,7
2113,woodShapes:ladderSquareBroken02,1
2114,woodShapes:ladderSquareBroken03,1
2152,woodShapes:plateSidewalkBroke01,1
6433,concreteShapes:cube,2188
6448,concreteShapes:cubeHalf,165
6451,concreteShapes:cubeCornerBeveled,8
6452,concreteShapes:cubeCornerBeveledCorner,2
6454,concreteShapes:cubeHalfSplitBeveledCorner,3
6465,concreteShapes:cubeQuarter,22
6466,concreteShapes:cubeQuarterCenter,4
6479,concreteShapes:cubeEighth,2
6484,concreteShapes:pole,26
6540,concreteShapes:poleSquareCornerRound,4
6542,concreteShapes:cubeQuarterCenteredSquareTop,4
6545,concreteShapes:cubeHalfPlateCorner,6
6549,concreteShapes:plate,21
6564,concreteShapes:plateCornerHalf,3
6579,concreteShapes:plateHalf,133
6584,concreteShapes:plateHalfTriangle,4
6585,concreteShapes:plateQuarterTriangle,10
6612,concreteShapes:billboardHalf,2
6613,concreteShapes:billboard,16
6712,concreteShapes:3mTunnelCenter,68
6713,concreteShapes:3mTunnelCenterCorner,2
6716,concreteShapes:3mTunnelCorner,68
6717,concreteShapes:3mTunnelInsideCorner,2
6718,concreteShapes:3mTunnelInsideCenter,1
6719,concreteShapes:3mTunnelOutsideCorner,2
6720,concreteShapes:3mTunnelOutsideCenter,1
6868,concreteShapes:ramp,22
6896,concreteShapes:rampSplitLeft04,4
7151,concreteShapes:rampInclineFiller,12
7174,concreteShapes:plateRamp,2
7311,concreteShapes:stairsFilledVerticalUV,4
7330,concreteShapes:stairsHollow,6
7447,concreteShapes:cubeBaseboard,129
7453,concreteShapes:cubeBaseboard4Sided,8
7459,concreteShapes:halfBaseboardOffset,3
7463,concreteShapes:halfBaseboard4Sided,4
7468,concreteShapes:cubeBaseboardChairRail,6
7469,concreteShapes:cubeBaseboardChairRail2Sided,2
7474,concreteShapes:halfChairRail,3
7502,concreteShapes:cubeTrimHalfSplit4Sided,9
7503,concreteShapes:cubeTrimHalfSplit,190
7506,concreteShapes:halfTrimSplit,7
7507,concreteShapes:halfTrimSplitOffset,4
7508,concreteShapes:halfTrimSplit2,24
7510,concreteShapes:cubeTrimHalfCorner,1
7518,concreteShapes:cubeTrimCornerQuarter,41
7530,concreteShapes:cubeTrimRoundHalf,4
7573,concreteShapes:cubeTrimQuarterEdge,2
7636,concreteShapes:cubeTrimQuarterCornerDiagonal,2
7657,concreteShapes:cubeTrimQuarterEdgeDiagonalFiller2Left,10
7663,concreteShapes:cubeTrimQuarterEdgeCornerDiagonalFiller2,2
7798,concreteShapes:doorTrimCorner,1
7800,concreteShapes:doorTrim0.5m,14
7802,concreteShapes:doorTrim1m,12
8074,concreteShapes:cubeTrimDestroyed01,4
8076,concreteShapes:cubeTrimDestroyed03,4
8097,concreteShapes:concreteDestroyed05,8
8100,concreteShapes:concreteDestroyed08,12
8101,concreteShapes:concreteDestroyed09,4
8148,concreteShapes:woodDebris01,1
8149,concreteShapes:woodDebris02,1
8243,concreteShapes:counterWallMountRound,2
8245,concreteShapes:cubeTileBroken,3
8322,concreteShapes:farmPlot,52
8329,concreteShapes:plateSidewalkBroke04,14
8333,concreteShapes:roadPaintDashCNTR,42
8339,concreteShapes:roadPaintHandicapOffset,1
8340,concreteShapes:roadPaintArrowStraight,4
8341,concreteShapes:roadPaintArrowLeft,2
8486,concreteShapes:cubeHalf3x3x1DestroyedOffset,1
12448,awningShapes:roadPaintDash,14
12607,corrugatedMetalShapes:cube,63
12622,corrugatedMetalShapes:cubeHalf,33
12658,corrugatedMetalShapes:pole,28
12685,corrugatedMetalShapes:cubePoleCorner,4
12723,corrugatedMetalShapes:plate,4
12753,corrugatedMetalShapes:plateHalf,20
12829,corrugatedMetalShapes:halfBlockPillar50,4
12835,corrugatedMetalShapes:pillar0.025,13
12837,corrugatedMetalShapes:pillar0.025Centered,8
12841,corrugatedMetalShapes:pillar0.025Double,4
13076,corrugatedMetalShapes:wedge60,54
13077,corrugatedMetalShapes:wedge60Tip,47
13078,corrugatedMetalShapes:wedge60TipHalf,78
13079,corrugatedMetalShapes:wedge60TipHalfOutsideCorner,12
13083,corrugatedMetalShapes:wedge60Corner,12
13084,corrugatedMetalShapes:wedge60TipCorner,12
13086,corrugatedMetalShapes:wedge60InsideCorner,2
13276,corrugatedMetalShapes:gable3Quarter,4
13306,corrugatedMetalShapes:gableWedge60CubeHalf,2
13325,corrugatedMetalShapes:rampInclineFiller,3
13476,corrugatedMetalShapes:pillar50PlatePillar0.025,7
13497,corrugatedMetalShapes:stairsRailingMetal,2
13532,corrugatedMetalShapes:railingFloatLeft,5
13533,corrugatedMetalShapes:railingFloatRight,5
13587,corrugatedMetalShapes:catwalkV2RailOnly,4
13605,corrugatedMetalShapes:ladderRails,3
13676,corrugatedMetalShapes:cubeTrimHalfSplit4Sided,8
13677,corrugatedMetalShapes:cubeTrimHalfSplit,4
13972,corrugatedMetalShapes:doorTrimCorner,12
13974,corrugatedMetalShapes:doorTrim0.5m,11
13975,corrugatedMetalShapes:doorTrim0.6m,2
13976,corrugatedMetalShapes:doorTrim1m,75
13977,corrugatedMetalShapes:doorTrim1mOffCenter,1
13979,corrugatedMetalShapes:doorTrimDiagonal,2
13984,corrugatedMetalShapes:doorTrimTwoSided,9
14025,corrugatedMetalShapes:windowStoreOneSidedFull,4
14026,corrugatedMetalShapes:windowStoreTwoSidedFull,5
14027,corrugatedMetalShapes:windowStoreThreeSidedFull,8
14028,corrugatedMetalShapes:windowStoreFourSidedFull,2
14029,corrugatedMetalShapes:windowStoreCornerFull,24
14042,corrugatedMetalShapes:windowStoreThreeSidedBroken,4
14043,corrugatedMetalShapes:windowStoreFourSidedBroken,21
14225,corrugatedMetalShapes:windowPanel,3
14443,corrugatedMetalShapes:morticianDrawer,9
14456,corrugatedMetalShapes:ladderRound,8
14457,corrugatedMetalShapes:ladderRoundBroken1,1
14496,corrugatedMetalShapes:farmPlot,12
14620,corrugatedMetalShapes:signLetter_a,4
14621,corrugatedMetalShapes:signLetter_b,4
14626,corrugatedMetalShapes:signLetter_g,10
14628,corrugatedMetalShapes:signLetter_i,5
14630,corrugatedMetalShapes:signLetter_k,4
14633,corrugatedMetalShapes:signLetter_n,4
14635,corrugatedMetalShapes:signLetter_p,5
14644,corrugatedMetalShapes:signLetter_y,5
16723,bulletproofShapes:windowStoreOneSidedBulletproofFull,18
16724,bulletproofShapes:windowStoreTwoSidedBulletproofFull,10
16725,bulletproofShapes:windowStoreThreeSidedBulletproofFull,26
16726,bulletproofShapes:windowStoreFourSidedBulletproofFull,7
16727,bulletproofShapes:windowStoreCornerBulletproofFull,68
16827,cntDeskSafeRandomLootHelper,1
16905,cntWeaponsBagSmall,1
16912,cntAmmoPileSmall,1
16913,cntAmmoPileMedium,1
16924,cntMedicLootPileB,1
16929,cntFoodPileSmallRandomHelper,1
16932,cntShippingCrateHero,1
16955,cntLootChestHeroInsecureT2,1
16974,cntQuestInfestedT2LootHelper,1
17040,cntCabinetBottomFiller,1
17041,cntCabinetBottomRandomLootHelper,2
17050,cntCupboardCabinetRedTopLootHelper,1
17065,cntCupboardCabinetOldTopLootHelper,2
17073,cntCounterHollowCabinetTaupeRandomLootHelper,1
17075,sinkKitchen,1
17080,counterMountedSinkCommercialOffset,2
17094,cntToilet03,2
17096,drinkingfountainSingle,1
17150,laundryLoose,1
17153,cntTrashPile03,1
17156,cntTrashPile06,1
17157,cntTrashPile07,1
17160,garbage_decor1,9
17161,garbage_decor2,8
17162,garbage_decor3,9
17164,glassBroken_01,4
17165,glassBroken_02,6
17167,glassBrokenCapLeft,1
17168,glassBrokenCapRight,1
17215,cntFancyGarbageCan,2
17221,cntDomedTrashCanCornerRandomLootHelper,4
17231,cntUtilityCartEmpty,1
17289,cntPurse01,1
17303,cntBagsRandomLootHelper,4
17420,breakerBoxClosed,1
17426,commercialDistributionBox,2
17427,commercialSingleMeterDisconnect,1
17436,conduit01Corner,4
17437,conduitSingleCentered,1
17441,conduitSingleOffset,1
17474,cntCollapsedGeneratorbank,1
17485,motionsensorPOI,5
17486,motionsensorLeftPOI,1
17487,motionsensorRightPOI,1
17504,cntFridgeStainlessSteelRandomLootHelper,1
17581,cntMicrowaveRandomLootHelper,1
17582,cntToaster,1
17584,cntCoffeeMakerCommercial,1
17590,wallClockRandomLootHelper,2
17597,decoComputerMonitorKeyboardMousePC,3
17598,decoComputerMonitorKeyboardMouse,6
17615,tvSmallWall2x1,2
17658,ceilingLight02,5
17662,ceilingLight04,1
17665,recessedLight,6
17671,lightCeiling07,3
17674,fluorescentLightBayIntact,8
17675,fluorescentLightBayBroken,1
17676,fluorescentLightBayBrokenOff,1
17707,lanternDecorLightRed,2
17730,flashlightDecorYellow,1
17773,deskLampLight02BGrey,1
17812,workLightPOI,1
17838,wallTorchLight,1
18324,pictureFrame_01v,1
18378,cntBarrelGasSingle00,1
18379,cntBarrelGasSingle45,1
18450,goreBlockHumanCorpse1,1
18453,goreBlockHumanCorpse3,1
18454,goreBlockHumanBones,1
18455,goreHumanSkull,1
18457,planter,2
18458,cntBirdnest,1
18531,palletBricksTop,1
18533,palletBricksLoose,1
18566,palletTarpBaseBlue,1
18579,palletTarpTileBlue,1
18586,palletCompressedCardboard,1
18595,metalPipeStackLoose,1
18816,jailDoorBrown,2
18834,jailDoorDoubleFallenBrown,1
18840,jailBarsBrown,8
18879,vaultDoor01,1
19084,commercialGlassDoor,1
19085,commercialBulletproofGlassDoor,1
19086,commercialGlassDoorDouble,1
19087,commercialBulletproofGlassDoorDouble,2
19118,commercialDoorV2Blue,2
19140,commercialDoorV3Blue,1
19162,commercialDoorV4Blue,5
19178,elevatorDoor,2
19181,elevatorInsidePanel,1
19182,elevatorOutsideButtonPanel,2
19183,elevatorOutsideFloorPanel,2
19427,manholeHatch,1
19678,apartmentMailboxClosedWhite,2
19685,apartmentMailboxOpenWhite,8
19848,cntDeskMetalGreyRandomLootHelper,4
19872,decoTableRound,2
19902,officeChair01Blue,3
19916,oldChair1Blue,6
19922,oldChair1BrokenBlue,4
20038,couchModernArmBlue,14
20040,couchModernSectionBlue,8
20093,cntWaterCoolerFullSideCentered,1
20353,decoMetalBollard,2
20363,parkingBlockYellow,3
20365,parkingBlockCrooked2Yellow,1
20366,parkingBlockBrokenYellow,2
20367,parkingBlockBlue,1
20371,cntATMSecure,4
20382,cntVendingMachine2RandomLootHelper,1
20528,cntGunRackSmallEmpty02,1
20653,cntBookShelfSingleCapBottomRandomLootHelper,4
20657,cntBookShelfSingleCapTopRandomLootHelper,2
20663,cntBookPileRandomLootHelper2,1
20825,cntshelfSupplyOfficeBlueRandomLootHelper,1
20833,cntFileCabinetShortGreyRandomLootHelper,2
20852,cntFileCabinetTallGreyRandomLootHelper,1
20949,ladderMetal,3
20966,metalRailing,6
21122,concreteDestroyed05,3
21123,concreteDestroyed06,3
21124,concreteDestroyed07,5
21125,concreteDestroyed08,8
21126,concreteDestroyed09,1
21127,concreteHalfDestroyed05Left,6
21128,concreteHalfDestroyed05Right,6
21130,concreteHalfDestroyed07Left,4
21131,concreteHalfDestroyed07Right,2
21132,concreteHalfDestroyed08,5
21139,concreteHalfDestroyedFiller01,2
21146,rubblePileCement,4
21177,corrugatedMetalAirDuctHalfBroken,1
21195,pipeSmallWall1x3,2
21429,signDoNotEnter,1
21430,signHandicapParking,1
21527,signBulletinBoard02,1
21555,signBathroomSignWomenWallMount,1
21557,signBathroomSignMenWallMount,1
21623,looseBoardsTrapPlate1x1,21
21657,fakeCabinetDoorTrap1x1Sheet,1
21672,carsRandomHelper,1
21936,cntPoliceCar01,1
22089,treeDeadPineLeaf,16
22102,treePlainsTree2,2
22155,treeBrownGrassDiagonal,13
22160,treeGreenBrownGrassDiagonal,11
22173,plantedYucca3Harvest,6
22174,plantedYucca3HarvestRandomHelper,4
