id,name,count
2,terrainFiller,580
16,terrGravel,888
259,woodShapes:cube,213
316,woodShapes:pole,6
383,woodShapes:plate,173
413,woodShapes:plateHalf,2
467,woodShapes:pillar50,2
484,woodShapes:pillar50CenteredSquareTop,2
485,woodShapes:pillar50CenteredSquareBottom,1
1246,woodShapes:catwalkV1,54
1674,woodShapes:crown,52
1679,woodShapes:crownInsideCorner,8
1693,woodShapes:doorTrim1m,1
1700,woodShapes:doorTrimTop,6
1985,woodShapes:windowBoarded,28
1990,woodShapes:windowCentered,2
1991,woodShapes:windowPanel,6
2175,woodShapes:counterHollowFront,1
2176,woodShapes:counterHollowCombo,2
2186,woodShapes:cubeTileBroken,5
2202,woodShapes:bookcaseOpenEnded,2
2209,woodShapes:storageCubeHalf,2
2240,woodShapes:fence,16
2243,woodShapes:fenceBroken1,4
2244,woodShapes:fenceBroken2,1
2444,brickShapes:cube,353
2453,brickShapes:cubeHalfCorner,4
2459,brickShapes:cubeHalf,70
3537,brickShapes:cubeBaseboardChairRail,38
3538,brickShapes:cubeBaseboardChairRail2Sided,2
3544,brickShapes:halfChairRailOffset,5
4181,brickShapes:brickDestroyed01,14
4182,brickShapes:brickDestroyed02,10
4183,brickShapes:brickDestroyed03,3
4184,brickShapes:brickDestroyed04,1
4194,brickShapes:brickHalfDestroyed05,6
4196,brickShapes:brickHalfDestroyed07,1
4455,brickShapes:plateSidewalkBroke04,7
6814,concreteShapes:cube,238
8124,concreteShapes:cubeTrimQuarterEdgeTwoSided,21
8141,concreteShapes:cubeTrimCornerRound,2
11371,awningShapes:billboardHalf,2
12917,awningShapes:commercialBlind,8
13369,corrugatedMetalShapes:cube,25
13384,corrugatedMetalShapes:cubeHalf,4
13392,corrugatedMetalShapes:cubeCornerBeveled,2
13455,corrugatedMetalShapes:cubePoleCorner,4
13477,corrugatedMetalShapes:polePlate,1
13493,corrugatedMetalShapes:plate,2
13557,corrugatedMetalShapes:billboard,36
13565,corrugatedMetalShapes:pillar100,2
13606,corrugatedMetalShapes:pillar0.025,6
13608,corrugatedMetalShapes:pillar0.025Centered,2
13615,corrugatedMetalShapes:pillar0.05,38
13619,corrugatedMetalShapes:pillar0.05Middle,9
13796,corrugatedMetalShapes:cornerRound,3
13850,corrugatedMetalShapes:wedge60Tip,4
14425,corrugatedMetalShapes:ladderRails,1
14799,corrugatedMetalShapes:doorTrimCorner,2
14803,corrugatedMetalShapes:doorTrim1m,5
14878,corrugatedMetalShapes:windowStoreOneSidedBroken,4
14880,corrugatedMetalShapes:windowStoreThreeSidedBroken,4
14881,corrugatedMetalShapes:windowStoreFourSidedBroken,1
14882,corrugatedMetalShapes:windowStoreCornerBroken,8
15101,corrugatedMetalShapes:windowPanel,3
