id,name,count
2,terrainFiller,907
5,terrDirt,2071
16,terrGravel,622
259,woodShapes:cube,425
295,woodShapes:cubeQuarterPlateCorner,26
297,woodShapes:cubeQuarter,87
299,woodShapes:quarterCenteredWall,6
302,woodShapes:quarterInsideCorner,5
303,woodShapes:quarterInsideCorner3way,7
306,woodShapes:quarterTeeCentered,2
316,woodShapes:pole,135
322,woodShapes:poleTwoWayCorner,4
323,woodShapes:poleThreeWayCorner,2
330,woodShapes:poleSquareCornerBracketLeft,2
343,woodShapes:poleSquareDoubleTop,1
383,woodShapes:plate,75
423,woodShapes:platePole,1
427,woodShapes:platePoleCorner,20
429,woodShapes:poleTwoWayPlate,1
433,woodShapes:poleThreeWayPlate,3
467,woodShapes:pillar50,9
739,woodShapes:wedge60,11
740,woodShapes:wedge60Tip,35
748,woodShapes:wedge60InsideCorner2,2
749,woodShapes:wedge60InsideCorner,2
752,woodShapes:wedge60Incline,18
937,woodShapes:wedgeTipQuarter,3
947,woodShapes:plateHalfGable,1
972,woodShapes:plateHalfInclineOffset,1
1031,woodShapes:plateWedge60LeftTip,6
1032,woodShapes:plateWedge60RightTip,6
1039,woodShapes:plateWedge60LeftHollow,3
1040,woodShapes:plateWedge60RightHollow,3
1254,woodShapes:catwalkV1RailOnly,19
1709,woodShapes:windowTrim,59
1710,woodShapes:windowTrimBottom,29
1711,woodShapes:windowTrimSides,4
1909,woodShapes:window01Broken,2
1910,woodShapes:window01Broken02,2
1911,woodShapes:window01Broken03,2
1912,woodShapes:window01Broken04,3
1913,woodShapes:window01Broken05,1
1985,woodShapes:windowBoarded,5
2050,woodShapes:cubeQuarterBroken,2
2095,woodShapes:shantywall04,1
2240,woodShapes:fence,307
2243,woodShapes:fenceBroken1,5
2244,woodShapes:fenceBroken2,4
2444,brickShapes:cube,38
9037,steelShapes:cubeQuarter,1
13369,corrugatedMetalShapes:cube,77
13384,corrugatedMetalShapes:cubeHalf,19
13426,corrugatedMetalShapes:pole,24
13432,corrugatedMetalShapes:poleTwoWayCorner,6
13455,corrugatedMetalShapes:cubePoleCorner,2
13493,corrugatedMetalShapes:plate,3
13494,corrugatedMetalShapes:plateCentered,5
13814,corrugatedMetalShapes:ramp,32
13849,corrugatedMetalShapes:wedge60,57
13850,corrugatedMetalShapes:wedge60Tip,244
13862,corrugatedMetalShapes:wedge60Incline,116
13956,corrugatedMetalShapes:wedge60InclineHalfLeft,7
13957,corrugatedMetalShapes:wedge60InclineHalfRight,7
13960,corrugatedMetalShapes:wedge60TipHalfLeft,10
13961,corrugatedMetalShapes:wedge60TipHalfRight,10
13962,corrugatedMetalShapes:wedge60InclineHalfLeftFiller,2
13963,corrugatedMetalShapes:wedge60InclineHalfRightFiller,2
14108,corrugatedMetalShapes:rampInclineFillerHalfLeft,2
14109,corrugatedMetalShapes:rampInclineFillerHalfRight,2
14155,corrugatedMetalShapes:plateWedge60Tip,26
14162,corrugatedMetalShapes:plateWedge60Incline,17
14165,corrugatedMetalShapes:plateWedge60Filler,15
14286,corrugatedMetalShapes:pillar50PlatePillar0.025,2
15205,corrugatedMetalShapes:shantywall04,1
17940,cntAmmoPileSmall,1
17950,cntMedicLootPileA,1
17983,cntLootChestHeroInsecureT2,1
18002,cntQuestInfestedT2LootHelper,1
18175,cntTrashPile02,1
18176,cntTrashPile03,1
18180,cntTrashPile07,1
18183,garbage_decor1,3
18184,garbage_decor2,6
18185,garbage_decor3,2
18278,cntUtilityCartRandomLootHelper,1
18456,commercialSingleMeterDisconnect,1
18470,conduitSingleOffset,1
18675,lightWallGooseneckBlack,4
18723,lightIndustrialHangingGrey,2
18727,lanternDecorLightWhite,1
18728,lanternDecorLightRed,1
18734,lanternDecorLightRandomHelper,1
19325,woodFenceSheet,7
19434,cntBarrelGasOld,1
19480,decoCarTireSmallFlat,1
19500,goreBlockAnimal,9
19534,cntBirdnest,1
19542,hayBaleSquare,4
19543,hayBaleRound,1
19546,cntTroughPigRandomHelper,3
19569,resourceRock01,3
19593,palletBrownBoxesTile,2
19633,palletTarpBaseBlue,6
19646,palletTarpTileBlue,2
19656,palletEmpty,1
19657,palletEmptyStack,6
19660,woodPlanksStack,1
19671,palletBagCowFeedBaseMed,1
19674,palletBagCowFeedSingleBent,1
19698,palletBagFertilizerBaseFull,3
19700,palletBagFertilizerBaseMed,2
19701,palletBagFertilizerCapMed,2
19702,palletBagFertilizerCapSml,3
19705,palletBagBlankBaseFullWhite,4
19706,palletBagBlankTileWhite,1
19707,palletBagBlankBaseMedWhite,3
19709,palletBagBlankCapSmlWhite,1
19873,cntCollapsedWorkbench,1
19910,oldWoodDoor,3
20258,ironGarageDoorWhite,2
20291,woodenGarageDoor3x3Grey,1
20309,woodenGarageDoor5x3Grey,2
20450,ironHatchGrey,6
20804,plainWoodBarricade02CTRPlate,3
20806,plainWoodWindowPlugCTRPlate,1
20810,ironBarsCentered,4
20811,ironBars,4
21356,wineBarrelPlain,7
