id,name,count
2,terrainFiller,1764
16,terrGravel,13
17,terrAsphalt,814
383,woodShapes:plate,12
1308,woodShapes:catwalkV2RailOnlyDiagonal,4
1725,woodShapes:windowTrim,12
2139,woodShapes:shantywall01,1
2141,woodShapes:shantywall03,2
2316,woodShapes:plateSidewalkBroke01,1
2319,woodShapes:plateSidewalkBroke04,1
4296,brickShapes:brickHalfDestroyed05,1
6796,cobblestoneShapes:plateSidewalkBroke01,1
6798,cobblestoneShapes:plateSidewalkBroke03,1
6979,concreteShapes:cube,1996
6994,concreteShapes:cubeHalf,415
7103,concreteShapes:plate,200
7115,concreteShapes:plateCorner,1
7133,concreteShapes:plateHalf,4
7167,concreteShapes:billboard,10
7187,concreteShapes:pillar50,1
7210,concreteShapes:halfBlockPillar50,3
7281,concreteShapes:cube3mCorner,9
7461,concreteShapes:wedge60,80
7468,concreteShapes:wedge60Corner,4
7474,concreteShapes:wedge60Incline,16
7584,concreteShapes:wedgeNarrowHigh,57
7585,concreteShapes:wedgeNarrowMid,52
7586,concreteShapes:wedgeNarrowLow,59
7587,concreteShapes:wedgeNarrowTip,72
7717,concreteShapes:halfRampStairs50Filler,4
7719,concreteShapes:rampInclineFiller,8
7907,concreteShapes:stairsFilledVerticalUV,2
8053,concreteShapes:cubeHalfLocalNorthFaceInside,1
8122,concreteShapes:cubeTrimHalfSplit,2
8192,concreteShapes:cubeTrimQuarterEdge,124
8227,concreteShapes:cubeTrimQuarterCornerInside,1
8322,concreteShapes:cubeTrimCornerRound,5
8781,concreteShapes:cubeTrimDestroyed01,25
8783,concreteShapes:cubeTrimDestroyed03,6
8787,concreteShapes:cubeTrimDestroyed07,1
8790,concreteShapes:cubeTrimDestroyed10,1
8804,concreteShapes:concreteDestroyed05,3
8805,concreteShapes:concreteDestroyed06,1
8806,concreteShapes:concreteDestroyed07,7
8953,concreteShapes:cubeTileBroken,11
9220,steelShapes:cubeFrame,1
9320,steelShapes:catwalkPlate,18
10262,steelShapes:catwalkV2RailOnly,21
10669,steelShapes:doorTrim1m,12
10677,steelShapes:doorTrimTwoSided,8
10705,steelShapes:windowStoreFourSidedBulletproofFull,4
10728,steelShapes:windowRampTwoSidedBulletproofFull,2
10730,steelShapes:windowRampFourSidedBulletproofFull,10
10732,steelShapes:windowRampOutsideCornerBulletproofFull,8
11163,steelShapes:table,9
11233,steelShapes:ladderRoundBroken2,1
13699,corrugatedMetalShapes:cube,4
13714,corrugatedMetalShapes:cubeHalf,3
13823,corrugatedMetalShapes:plate,5
13887,corrugatedMetalShapes:billboard,14
13895,corrugatedMetalShapes:pillar100,30
13898,corrugatedMetalShapes:pillar1006Way,6
13907,corrugatedMetalShapes:pillar50,41
13921,corrugatedMetalShapes:pillar50CenterPlate,4
13930,corrugatedMetalShapes:halfBlockPillar50,8
13949,corrugatedMetalShapes:pillar0.05Middle,4
13967,corrugatedMetalShapes:pipeStraightOpenEnded,28
13968,corrugatedMetalShapes:pipeJoint,6
13971,corrugatedMetalShapes:pipeCorner,19
14182,corrugatedMetalShapes:wedge60Tip,6
14439,corrugatedMetalShapes:rampInclineFiller,15
14750,corrugatedMetalShapes:catwalkV2RailOnlyBentRight,1
15153,corrugatedMetalShapes:doorTrim1mDouble,12
15239,corrugatedMetalShapes:windowStoreTwoSidedFull,2
15240,corrugatedMetalShapes:windowStoreThreeSidedFull,38
15241,corrugatedMetalShapes:windowStoreFourSidedFull,3
15242,corrugatedMetalShapes:windowStoreCornerFull,18
15255,corrugatedMetalShapes:windowStoreThreeSidedBroken,3
15257,corrugatedMetalShapes:windowStoreCornerBroken,2
15896,corrugatedMetalShapes:signLetter_c,4
15898,corrugatedMetalShapes:signLetter_e,4
15902,corrugatedMetalShapes:signLetter_i,4
15905,corrugatedMetalShapes:signLetter_l,4
15907,corrugatedMetalShapes:signLetter_n,4
15908,corrugatedMetalShapes:signLetter_o,4
15911,corrugatedMetalShapes:signLetter_r,2
15912,corrugatedMetalShapes:signLetter_s,2
15913,corrugatedMetalShapes:signLetter_t,2
18185,bulletproofShapes:windowStoreFourSidedBulletproofFull,12
18187,bulletproofShapes:windowStoreCornerBulletproofFull,8
18411,cntAmmoPileSmall,4
18412,cntAmmoPileMedium,1
18423,cntMedicLootPileB,1
18428,cntFoodPileSmallRandomHelper,2
18454,cntLootChestHeroInsecureT2,1
18474,cntQuestInfestedT2LootHelper,1
18532,cntCabinetBottomFiller,14
18533,cntCabinetBottomRandomLootHelper,1
18539,cntCounterHollowCabinetRandomLootHelper,1
18554,cntCabinetOldCNRRoundFiller,4
18564,utilitySink,1
18565,sinkKitchen,1
18567,wallMountSinkCommercial,2
18583,cntToilet03,3
18587,bathroomStallDoor,3
18588,bathroomStallWall,8
18589,bathroomStallSupport,1
18590,bathroomStallSupportRight,1
18591,bathroomStallSupportLeft,2
18592,bathroomStallSCTRBeam,3
18593,bathroomStallCTRBeam,8
18599,cntMedicineCabinetClosedRandomLootHelper,2
18640,cntTrashPile02,5
18642,cntTrashPile04,1
18643,cntTrashPile05,1
18644,cntTrashPile06,1
18649,garbage_decor1,1
18651,garbage_decor3,2
