id,name,count
2,terrainFiller,18035
15,terrDestroyedWoodDebris,27
16,terrGravel,483
17,terrAsphalt,41
383,woodShapes:plate,41
1709,woodShapes:doorTrim1m,4
2137,woodShapes:woodDebris02,1
2153,woodShapes:sawhorse,1
2202,woodShapes:coffeeTable,1
2230,woodShapes:counterWallMount,2
2231,woodShapes:counterWallMountRound,1
2288,woodShapes:fence,10
6979,concreteShapes:cube,2077
6994,concreteShapes:cubeHalf,58
7002,concreteShapes:cubeCornerBeveled,4
7003,concreteShapes:cubeCornerBeveledOutsideCorner,4
7017,concreteShapes:cubeQuarter,4
7175,concreteShapes:pillar100,1
7425,concreteShapes:ramp,107
7433,concreteShapes:rampInsideCornerFull,1
7441,concreteShapes:rampOutsideCornerFull,10
7461,concreteShapes:wedge60,8
7462,concreteShapes:wedge60Tip,3
7470,concreteShapes:wedge60InsideCorner2,4
7584,concreteShapes:wedgeNarrowHigh,12
7585,concreteShapes:wedgeNarrowMid,12
7586,concreteShapes:wedgeNarrowLow,12
7587,concreteShapes:wedgeNarrowTip,10
7716,concreteShapes:halfRampStairs50,2
8056,concreteShapes:cubeBaseboard,20
8062,concreteShapes:cubeBaseboard4Sided,2
8081,concreteShapes:cubeBaseboardChairRail,30
8084,concreteShapes:cubeBaseboardChairRail4Sided,7
8192,concreteShapes:cubeTrimQuarterEdge,94
8223,concreteShapes:cubeTrimQuarterCornerOutside,5
8227,concreteShapes:cubeTrimQuarterCornerInside,25
8302,concreteShapes:cubeTrimQuarterEdgeTwoSided,4
8317,concreteShapes:cubeTrimQuarterEdgeDouble,4
8320,concreteShapes:cubeTrimQuarterEdgeQuad,1
8937,concreteShapes:cupboardCorner,52
9219,steelShapes:cube,21
9234,steelShapes:cubeHalf,31
9427,steelShapes:pillar50,10
9701,steelShapes:wedge60,2
9702,steelShapes:wedge60Tip,2
10147,steelShapes:stairsFilledVerticalUV,1
10182,steelShapes:wedgeTipStairs,5
11159,steelShapes:securityGatePlate,6
13699,corrugatedMetalShapes:cube,188
13714,corrugatedMetalShapes:cubeHalf,34
13756,corrugatedMetalShapes:pole,42
13762,corrugatedMetalShapes:poleTwoWayCorner,2
13823,corrugatedMetalShapes:plate,70
13858,corrugatedMetalShapes:plateHalfTriangle,6
13859,corrugatedMetalShapes:plateQuarterTriangle,8
13868,corrugatedMetalShapes:platePoleCorner2,4
13874,corrugatedMetalShapes:poleThreeWayPlate2,4
13887,corrugatedMetalShapes:billboard,17
13907,corrugatedMetalShapes:pillar50,6
13928,corrugatedMetalShapes:cubeHalfTopPole1mBottom,1
13938,corrugatedMetalShapes:pillar0.025Centered,4
13958,corrugatedMetalShapes:poleSupport,16
13959,corrugatedMetalShapes:poleSupport2,16
13962,corrugatedMetalShapes:poleCross3x1,8
13966,corrugatedMetalShapes:pipeStraight,5
13968,corrugatedMetalShapes:pipeJoint,1
13969,corrugatedMetalShapes:pipeFlange,2
13970,corrugatedMetalShapes:pipeFlangeBottom,1
13985,corrugatedMetalShapes:3mTubeCenter,12
13986,corrugatedMetalShapes:3mTubeCorner,12
14024,corrugatedMetalShapes:cube5mRoundRoofTop01,1
14025,corrugatedMetalShapes:cube5mRoundRoofTop02,4
14026,corrugatedMetalShapes:cube5mRoundRoofTop03,4
14027,corrugatedMetalShapes:cube5mRoundRoofBottom01,4
14028,corrugatedMetalShapes:cube5mRoundRoofBottom02,4
14029,corrugatedMetalShapes:cube5mRoundRoofBottom03,4
14030,corrugatedMetalShapes:cube5mRoundRoofBottom04,4
14031,corrugatedMetalShapes:cube5mRoundRoofBottom05,4
14032,corrugatedMetalShapes:cube5mRoundRoofBottom06,4
14145,corrugatedMetalShapes:ramp,11
14171,corrugatedMetalShapes:rampSplitLeft02,1
14172,corrugatedMetalShapes:rampSplitRight02,1
14181,corrugatedMetalShapes:wedge60,10
14182,corrugatedMetalShapes:wedge60Tip,50
14194,corrugatedMetalShapes:wedge60Incline,22
14252,corrugatedMetalShapes:rampSplitWedge60HollowLeft,1
14253,corrugatedMetalShapes:rampSplitWedge60HollowRight,1
14262,corrugatedMetalShapes:wedge60SplitLeft03,1
14263,corrugatedMetalShapes:wedge60SplitRight03,1
14266,corrugatedMetalShapes:wedge60SplitLeft05,2
14267,corrugatedMetalShapes:wedge60SplitRight05,2
14292,corrugatedMetalShapes:wedge60TipHalfLeft,1
14293,corrugatedMetalShapes:wedge60TipHalfRight,1
14306,corrugatedMetalShapes:wedgeNarrowLow,8
14377,corrugatedMetalShapes:plateWedgeTipQuarterHalf,2
14378,corrugatedMetalShapes:plateWedgeFillerHalfDouble,2
14379,corrugatedMetalShapes:wedgeTipQuarter,11
14438,corrugatedMetalShapes:rampIncline,21
14439,corrugatedMetalShapes:rampInclineFiller,14
14453,corrugatedMetalShapes:plateDiagonalHalfLeft,4
14454,corrugatedMetalShapes:plateDiagonalHalfRight,4
14456,corrugatedMetalShapes:plateDiagonalFillerHalfLeft,3
14457,corrugatedMetalShapes:plateDiagonalFillerHalfRight,3
14487,corrugatedMetalShapes:plateWedge60Tip,19
14488,corrugatedMetalShapes:plateWedge60TipHalfLeft,4
14489,corrugatedMetalShapes:plateWedge60TipHalfRight,4
14495,corrugatedMetalShapes:plateWedge60InclineHalfLeft,2
14496,corrugatedMetalShapes:plateWedge60InclineHalfRight,2
14498,corrugatedMetalShapes:plateWedge60FillerHalfLeft,3
14499,corrugatedMetalShapes:plateWedge60FillerHalfRight,3
14610,corrugatedMetalShapes:cubeHalfPillar0.025,1
14618,corrugatedMetalShapes:pillar50PlatePillar0.025,1
14702,corrugatedMetalShapes:catwalkV2,2
14711,corrugatedMetalShapes:catwalkV2WedgeRailing,2
14716,corrugatedMetalShapes:catwalkV2Railing2EndLeft,1
14717,corrugatedMetalShapes:catwalkV2Railing2EndRight,2
14742,corrugatedMetalShapes:catwalkV2RailOnly,4
14747,corrugatedMetalShapes:catwalkV2RailOnlyCorner,2
14748,corrugatedMetalShapes:catwalkV2RailOnlyDiagonal,4
14749,corrugatedMetalShapes:catwalkV2RailOnlyBentLeft,2
14750,corrugatedMetalShapes:catwalkV2RailOnlyBentRight,2
14756,corrugatedMetalShapes:catwalkV2RailOnlyEndLeft,1
14757,corrugatedMetalShapes:catwalkV2RailOnlyEndRight,2
14912,corrugatedMetalShapes:cubeTrimQuarterEdge,5
14943,corrugatedMetalShapes:cubeTrimQuarterCornerOutside,4
14950,corrugatedMetalShapes:cubeTrimQuarterCornerInside2,16
14956,corrugatedMetalShapes:cubeTrimQuarterCornerInsideQuad,5
15037,corrugatedMetalShapes:cubeTrimQuarterEdgeDouble,41
15040,corrugatedMetalShapes:cubeTrimQuarterEdgeQuad,4
15145,corrugatedMetalShapes:doorTrimCorner,12
15149,corrugatedMetalShapes:doorTrim1m,25
15150,corrugatedMetalShapes:doorTrim1mOffCenter,1
15159,corrugatedMetalShapes:doorTrimSquare,3
15254,corrugatedMetalShapes:windowStoreTwoSidedBroken,3
15255,corrugatedMetalShapes:windowStoreThreeSidedBroken,2
15256,corrugatedMetalShapes:windowStoreFourSidedBroken,3
15267,corrugatedMetalShapes:windowStoreOneSidedEmpty,16
15410,corrugatedMetalShapes:windowIndustrial01Full,4
15411,corrugatedMetalShapes:windowIndustrial01Broken01,3
15412,corrugatedMetalShapes:windowIndustrial01Broken02,2
15597,corrugatedMetalShapes:floorJoist2,1
