id,name,count
2,terrainFiller,9243
17,terrAsphalt,1362
259,woodShapes:cube,530
268,woodShapes:cubeHalfCorner,3
277,woodShapes:cubeCornerBeveled,1
284,woodShapes:cubeHalfCornerBeveled,1
352,woodShapes:catwalkPlate,2
375,woodShapes:plate,71
387,woodShapes:plateCorner,1
390,woodShapes:plateCornerHalf,1
405,woodShapes:plateHalf,28
407,woodShapes:plateHalfOffCentered,6
408,woodShapes:plateQuarter,2
410,woodShapes:plateHalfTriangle,4
439,woodShapes:billboard,1
442,woodShapes:plateDouble,1
690,woodShapes:plateQuarterRoundOutside,1
695,woodShapes:ramp,2
978,woodShapes:rampInclineFiller,2
979,woodShapes:rampInclineFillerHalfLeft,2
1001,woodShapes:plateRamp,24
1008,woodShapes:plateWedge60Left,1
1009,woodShapes:plateWedge60Right,1
1010,woodShapes:plateWedge60LeftTip,1
1011,woodShapes:plateWedge60RightTip,1
1072,woodShapes:slopePlate01,1
1075,woodShapes:slopePlate04,1
1121,woodShapes:platePillar0.025,6
1138,woodShapes:stairsFilledVerticalUV,2
1173,woodShapes:wedgeTipStairs,12
1174,woodShapes:wedgeTipStairsInsideCorner,1
1177,woodShapes:wedgeStairs,14
1185,woodShapes:railingFloatLeft,5
1269,woodShapes:cubeLocalNorthFace,168
1274,woodShapes:cubeBaseboard,2
1278,woodShapes:cubeBaseboard2Sided,1
1280,woodShapes:cubeBaseboard4Sided,4
1295,woodShapes:cubeBaseboardChairRail,5
1297,woodShapes:cubeBaseboardChairRail3Sided,1
1298,woodShapes:cubeBaseboardChairRail4Sided,3
1311,woodShapes:rampBaseboard,5
1312,woodShapes:rampBaseboardChairRail,7
1321,woodShapes:counterBottomFiller,8
1322,woodShapes:counterRound1m,2
1330,woodShapes:cubeTrimHalfSplit,25
1400,woodShapes:cubeTrimQuarterEdge,36
1580,woodShapes:plateTrimSplit,1
1629,woodShapes:doorTrim1m,11
1636,woodShapes:doorTrimTop,1
1678,woodShapes:windowStoreOneSidedFull,5
1679,woodShapes:windowStoreTwoSidedFull,31
1680,woodShapes:windowStoreThreeSidedFull,30
1691,woodShapes:windowStoreFourSidedCornerFull,1
1694,woodShapes:windowStoreTwoSidedBroken,6
1695,woodShapes:windowStoreThreeSidedBroken,4
1710,woodShapes:windowStoreFourSidedEmpty,3
1877,woodShapes:windowCentered,3
1878,woodShapes:windowPanel,7
1975,woodShapes:woodDebris01,1
1976,woodShapes:woodDebris02,1
1977,woodShapes:woodDebris03,1
2040,woodShapes:coffeeTable,3
2050,woodShapes:counterFlipDoorClosed,2
2073,woodShapes:cubeBookcase,5
2074,woodShapes:cubeCornerBeveledBookcaseEmpty,2
2079,woodShapes:bookcaseEmpty,10
2081,woodShapes:bookcaseHalfEmpty,3
2083,woodShapes:bookcaseQuarterEmpty,8
2085,woodShapes:bookcaseQuarterDoubleEmpty,3
2087,woodShapes:bookcaseOpenEnded,18
