id,name,count
2,terrainFiller,492
3,terrainFillerAdaptive,5022
16,terrGravel,20
17,terrAsphalt,36
6709,concreteShapes:cube,100
6712,concreteShapes:cubeThreeQuarter,22
6724,concreteShapes:cubeHalf,127
6731,concreteShapes:cube0.25m,22
6754,concreteShapes:cubeTee,15
7308,concreteShapes:wedgeNarrowHigh,14
7309,concreteShapes:wedgeNarrowMid,14
7310,concreteShapes:wedgeNarrowLow,14
7311,concreteShapes:wedgeNarrowTip,14
7889,concreteShapes:cubeTrimQuarterEdge,4
7999,concreteShapes:cubeTrimQuarterEdgeTwoSided,58
8050,concreteShapes:wedgeNarrowHighLeftTrim2Sided,2
8051,concreteShapes:wedgeNarrowMidLeftTrim2Sided,2
8052,concreteShapes:wedgeNarrowLowLeftTrim2Sided,2
8053,concreteShapes:wedgeNarrowTipLeftTrim2Sided,2
8056,concreteShapes:wedgeNarrowHighRightTrim2Sided,2
8057,concreteShapes:wedgeNarrowMidRightTrim2Sided,2
8058,concreteShapes:wedgeNarrowLowRightTrim2Sided,2
8059,concreteShapes:wedgeNarrowTipRightTrim2Sided,2
13168,corrugatedMetalShapes:cubeHalfCorner,4
13174,corrugatedMetalShapes:cubeHalf,42
13181,corrugatedMetalShapes:cube0.25m,4
13199,corrugatedMetalShapes:quarterCenteredWall,9
13204,corrugatedMetalShapes:cubeTee,2
13206,corrugatedMetalShapes:quarterTeeCentered,2
13216,corrugatedMetalShapes:pole,4
13218,corrugatedMetalShapes:poleSideCentered,10
13224,corrugatedMetalShapes:poleSquareSideCenteredCorner,2
13226,corrugatedMetalShapes:poleSquareSideCenteredTee,2
13241,corrugatedMetalShapes:poleSquareDouble,16
13243,corrugatedMetalShapes:poleSquareDoubleTop,8
13263,corrugatedMetalShapes:polePlateHalfCentered,23
13268,corrugatedMetalShapes:polePlateCentered,18
13270,corrugatedMetalShapes:polePlateCorner,52
13273,corrugatedMetalShapes:polePlateCenteredTee2,4
13283,corrugatedMetalShapes:plate,16
13313,corrugatedMetalShapes:plateHalf,8
13316,corrugatedMetalShapes:plateQuarter,8
13320,corrugatedMetalShapes:plateQuarterTriangleCorner,4
13323,corrugatedMetalShapes:platePole,4
13324,corrugatedMetalShapes:platePoleSideCentered,2
13363,corrugatedMetalShapes:plateQuarterRoundCorner,4
13396,corrugatedMetalShapes:pillar0.025,8
13400,corrugatedMetalShapes:pillar0.025Middle,8
13588,corrugatedMetalShapes:plateHalfCornerRoundLeft,2
13589,corrugatedMetalShapes:plateHalfCornerRoundRight,2
13604,corrugatedMetalShapes:cubeHalfRamp,4
13690,corrugatedMetalShapes:rampInclinePlateLeft,4
13691,corrugatedMetalShapes:rampInclinePlateRight,4
13892,corrugatedMetalShapes:rampIncline,36
13893,corrugatedMetalShapes:rampInclineFiller,32
13916,corrugatedMetalShapes:plateRamp,4
14077,corrugatedMetalShapes:stairsRailingMetal,4
14177,corrugatedMetalShapes:catwalkV2RailOnly,45
14179,corrugatedMetalShapes:catwalkV2RailOnlyLeftCap,2
14180,corrugatedMetalShapes:catwalkV2RailOnlyRightCap,2
14182,corrugatedMetalShapes:catwalkV2RailOnlyCorner,4
14184,corrugatedMetalShapes:catwalkV2RailOnlyBentLeft,3
14185,corrugatedMetalShapes:catwalkV2RailOnlyBentRight,3
14189,corrugatedMetalShapes:catwalkV2RailOnlyCornerEndLeft,2
14190,corrugatedMetalShapes:catwalkV2RailOnlyCornerEndRight,2
14191,corrugatedMetalShapes:catwalkV2RailOnlyEndLeft,2
14192,corrugatedMetalShapes:catwalkV2RailOnlyEndRight,2
14193,corrugatedMetalShapes:catwalkV2RailOnlySingleDoubleEnd,4
14569,corrugatedMetalShapes:doorTrimCorner,68
14573,corrugatedMetalShapes:doorTrim1m,370
14576,corrugatedMetalShapes:doorTrimDiagonal,60
14581,corrugatedMetalShapes:doorTrimTwoSided,4
14662,corrugatedMetalShapes:windowStoreOneSidedEmpty,36
14991,corrugatedMetalShapes:iBeamSmall,46
14992,corrugatedMetalShapes:iBeam,70
14994,corrugatedMetalShapes:iBeamFoundation,2
14995,corrugatedMetalShapes:iBeamFoundation2,2
15010,corrugatedMetalShapes:trussingCentered,19
15011,corrugatedMetalShapes:trussingUncentered,20
15029,corrugatedMetalShapes:securityGatePlate,10
18414,lightCeiling07,2
19172,hubcapNoMine,1
19203,decoCarTireFlat02,1
21971,bridgeMetalRivetBlock,78
22017,concreteHalfDestroyed05Left,3
22018,concreteHalfDestroyed05Right,3
22023,concreteHalfDestroyed09,5
22290,signRoadSlow,2
22300,signCrossWalkYellowHanging,3
