id,name,count
8,terrDesertGround,316
18,terrAsphalt,18
5787,concreteShapes:ramp,7
5925,concreteShapes:wedgeNarrowHigh,18
5926,concreteShapes:wedgeNarrowMid,18
5927,concreteShapes:wedgeNarrowLow,18
5928,concreteShapes:wedgeNarrowTip,18
10926,corrugatedMetalShapes:ramp,176
14156,bridgeConcreteBlock,106
14157,bridgeMetalRivetBlock,206
14163,rebarDestroyed,1
14492,guardRailStraight,6
14493,guardRailPole,35
14494,guardRailBarrierFlipped,1
15487,garbage_decor1,1
15488,garbage_decor2,2
15489,garbage_decor3,2
16247,cntShoppingCartRandomLootHelper,1
16858,carsRandomHelper,2
