id,name,count
3,terrainFillerAdaptive,2429
17,terrAsphalt,164
6997,concreteShapes:cube,42
7000,concreteShapes:cubeThreeQuarter,86
7012,concreteShapes:cubeHalf,19
7029,concreteShapes:halfBlockPoleQuarter,18
7118,concreteShapes:cubeHalfPlateCorner2,54
7151,concreteShapes:plateHalf,106
7425,concreteShapes:cornerRound,4
7608,concreteShapes:wedgeNarrowLow,4
8451,concreteShapes:doorTrim0.5m,24
8807,concreteShapes:cubeTrimDestroyed03,2
9067,concreteShapes:roadPaintDashCNTR,27
9086,concreteShapes:roadPaintArrowStraight,4
15189,corrugatedMetalShapes:doorTrim0.5m,12
15192,corrugatedMetalShapes:doorTrim1mOffCenter,50
15868,corrugatedMetalShapes:cubeDrainStraight,14
15870,corrugatedMetalShapes:cubeDrainStraightHalf,4
18686,laundryLoose,1
18699,garbage_decor1,2
18700,garbage_decor2,1
18701,garbage_decor3,1
18868,cntLuggagePileARandomLootHelper,1
18872,cntBagsRandomLootHelper,1
19257,recessedLightOffset,6
19881,guardRailStraight,8
19886,guardRailBarrierFlippedTall,4
19887,guardRailBarrierTall,4
20064,hubcapNoMine,1
20077,decoCarRadiatorFlipped,1
20094,decoCarTireSmallFlat02,1
20110,goreBlockHumanCorpse,1
23097,bridgeConcreteBlock,130
23543,signPosterWantedMissing02,1
23851,burntSedan3Wide01,1
23896,cntFrontCrumpledSedan01RandomHelper,1
24393,sleeperStomach,1
