id,name,count
3,terrainFillerAdaptive,3588
17,terrAsphalt,10
291,woodShapes:halfBlockPoleQuarter,2
297,woodShapes:cubeQuarter,14
298,woodShapes:cubeQuarterCenter,16
299,woodShapes:quarterCenteredWall,20
316,woodShapes:pole,58
318,woodShapes:poleSideCentered,14
319,woodShapes:poleHalf,1
358,woodShapes:poleSquareDiagonal,2
376,woodShapes:cubeQuarterCenteredSquareTop,12
379,woodShapes:cubeHalfPlateCorner,205
737,woodShapes:wedge60,4
738,woodShapes:wedge60Tip,12
858,woodShapes:wedgeNarrowHigh,14
859,woodShapes:wedgeNarrowMid,14
860,woodShapes:wedgeNarrowLow,14
861,woodShapes:wedgeNarrowTip,14
993,woodShapes:rampInclineFiller,20
1143,woodShapes:cubeQuarterPillar0.025,1
1145,woodShapes:poleSquareSideCenteredPillar0.025,58
1148,woodShapes:cubeHalfPillar0.025,24
1149,woodShapes:wedge60InclinePillar0.025,12
1154,woodShapes:wedge60TipPillar0.025,12
1158,woodShapes:rampInclinePillar0.025,16
1234,woodShapes:catwalkV1RailOnly,62
1671,woodShapes:doorTrim0.5m,4
1673,woodShapes:doorTrim1m,8
2029,woodShapes:poleQuarterCenteredBroken,2
6905,concreteShapes:pillar100,18
13159,corrugatedMetalShapes:cube,2
13162,corrugatedMetalShapes:cubeThreeQuarter,72
13182,corrugatedMetalShapes:cubeCornerBeveled,8
13191,corrugatedMetalShapes:halfBlockPoleQuarter,6
13199,corrugatedMetalShapes:quarterCenteredWall,37
13218,corrugatedMetalShapes:poleSideCentered,6
13266,corrugatedMetalShapes:polePlateCornerBeveled,4
13267,corrugatedMetalShapes:polePlate,10
13283,corrugatedMetalShapes:plate,2
13313,corrugatedMetalShapes:plateHalf,30
13317,corrugatedMetalShapes:plateCornerBeveled,4
13320,corrugatedMetalShapes:plateQuarterTriangleCorner,24
13394,corrugatedMetalShapes:pillar0.0125Centered,3
13398,corrugatedMetalShapes:pillar0.025Centered,294
13690,corrugatedMetalShapes:rampInclinePlateLeft,8
13691,corrugatedMetalShapes:rampInclinePlateRight,8
13893,corrugatedMetalShapes:rampInclineFiller,4
13925,corrugatedMetalShapes:plateWedge60LeftTip,12
13926,corrugatedMetalShapes:plateWedge60RightTip,12
13933,corrugatedMetalShapes:plateWedge60LeftHollow,8
13934,corrugatedMetalShapes:plateWedge60RightHollow,8
14571,corrugatedMetalShapes:doorTrim0.5m,4
14573,corrugatedMetalShapes:doorTrim1m,2
14992,corrugatedMetalShapes:iBeam,74
15011,corrugatedMetalShapes:trussingUncentered,64
17901,garbage_decor1,2
17902,garbage_decor2,1
17903,garbage_decor3,1
18441,lightIndustrialHangingBlack,1
19172,hubcapNoMine,1
19203,decoCarTireFlat02,1
21992,woodHalfDestroyed05Left,3
21993,woodHalfDestroyed05Right,3
21994,woodHalfDestroyed06,2
21995,woodHalfDestroyed07Left,1
21996,woodHalfDestroyed07Right,1
21997,woodHalfDestroyed08,1
21998,woodHalfDestroyed09,1
22083,pipeSmallCorner,2
22301,signSlowHanging,2
22416,signPosterWantedMissing02,1
22417,signPosterWantedMissing03,1
