id,name,count
2,terrainFiller,114876
5,terrDirt,338
7,terrForestGround,135
14,terrDestroyedStone,67
16,terrGravel,5783
17,terrAsphalt,1051
18,terrConcrete,463
29,terrStoneHelper,70248
259,woodShapes:cube,108
268,woodShapes:cubeHalfCorner,84
274,woodShapes:cubeHalf,128
367,woodShapes:polePlate,24
383,woodShapes:plate,91
388,woodShapes:plateCladding03,52
413,woodShapes:plateHalf,4
447,woodShapes:billboard,8
1031,woodShapes:plateRamp,6
1037,woodShapes:plateRampCornerOutside,1
1054,woodShapes:plateWedge60Tip,2
1061,woodShapes:plateWedge60Incline,2
1064,woodShapes:plateWedge60Filler,2
1112,woodShapes:slopePlate01,12
1113,woodShapes:slopePlate02,4
1114,woodShapes:slopePlate03,24
1116,woodShapes:slopeHalfPlateLeft01,4
1117,woodShapes:slopeHalfPlateLeft02,4
1118,woodShapes:slopeHalfPlateLeft03,8
1119,woodShapes:slopeHalfPlateLeft04,4
1120,woodShapes:slopeHalfPlateLeftFiller,4
1121,woodShapes:slopeHalfPlateRight01,4
1122,woodShapes:slopeHalfPlateRight02,4
1123,woodShapes:slopeHalfPlateRight03,8
1124,woodShapes:slopeHalfPlateRight04,4
1125,woodShapes:slopeHalfPlateRightFiller,4
1251,woodShapes:stairsFilledQuarterCrown,12
1253,woodShapes:stairsFilledQuarterCrown2Left,15
1254,woodShapes:stairsFilledQuarterCrown2Right,15
1262,woodShapes:catwalkV1Railing,1
1371,woodShapes:cubeBaseboardChairRail2Sided,22
1373,woodShapes:cubeBaseboardChairRail4Sided,6
1376,woodShapes:halfCornerChairRail4Sided,24
1377,woodShapes:halfCornerChairRailOutside,6
1378,woodShapes:halfCornerChairRailOutsideLeft,6
1379,woodShapes:halfCornerChairRailOutsideRight,6
1385,woodShapes:halfChairRail4Sided,12
1402,woodShapes:counterBottomFiller,11
1403,woodShapes:counterRound1m,2
1691,woodShapes:halfCrown,30
1697,woodShapes:halfCrownCorner1,3
1698,woodShapes:halfCrownCorner2,3
1711,woodShapes:crown,16
1712,woodShapes:crownStraight,156
1714,woodShapes:crownHalfLeft,6
1715,woodShapes:crownHalfRight,6
1716,woodShapes:crownInsideCorner,64
1717,woodShapes:crownInsideCornerHalfLeft,9
1718,woodShapes:crownInsideCornerHalfRight,9
2059,woodShapes:windowPanel,2
2121,woodShapes:plateDestroyed,2
2122,woodShapes:plateDestroyed02,2
2123,woodShapes:plateDestroyed03,2
2128,woodShapes:plateDiagonalDestroyed02,1
2132,woodShapes:plateDiagonalDestroyed06,1
2228,woodShapes:tableDynamic,3
2242,woodShapes:buffetCounter,3
2246,woodShapes:counterHollowFront,1
2247,woodShapes:counterHollowCombo,6
2254,woodShapes:counterWallMount,7
2255,woodShapes:counterWallMountRound,18
2256,woodShapes:counterWallMountSquare,2
2259,woodShapes:cubeBookcase,10
2276,woodShapes:tvStand02,1
2278,woodShapes:tvStand04,6
2279,woodShapes:tvStand05,6
2298,woodShapes:ladderSquare,13
2299,woodShapes:ladderSquareBroken01,1
2300,woodShapes:ladderSquareBroken02,1
2339,woodShapes:plateSidewalkCrooked,1
2464,woodShapes:barrierGateBase2,1
2465,woodShapes:barrierGateMiddle,5
2466,woodShapes:barrierGateTip,1
2467,woodShapes:barrierGateTip2,1
7051,concreteShapes:cube,34296
7053,concreteShapes:cubeHalfInsideCorner,32
7060,concreteShapes:cubeHalfCorner,83
7066,concreteShapes:cubeHalf,2683
7067,concreteShapes:cubeHalfCentered,204
7073,concreteShapes:cube0.25m,31
7074,concreteShapes:cubeCornerBeveled,663
7077,concreteShapes:cubeBeveledCorner,29
7083,concreteShapes:halfBlockPoleQuarter,1
7085,concreteShapes:halfQuarterPost,12
7089,concreteShapes:cubeQuarter,157
7090,concreteShapes:cubeQuarterCenter,216
7091,concreteShapes:quarterCenteredWall,48
7094,concreteShapes:quarterInsideCorner,3
7095,concreteShapes:quarterInsideCorner3way,1
7096,concreteShapes:cubeTee,100
7098,concreteShapes:quarterTeeCentered,7
7105,concreteShapes:cubeHalfPoleCorner,8
7106,concreteShapes:cubeHalfPoleSideCentered,8
7159,concreteShapes:polePlate,20
7162,concreteShapes:polePlateCorner,8
7172,concreteShapes:cubeHalfPlateCorner2,32
7175,concreteShapes:plate,73
7357,concreteShapes:cube5mArch01,5
7358,concreteShapes:cube5mArch02,10
7360,concreteShapes:cube5mArch04,10
7361,concreteShapes:cube5mArch05,10
7370,concreteShapes:cubeQuarter5mRound01,2
7371,concreteShapes:cubeQuarter5mRound02,4
7372,concreteShapes:cubeQuarter5mRound03,4
7373,concreteShapes:cubeQuarter5mRound04,14
7374,concreteShapes:cubeQuarter5mRound05,4
7375,concreteShapes:cubeQuarter5mRoundStraightLeft,2
7376,concreteShapes:cubeQuarter5mRoundStraightRight,2
7456,concreteShapes:arch2,10
7480,concreteShapes:cornerRound,80
7487,concreteShapes:cubeCornerRoundTop,6
7491,concreteShapes:cubeQuarterRoundOutside,16
7492,concreteShapes:cubeHalfQuarterRoundOutside,4
7498,concreteShapes:ramp,1381
7500,concreteShapes:cubeHalfRampTip,2
7515,concreteShapes:rampCorner,28
7516,concreteShapes:rampCornerFiller,39
7522,concreteShapes:rampSplitLeft01,17
7523,concreteShapes:rampSplitRight01,18
7534,concreteShapes:wedge60,367
7535,concreteShapes:wedge60Tip,573
7536,concreteShapes:wedge60TipHalf,140
7543,concreteShapes:wedge60InsideCorner2,12
7544,concreteShapes:wedge60InsideCorner,12
7547,concreteShapes:wedge60Incline,121
7658,concreteShapes:wedge60TipCornerTop,1
7661,concreteShapes:wedgeInsideCornerBase2,2
7662,concreteShapes:wedgeInsideCornerTop2,2
7663,concreteShapes:wedgeNarrowHigh,90
7664,concreteShapes:wedgeNarrowMid,30
7665,concreteShapes:wedgeNarrowLow,42
7666,concreteShapes:wedgeNarrowTip,52
7667,concreteShapes:cubeNarrowPyramidBase,40
7795,concreteShapes:halfRampStairs50,32
7796,concreteShapes:halfRampStairs50Filler,28
7797,concreteShapes:rampIncline,12
7798,concreteShapes:rampInclineFiller,181
7969,concreteShapes:cubeHalfPillar0.025,6
7985,concreteShapes:stairsFilledQuarterVerticalUV,51
7986,concreteShapes:stairsFilledVerticalUV,25
7989,concreteShapes:stairsFilledDiagonal1,4
7990,concreteShapes:stairsFilledDiagonal2,4
8001,concreteShapes:stairsFilledRailingMetalLeft,5
8002,concreteShapes:stairsFilledRailingMetalRight,4
8007,concreteShapes:stairsHollow,60
8010,concreteShapes:stairsHollowRailingMetalLeft,44
8011,concreteShapes:stairsHollowRailingMetalRight,16
8050,concreteShapes:stairsHollowRailingMetalFillerLeft,40
8051,concreteShapes:stairsHollowRailingMetalFillerRight,15
8087,concreteShapes:wedgeNarrowHighLeftTrim2SidedRail,2
8088,concreteShapes:wedgeNarrowHighLeftTrim2SidedRailEnd,5
8089,concreteShapes:wedgeNarrowMidLeftTrim2SidedRail,7
8090,concreteShapes:wedgeNarrowLowLeftTrim2SidedRail,7
8092,concreteShapes:wedgeNarrowTipLeftTrim2SidedRailEnd,7
8093,concreteShapes:wedgeNarrowHighRightTrim2SidedRail,3
8094,concreteShapes:wedgeNarrowHighRightTrim2SidedRailEnd,4
8095,concreteShapes:wedgeNarrowMidRightTrim2SidedRail,7
8096,concreteShapes:wedgeNarrowLowRightTrim2SidedRail,7
8098,concreteShapes:wedgeNarrowTipRightTrim2SidedRailEnd,7
