id,name,count
2,terrainFiller,1583
15,terrDestroyedWoodDebris,164
16,terrGravel,130
17,terrAsphalt,666
259,woodShapes:cube,137
316,woodShapes:pole,3
383,woodShapes:plate,110
704,woodShapes:ramp,1
1195,woodShapes:stairs,1
1321,woodShapes:railing,2
1324,woodShapes:railingBroke01,7
1707,woodShapes:doorTrim2m,2
1708,woodShapes:doorTrimTop,4
1717,woodShapes:windowTrim,5
1833,woodShapes:windowRampFourSidedFull,24
1834,woodShapes:windowRampFourSidedBroken,16
2024,woodShapes:windowBoarded,4
2029,woodShapes:windowCentered,8
2128,woodShapes:woodDebris01,2
2130,woodShapes:woodDebris03,1
2196,woodShapes:tableDynamic,10
2212,woodShapes:counterHollowTop,4
2280,woodShapes:fence,6
2491,brickShapes:cube,2033
2506,brickShapes:cubeHalf,598
2507,brickShapes:cubeHalfCentered,36
2536,brickShapes:cubeTee,1
2612,brickShapes:cubeHalfPlateCorner2,9
2936,brickShapes:ramp,22
3625,brickShapes:cubeTrimHalfSplit4Sided,19
3626,brickShapes:cubeTrimHalfSplit,157
3628,brickShapes:rampTrimHalfSplit,4
3630,brickShapes:halfTrimSplitOffset,6
3696,brickShapes:cubeTrimQuarterEdge,45
3727,brickShapes:cubeTrimQuarterCornerOutside,4
4213,brickShapes:arch3mWindowCorner,8
4214,brickShapes:arch3mCenterWindow,4
4267,brickShapes:brickDestroyed01,11
4268,brickShapes:brickDestroyed02,13
4269,brickShapes:brickDestroyed03,9
4271,brickShapes:brickDestroyed05,1
4272,brickShapes:brickHalfCenteredDestroyed01,1
4273,brickShapes:brickHalfCenteredDestroyed02,3
4274,brickShapes:brickHalfCenteredDestroyed03,1
4276,brickShapes:brickHalfDestroyed01,3
4277,brickShapes:brickHalfDestroyed02,2
4278,brickShapes:brickHalfDestroyed03,1
4279,brickShapes:brickHalfDestroyed04,1
4280,brickShapes:brickHalfDestroyed05,2
4281,brickShapes:brickHalfDestroyed06,1
4282,brickShapes:brickHalfDestroyed07,2
4285,brickShapes:cubeTrimDestroyed01,1
4288,brickShapes:cubeTrimDestroyed04,2
5132,cobblestoneShapes:arch3m,10
5133,cobblestoneShapes:arch3mTip,2
5134,cobblestoneShapes:arch3mMiddle,5
6955,concreteShapes:cube,1666
6970,concreteShapes:cubeHalf,119
6971,concreteShapes:cubeHalfCentered,108
6989,concreteShapes:halfQuarterPost,4
6993,concreteShapes:cubeQuarter,148
7007,concreteShapes:cubeEighth,6
7012,concreteShapes:pole,117
7109,concreteShapes:plateHalf,150
7400,concreteShapes:ramp,32
7559,concreteShapes:wedgeNarrowHigh,6
7560,concreteShapes:wedgeNarrowMid,6
7561,concreteShapes:wedgeNarrowLow,12
7562,concreteShapes:wedgeNarrowTip,10
7881,concreteShapes:stairsFilledQuarterVerticalUV,15
7882,concreteShapes:stairsFilledVerticalUV,19
7895,concreteShapes:stairsFilledRailingLeft,20
7896,concreteShapes:stairsFilledRailingRight,3
8132,concreteShapes:cubeTrimCenterHalf,3
8160,concreteShapes:cubeTrimQuarterEdge,10
8270,concreteShapes:cubeTrimQuarterEdgeTwoSided,28
8276,concreteShapes:cubeTrimQuarterCornerOutsideTwoSided,5
8290,concreteShapes:cubeTrimCornerRound,1
8752,concreteShapes:cubeTrimDestroyed04,2
8921,concreteShapes:cubeTileBroken,43
9187,steelShapes:cube,9
11117,steelShapes:securityGateCentered,2
11119,steelShapes:securityGatePlate,2
13412,awningShapes:verticalBlindsTop,5
13413,awningShapes:verticalBlindsTop2,11
13414,awningShapes:verticalBlindsBottom,16
13415,awningShapes:verticalBlindsTopRailOnly,11
13416,awningShapes:verticalBlindsTopOpen,9
13417,awningShapes:verticalBlindsTop2Open,6
13418,awningShapes:verticalBlindsBottomOpen,15
13651,corrugatedMetalShapes:cube,23
13666,corrugatedMetalShapes:cubeHalf,49
13708,corrugatedMetalShapes:pole,93
13709,corrugatedMetalShapes:poleCentered,12
13775,corrugatedMetalShapes:plate,8
13776,corrugatedMetalShapes:plateCentered,38
13859,corrugatedMetalShapes:pillar50,27
13890,corrugatedMetalShapes:pillar0.025Centered,5
13919,corrugatedMetalShapes:pipeStraightOpenEnded,4
13920,corrugatedMetalShapes:pipeJoint,8
13936,corrugatedMetalShapes:3mTubeCenter,59
13937,corrugatedMetalShapes:3mTubeCorner,60
14096,corrugatedMetalShapes:ramp,16
14113,corrugatedMetalShapes:rampCorner,16
14132,corrugatedMetalShapes:wedge60,8
14139,corrugatedMetalShapes:wedge60Corner,4
14388,corrugatedMetalShapes:halfRampStairs50Filler,16
14389,corrugatedMetalShapes:rampIncline,12
14390,corrugatedMetalShapes:rampInclineFiller,15
14569,corrugatedMetalShapes:pillar50PlatePillar0.025,3
14713,corrugatedMetalShapes:railing,11
14715,corrugatedMetalShapes:railingCorner,1
