id,name,count
2,terrainFiller,5820
16,terrGravel,1189
259,woodShapes:cube,1224
274,woodShapes:cubeHalf,139
282,woodShapes:cubeCornerBeveled,1
316,woodShapes:pole,27
330,woodShapes:poleSquareCornerBracketLeft,1
332,woodShapes:poleSquareCornerBracketRight,1
345,woodShapes:cubePoleCorner,2
376,woodShapes:cubeQuarterCenteredSquareTop,3
383,woodShapes:plate,94
384,woodShapes:plateCentered,5
412,woodShapes:plateThreeQuarter,2
413,woodShapes:plateHalf,3
424,woodShapes:platePoleSideCentered,5
438,woodShapes:arrowSlitQuarter,1
447,woodShapes:billboard,1
705,woodShapes:ramp,203
713,woodShapes:rampInsideCornerFull,5
715,woodShapes:rampInsideCornerInclineLeft,3
716,woodShapes:rampInsideCornerInclineRight,4
729,woodShapes:rampSplitLeft01,6
730,woodShapes:rampSplitRight01,6
733,woodShapes:rampSplitLeft03,3
734,woodShapes:rampSplitRight03,4
741,woodShapes:wedge60,14
742,woodShapes:wedge60Tip,33
743,woodShapes:wedge60TipHalf,24
744,woodShapes:wedge60TipHalfOutsideCorner,2
746,woodShapes:wedge60TipHalfCornerLeft,3
747,woodShapes:wedge60TipHalfCornerRight,3
754,woodShapes:wedge60Incline,24
791,woodShapes:rampInclineInsideCnr,16
792,woodShapes:rampInclineHalfLeft,36
793,woodShapes:rampInclineHalfRight,36
850,woodShapes:cubeHalfWedge60BevelLeft,2
851,woodShapes:cubeHalfWedge60BevelRight,2
852,woodShapes:wedge60InclineHalfLeft,2
853,woodShapes:wedge60InclineHalfRight,2
858,woodShapes:wedge60TipHalfLeft,2
859,woodShapes:wedge60TipHalfRight,2
879,woodShapes:wedgeRampLeft,1
880,woodShapes:wedgeRampRight,1
881,woodShapes:wedgeTipRampLeft,1
882,woodShapes:wedgeTipRampRight,1
907,woodShapes:rampWedgeTipHollow,6
931,woodShapes:wedgeTipHalf,65
953,woodShapes:gableHalf,10
970,woodShapes:gableInvertedHalfHalfOffset,9
971,woodShapes:gableInvertedHalfQuarterOffset,9
1002,woodShapes:halfRampStairs50,13
1004,woodShapes:rampIncline,208
1005,woodShapes:rampInclineFiller,212
1006,woodShapes:rampInclineFillerHalfLeft,27
1007,woodShapes:rampInclineFillerHalfRight,27
1008,woodShapes:rampInclineInsideCnrFiller,16
1176,woodShapes:cubeHalfPillar0.025,3
1192,woodShapes:stairsFilledQuarterVerticalUV,4
1196,woodShapes:stairsFilledDiagonal1,6
1197,woodShapes:stairsFilledDiagonal2,4
1204,woodShapes:stairsRailing,3
1215,woodShapes:stairsHollowRailingLeft,5
1331,woodShapes:railing,39
1344,woodShapes:cubeBaseboard,42
1348,woodShapes:cubeBaseboard2Sided,3
1350,woodShapes:cubeBaseboard4Sided,1
1360,woodShapes:halfBaseboardOffset,2
1364,woodShapes:halfBaseboard4Sided,2
1369,woodShapes:cubeBaseboardChairRail,5
1401,woodShapes:counterBottomFiller,11
1402,woodShapes:counterRound1m,2
1410,woodShapes:cubeTrimHalfSplit,30
1420,woodShapes:cubeTrimHalfEdge2,22
1452,woodShapes:cubeTrimCenterHalf,4
1515,woodShapes:cubeTrimQuarterCornerInside,6
1590,woodShapes:cubeTrimQuarterEdgeTwoSided,33
1700,woodShapes:halfCrownCorner5,1
1701,woodShapes:halfCrownCorner6,1
1710,woodShapes:crown,2
1711,woodShapes:crownStraight,27
1715,woodShapes:crownInsideCorner,13
1729,woodShapes:doorTrim1m,14
1733,woodShapes:doorTrim1mDouble,2
1738,woodShapes:doorTrimThreeSided,2
1745,woodShapes:windowTrim,36
1746,woodShapes:windowTrimBottom,20
1747,woodShapes:windowTrimSides,2
1973,woodShapes:window01,20
1974,woodShapes:window01Broken,19
2000,woodShapes:rampWindow01Centered,3
2001,woodShapes:rampWindow01CenteredBroken,1
2156,woodShapes:woodDebris01,7
2174,woodShapes:floorJoist,73
2222,woodShapes:coffeeTable,2
2225,woodShapes:tableDynamicHalf,2
2247,woodShapes:plateCounterSquareHole,1
2261,woodShapes:bookcaseEmpty,2
2308,woodShapes:fence,11
2311,woodShapes:fenceBroken1,10
2312,woodShapes:fenceBroken2,9
2313,woodShapes:fenceCentered,150
2314,woodShapes:fenceCenteredBroken1,7
2315,woodShapes:fenceCenteredBroken2,7
7039,concreteShapes:cube,344
7054,concreteShapes:cubeHalf,9
7055,concreteShapes:cubeHalfCentered,25
7077,concreteShapes:cubeQuarter,9
7082,concreteShapes:quarterInsideCorner,2
7160,concreteShapes:cubeHalfPlateCorner2,1
7485,concreteShapes:ramp,8
7522,concreteShapes:wedge60Tip,1
7638,concreteShapes:wedge60TipHalfLeft,1
7639,concreteShapes:wedge60TipHalfRight,1
7973,concreteShapes:stairsFilledVerticalUV,1
7976,concreteShapes:stairsFilledDiagonal1,1
7977,concreteShapes:stairsFilledDiagonal2,2
7986,concreteShapes:stairsFilledRailingLeft,4
7987,concreteShapes:stairsFilledRailingRight,4
8181,concreteShapes:counterBottomFiller,8
8295,concreteShapes:cubeTrimQuarterCornerInside,3
8370,concreteShapes:cubeTrimQuarterEdgeTwoSided,36
8419,concreteShapes:rampTrimQuarterEdge2Sided,4
8525,concreteShapes:windowTrim,4
8536,concreteShapes:archWindowTrim,4
