id,name,count
2,terrainFiller,79982
16,terrGravel,70
259,woodShapes:cube,30
316,woodShapes:pole,129
318,woodShapes:poleSideCentered,4
331,woodShapes:poleSquareSideCenteredCornerBracket,2
455,woodShapes:pillar100,431
467,woodShapes:pillar50,10
515,woodShapes:poleSupport1m,109
520,woodShapes:poleSupportCenter,4
1196,woodShapes:stairsRailing,15
1246,woodShapes:catwalkV1,354
1248,woodShapes:catwalkV1Railing,8
1249,woodShapes:catwalkV1Corner,5
1254,woodShapes:catwalkV1RailOnly,80
2156,woodShapes:table,10
2240,woodShapes:fence,54
2444,brickShapes:cube,2832
2889,brickShapes:ramp,20
4181,brickShapes:brickDestroyed01,138
4182,brickShapes:brickDestroyed02,36
4183,brickShapes:brickDestroyed03,4
17933,cntWeaponsBagSmall,1
17952,cntMedicLootPileB,1
17960,cntShippingCrateHero,1
17969,cntShippingCrateConstructionSupplies,1
18011,cntWoodenChestRottenClosed,2
18176,cntTrashPile03,1
18621,decoCookingPotRandomLootHelper,4
18860,wallTorchLight,7
19586,emberPileDeco1,1
19587,emberPileDeco2,1
19873,cntCollapsedCampfire,1
19916,oldWoodDoor,8
20447,woodHatch,3
21154,woodChair1,3
21489,cntCoffinWildWestClosed,3
21499,graveStone07,1
22223,ladderWood,36
22667,signNationalPark,1
23547,cntStoreCratesRandomLootHelper,2
23550,cntWorkbenchBustedRandomLootHelper,1
23561,sleeperSit,25
23562,sleeperBack,6
23563,sleeperSideLeft,2
23564,sleeperSideRight,4
23566,sleeperIdle,6
