id,name,count
2,terrainFiller,39230
3,terrainFillerAdaptive,15439
16,terrGravel,379
259,woodShapes:cube,351
261,woodShapes:cubeHalfInsideCorner,1
268,woodShapes:cubeHalfCorner,3
274,woodShapes:cubeHalf,142
290,woodShapes:cubeHalfCornerBeveled,2
297,woodShapes:cubeQuarter,3
313,woodShapes:cubeHalfPoleCorner,3
314,woodShapes:cubeHalfPoleSideCentered,9
316,woodShapes:pole,81
318,woodShapes:poleSideCentered,44
319,woodShapes:poleHalf,2
322,woodShapes:poleTwoWayCorner,2
333,woodShapes:poleSquareBracketCorner,2
336,woodShapes:poleSquareBracketLeft,1
337,woodShapes:poleSquareBracketRight,1
345,woodShapes:cubePoleCorner,2
358,woodShapes:poleSquareDiagonal,2
360,woodShapes:catwalkPlate,48
362,woodShapes:polePlateHalf,2
364,woodShapes:polePlateHalfOffCentered,1
369,woodShapes:polePlateOffCentered,2
379,woodShapes:cubeHalfPlateCorner,20
380,woodShapes:cubeHalfPlateCorner2,22
383,woodShapes:plate,222
384,woodShapes:plateCentered,8
386,woodShapes:plateCladding01,4
395,woodShapes:plateCorner,3
398,woodShapes:plateCornerHalf,6
413,woodShapes:plateHalf,10
423,woodShapes:platePole,18
424,woodShapes:platePoleSideCentered,18
428,woodShapes:platePoleCorner2,59
430,woodShapes:poleTwoWayPlate2,6
434,woodShapes:poleThreeWayPlate2,1
435,woodShapes:platePoleCornerCorner,3
518,woodShapes:poleSupport,5
519,woodShapes:poleSupport2,5
649,woodShapes:cube7mRoundCatwalk01,2
650,woodShapes:cube7mRoundCatwalk02,3
651,woodShapes:cube7mRoundCatwalk03,3
652,woodShapes:cube7mRoundCatwalk04,3
653,woodShapes:cube7mRoundCatwalk05,3
654,woodShapes:cube7mRoundCatwalk06,3
655,woodShapes:cube7mRoundCatwalk01Left,1
656,woodShapes:cube7mRoundCatwalk01Right,1
705,woodShapes:ramp,55
715,woodShapes:rampInsideCornerInclineLeft,1
716,woodShapes:rampInsideCornerInclineRight,1
723,woodShapes:rampCornerFiller,2
735,woodShapes:rampSplitLeft04,1
740,woodShapes:rampSplitInclineRight,1
741,woodShapes:wedge60,16
742,woodShapes:wedge60Tip,70
748,woodShapes:wedge60Corner,1
749,woodShapes:wedge60TipCorner,3
751,woodShapes:wedge60InsideCorner,4
754,woodShapes:wedge60Incline,36
766,woodShapes:wedge60InclineCorner,2
791,woodShapes:rampInclineInsideCnr,15
879,woodShapes:wedgeRampLeft,1
880,woodShapes:wedgeRampRight,1
881,woodShapes:wedgeTipRampLeft,1
882,woodShapes:wedgeTipRampRight,1
913,woodShapes:wedge60Gable1m,1
956,woodShapes:gable3Quarter,3
965,woodShapes:gablePlateHalf,1
1002,woodShapes:halfRampStairs50,5
1003,woodShapes:halfRampStairs50Filler,5
1004,woodShapes:rampIncline,113
1005,woodShapes:rampInclineFiller,93
1006,woodShapes:rampInclineFillerHalfLeft,4
1008,woodShapes:rampInclineInsideCnrFiller,12
1019,woodShapes:plateDiagonalHalfLeft,22
1020,woodShapes:plateDiagonalHalfRight,22
1022,woodShapes:plateDiagonalFillerHalfLeft,21
1023,woodShapes:plateDiagonalFillerHalfRight,21
1044,woodShapes:plateWedge60HalfOffset,13
1045,woodShapes:plateWedge60HalfLeftOffset,1
1046,woodShapes:plateWedge60HalfRightOffset,1
1054,woodShapes:plateWedge60TipHalfLeft,6
1055,woodShapes:plateWedge60TipHalfRight,6
1061,woodShapes:plateWedge60InclineHalfLeft,5
1062,woodShapes:plateWedge60InclineHalfRight,5
1064,woodShapes:plateWedge60FillerHalfLeft,4
1065,woodShapes:plateWedge60FillerHalfRight,4
1095,woodShapes:slopePlate02PoleLeft,2
1096,woodShapes:slopePlate02PoleRight,2
1111,woodShapes:slopePlate01,27
1112,woodShapes:slopePlate02,23
1113,woodShapes:slopePlate03,25
1114,woodShapes:slopePlate04,11
1115,woodShapes:slopeHalfPlateLeft01,2
1116,woodShapes:slopeHalfPlateLeft02,2
1117,woodShapes:slopeHalfPlateLeft03,2
1118,woodShapes:slopeHalfPlateLeft04,1
1120,woodShapes:slopeHalfPlateRight01,2
1121,woodShapes:slopeHalfPlateRight02,2
1122,woodShapes:slopeHalfPlateRight03,1
1123,woodShapes:slopeHalfPlateRight04,1
1174,woodShapes:platePillar0.025,5
1176,woodShapes:cubeHalfPillar0.025,9
1182,woodShapes:wedge60TipPillar0.025,4
1187,woodShapes:rampInclineFillerPillar0.025,10
1192,woodShapes:stairsFilledQuarterVerticalUV,4
1204,woodShapes:stairsRailing,8
1205,woodShapes:stairsRailingMetal,21
1331,woodShapes:railing,14
1333,woodShapes:railingCorner,1
1334,woodShapes:railingBroke01,2
1344,woodShapes:cubeBaseboard,14
