id,name,count
2,terrainFiller,1824
3,terrainFillerAdaptive,270
16,terrGravel,536
22,terrOrePotassiumNitrate,2
316,woodShapes:pole,5
318,woodShapes:poleSideCentered,12
369,woodShapes:polePlateOffCentered,4
491,woodShapes:pillar50Plate,1
537,woodShapes:poleUtilitySupport,16
539,woodShapes:pillar375UtilityTop,8
1403,woodShapes:cubeHalfTrimHalfQuadTopOffset,4
2160,woodShapes:floorJoist,70
2229,woodShapes:counterHollowCombo,1
2241,woodShapes:cubeBookcase,1
2294,woodShapes:fence,91
2297,woodShapes:fenceBroken1,3
2298,woodShapes:fenceBroken2,4
2544,brickShapes:cubeQuarterCenter,16
2609,brickShapes:polePlateHalfCentered,10
2614,brickShapes:polePlateCentered,10
2622,brickShapes:cubeQuarterCenteredSquareTop,8
6997,concreteShapes:cube,70
8326,concreteShapes:cubeTrimQuarterEdgeTwoSided,48
8332,concreteShapes:cubeTrimQuarterCornerOutsideTwoSided,8
13750,corrugatedMetalShapes:cubeHalf,8
13771,corrugatedMetalShapes:cubeQuarterPlateCorner,2
13794,corrugatedMetalShapes:poleSideCentered,2
13797,corrugatedMetalShapes:poleHalfSideCentered,1
13803,corrugatedMetalShapes:poleSquareSideCenteredTeeFourWay,1
13859,corrugatedMetalShapes:plate,46
13886,corrugatedMetalShapes:plateCornerRound1m02,2
13889,corrugatedMetalShapes:plateHalf,5
13894,corrugatedMetalShapes:plateHalfTriangle,6
13923,corrugatedMetalShapes:billboard,1
13985,corrugatedMetalShapes:pillar0.05Middle,1
14163,corrugatedMetalShapes:cornerRound,6
14165,corrugatedMetalShapes:plateRound,6
14177,corrugatedMetalShapes:plateFenderSkirt,2
14218,corrugatedMetalShapes:wedge60Tip,6
14492,corrugatedMetalShapes:plateDiagonal,3
14495,corrugatedMetalShapes:plateDiagonalFiller,5
14504,corrugatedMetalShapes:plateRamp,10
14510,corrugatedMetalShapes:plateRampCornerOutside,4
14609,corrugatedMetalShapes:slopePlateLeft03,2
14615,corrugatedMetalShapes:slopePlateRight03,2
15207,corrugatedMetalShapes:windowTrim,4
15326,corrugatedMetalShapes:windowRampTwoSidedFull,3
15375,corrugatedMetalShapes:windowPlateRoundedSquare4SidedHalfWidthFull,2
15379,corrugatedMetalShapes:windowPlateRoundedSquareHalf3SidedFull,7
15381,corrugatedMetalShapes:windowPlateRoundedSquare2SidedFull,2
15382,corrugatedMetalShapes:windowPlateRoundedSquare3SidedFull,1
15386,corrugatedMetalShapes:windowPlateTwoSidedTriangleLeftFull,1
15387,corrugatedMetalShapes:windowPlateTwoSidedTriangleRightFull,1
15410,corrugatedMetalShapes:windowPlateRoundedSquare3SidedEmpty,4
15717,corrugatedMetalShapes:cubeBookcase,2
15745,corrugatedMetalShapes:verticalBlindsTopRailOnly,2
15752,corrugatedMetalShapes:mirrorRound,1
18593,cntCupboardCabinetFullRedTopClosed,1
18608,cntCounterHollowCabinetTaupe,1
18613,sinkKitchen,1
18615,wallMountSinkCommercial,1
18622,showerHead,1
18631,cntToilet03,1
18688,cntTrashPile02,1
18700,garbage_decor2,1
18701,garbage_decor3,4
18709,newspaperDecor02,1
18713,rubbishDecor02,1
18774,cntFancyGarbageCan,1
18825,cntCoolerRandomLootHelper,2
18839,cntBackpack03,1
18873,cntSportsBag01RandomLootHelper,1
18889,satelliteUnitSmallFloor,1
19088,cntgasRangeWhite,1
19094,cntwallOvenFullWhite,1
19107,cntCharcoalGrillRandomLootHelper,1
19153,cntCoffeeMaker,1
19209,tvExtraSmallWall1x1,1
19254,recessedLight,2
19258,lightCeiling07,1
19972,calendar2034,1
20097,decoCarWheelOffset03,2
20106,goreBlockHumanCorpse,1
20108,goreBlockHumanCorpse2,1
20111,goreBlockHumanBones,1
20859,trailerDoorOrange,1
20868,trailerDoorNoWindowWhite,1
21745,decoPicnicTable,4
21762,umbrellaTableUpGreen,1
21834,chairCampingWhite,2
21981,parkBenchA,2
22000,decoWineBottleCorner,1
22002,decoWineBottlePile01,2
22099,bedMadeNoFrameRandomHelper,1
22125,mattressFlatThin,1
22158,cntCommercialCoolerLootHelper,1
22321,decoConcreteBollard,7
22322,decoConcreteBollardDestroyed01,1
22323,decoConcreteBollardDestroyed02,1
22324,decoConcreteBollardDestroyed03,1
22335,parkingBlockYellow,4
22336,parkingBlockCrooked1Yellow,2
22337,parkingBlockCrooked2Yellow,2
22614,cntBookcaseEmpty,1
22708,cntShoppingBasketEmptyOrange,1
22721,restaurantBooth,2
22783,restaurantTableEnd,1
23413,signRoadSlow,1
23730,carsRandomHelper,2
23892,cntFrontCrumpledSedan01RandomHelper,1
24245,treeMediumRandomHelper,1
