id,name,count
1,terrStone,2
9,terrDesertGround,2557
11,terrSandStone,129042
16,terrGravel,1318
19,terrOreIron,44
20,terrOreLead,26
23,terrOreOilDeposit,1465
259,woodShapes:cube,422
274,woodShapes:cubeHalf,3
310,woodShapes:pole,170
375,woodShapes:plate,16
447,woodShapes:pillar100,820
507,woodShapes:poleSupport1m,280
510,woodShapes:poleSupport,28
511,woodShapes:poleSupport2,21
512,woodShapes:poleSupportCenter,20
513,woodShapes:poleCross,6
694,woodShapes:rampFrame,3
695,woodShapes:ramp,190
711,woodShapes:rampCorner,12
712,woodShapes:rampCornerFiller,4
729,woodShapes:wedge60,24
730,woodShapes:wedge60Tip,30
776,woodShapes:rampInclineHalfLeft,14
777,woodShapes:rampInclineHalfRight,14
964,woodShapes:pyramid,1
979,woodShapes:rampInclineFillerHalfLeft,12
980,woodShapes:rampInclineFillerHalfRight,12
1149,woodShapes:stairsRailing,18
1189,woodShapes:catwalkV1,181
1191,woodShapes:catwalkV1Railing,71
1192,woodShapes:catwalkV1Corner,15
1193,woodShapes:catwalkV1Wedge,10
1194,woodShapes:catwalkV1WedgeRailing,9
1197,woodShapes:catwalkV1RailOnly,85
1797,woodShapes:window01,3
1799,woodShapes:window01Broken02,1
1800,woodShapes:window01Broken03,2
1801,woodShapes:window01Broken04,3
1872,woodShapes:windowBoarded,10
2125,woodShapes:fence,153
2317,brickShapes:cube,69
3941,brickShapes:brickDestroyed01,20
6433,concreteShapes:cube,395
12607,corrugatedMetalShapes:cube,617
12787,corrugatedMetalShapes:billboard,17
12807,corrugatedMetalShapes:pillar50,3
13025,corrugatedMetalShapes:cornerRound,53
13032,corrugatedMetalShapes:cubeCornerRoundTop,14
13043,corrugatedMetalShapes:ramp,176
14157,corrugatedMetalShapes:window04Full,2
14158,corrugatedMetalShapes:window04Broken01,1
14368,corrugatedMetalShapes:trussing,236
14657,corrugatedMetalShapes:metalTruss3D,5
16829,cntGunSafe,1
16906,cntMunitionsBoxArmy,2
16937,cntShippingCrateWorkingStiffs,3
16940,cntShippingCrateConstructionSupplies,5
16942,cntCardboardBox,3
16950,cntLootCrateWorkingStiffs,1
16982,cntWoodenChestRottenClosed,2
17053,cntCabinetOldBottomLootHelper,2
17145,cntTrashPile01,4
17146,cntTrashPile02,8
17147,cntTrashPile03,5
17148,cntTrashPile04,9
17149,cntTrashPile05,8
17150,cntTrashPile06,9
17151,cntTrashPile07,3
17152,cntTrashPile08,12
17153,cntTrashPile09,9
17154,garbage_decor1,6
17155,garbage_decor2,7
17156,garbage_decor3,11
17174,cntBinTrashMetalWhiteRandomLootHelper,1
17263,cntBackpack01,1
17264,cntBackpack03,1
17265,cntDuffle01,1
17298,cntSportsBag01RandomLootHelper,1
17299,cntSportsBag02RandomLootHelper,1
17316,controlPanelBase01,1
17317,controlPanelBase02,1
17318,controlPanelBase03,1
17323,controlPanelBase08,6
17325,controlPanelTop01,1
17326,controlPanelTop02,1
17327,controlPanelTop03,1
17424,conduit01,38
17425,conduit01End,3
17428,conduit01Corner,9
17646,ceilingLight04,16
17672,industrialLight01,6
17810,wallTorchLight,18
17813,candleWallLight,1
18194,chainlinkFenceBottomPlainPoleRight,9
18196,chainlinkFenceTopPlainRail,8
18197,chainlinkFenceTopPlainPoleLeft,48
18198,chainlinkFenceTopPlainPoleRight,48
18424,cntBirdnest,7
18426,driftwood,5
18427,driftwood2,2
18803,ironDoorBrown,1
19054,commercialDoorV2Grey,2
19526,windowPlug02CTRPlate,1
19743,cntDeskMetalGreyRandomLootHelper,2
19761,rustyIronTable,6
19787,officeChair01,2
19800,woodChair1,5
20498,cntBookcaseGoodRandomLootHelper,2
20831,metalCatwalk,72
20846,metalRailing,37
20850,metalCatwalkRailingCNR,5
20854,metalStairsBoardRailing,4
20960,burntWoodBlock2,4
20961,burntWoodBlock3,4
20962,burntWoodBlock4,5
20963,burntWoodBlock5,3
20964,burntWoodBlock6,9
20965,burntWoodRamp7,3
21057,metalPipeStraight,59
21058,metalPipeValve,1
21059,metalPipeCorner,11
21060,metalPipeJoint,2
21062,metalPipeFlange,23
22011,treeCactus01,1
22012,treeCactus02,1
22013,treeCactus03,2
22028,mushroom01,1
22032,plantedMushroom3Harvest,5
22036,plantedYucca3Harvest,8
22056,plantedAloe3Harvest,8
22121,cntWorkbenchBustedRandomLootHelper,1
22132,sleeperSit,29
22133,sleeperBack,3
22134,sleeperSideLeft,9
22135,sleeperSideRight,7
22136,sleeperStomach,7
22137,sleeperIdle,6
