id,name,count
2,terrainFiller,5523
16,terrGravel,216
17,terrAsphalt,941
29,terrStoneHelper,707
375,woodShapes:plate,1
439,woodShapes:billboard,8
463,woodShapes:halfLengthPillar50,3
464,woodShapes:halfLengthPillar50Corner,4
1872,woodShapes:windowBoarded,4
1980,woodShapes:shantywall03,1
6433,concreteShapes:cube,2608
6436,concreteShapes:cubeThreeQuarter,4
6448,concreteShapes:cubeHalf,210
6449,concreteShapes:cubeHalfCentered,69
6465,concreteShapes:cubeQuarter,4
6549,concreteShapes:plate,18
6554,concreteShapes:plateCladding03,40
6555,concreteShapes:plateCladding04,13
6556,concreteShapes:plateCladding05,73
6621,concreteShapes:pillar100,1
6713,concreteShapes:3mTunnelCenter,7
6717,concreteShapes:3mTunnelCorner,106
6718,concreteShapes:3mTunnelInsideCorner,4
6827,concreteShapes:arch2,4
6851,concreteShapes:cornerRound,1
6853,concreteShapes:plateRound,3
6903,concreteShapes:wedge60,28
6904,concreteShapes:wedge60Tip,6
7448,concreteShapes:cubeBaseboard,12
7469,concreteShapes:cubeBaseboardChairRail,29
7472,concreteShapes:cubeBaseboardChairRail4Sided,2
7475,concreteShapes:halfChairRail,6
7476,concreteShapes:halfChairRailOffset,4
7477,concreteShapes:cubeHalfBaseboardChairRail2SidedLeft,1
7478,concreteShapes:cubeHalfBaseboardChairRail2SidedRight,1
7574,concreteShapes:cubeTrimQuarterEdge,42
7609,concreteShapes:cubeTrimQuarterCornerInside,39
7622,concreteShapes:cubeTrimQuarterCornerInsideTriangle,1
7684,concreteShapes:cubeTrimQuarterEdgeTwoSided,267
7690,concreteShapes:cubeTrimQuarterCornerOutsideTwoSided,6
7701,concreteShapes:cubeTrimCornerRound,8
8245,concreteShapes:cubeTileBroken,7
8326,concreteShapes:plateSidewalkBroke01,4
8327,concreteShapes:plateSidewalkBroke02,2
8329,concreteShapes:plateSidewalkBroke04,1
8333,concreteShapes:roadPaintDashCNTR,60
8491,steelShapes:cube,2
8494,steelShapes:cubeThreeQuarter,112
8714,steelShapes:halfBlockPillar50,16
8762,steelShapes:pillar25,8
9077,steelShapes:wedgeNarrowLow,8
9432,steelShapes:catwalkV2,16
9857,steelShapes:doorTrimCorner,14
9861,steelShapes:doorTrim1m,65
9865,steelShapes:doorTrim1mDouble,4
9871,steelShapes:doorTrimSquare,8
9887,steelShapes:archTrim,4
10110,steelShapes:windowPanel,36
12387,awningShapes:verticalBlindsTop,6
12388,awningShapes:verticalBlindsTop2,9
12389,awningShapes:verticalBlindsBottom,30
12390,awningShapes:verticalBlindsTopRailOnly,2
12391,awningShapes:verticalBlindsTopOpen,2
12392,awningShapes:verticalBlindsTop2Open,2
12393,awningShapes:verticalBlindsBottomOpen,8
12607,corrugatedMetalShapes:cube,208
12609,corrugatedMetalShapes:cubeHalfInsideCorner,4
12622,corrugatedMetalShapes:cubeHalf,414
12624,corrugatedMetalShapes:cube0.25m,3
12632,corrugatedMetalShapes:cubeHalfCornerBeveled,2
12658,corrugatedMetalShapes:pole,26
12660,corrugatedMetalShapes:poleSideCentered,18
12681,corrugatedMetalShapes:poleSquareDouble,5
12685,corrugatedMetalShapes:cubePoleCorner,4
12690,corrugatedMetalShapes:cubePoleCornerDouble,2
12723,corrugatedMetalShapes:plate,25
12787,corrugatedMetalShapes:billboard,1
12807,corrugatedMetalShapes:pillar50,10
12821,corrugatedMetalShapes:pillar50CenterPlate,1
12825,corrugatedMetalShapes:pillar50CenteredSquareBottom,1
12830,corrugatedMetalShapes:halfBlockPillar50,1
12831,corrugatedMetalShapes:pillar50Plate,1
12847,corrugatedMetalShapes:pillar0.05Centered,49
12849,corrugatedMetalShapes:pillar0.05Middle,49
12854,corrugatedMetalShapes:pillar0.25Triple,41
12865,corrugatedMetalShapes:pipeStraight,43
12867,corrugatedMetalShapes:pipeJoint,1
12868,corrugatedMetalShapes:pipeFlange,46
12869,corrugatedMetalShapes:pipeCorner,10
12883,corrugatedMetalShapes:3mTubeCenter,4
12884,corrugatedMetalShapes:3mTubeCorner,4
13044,corrugatedMetalShapes:cubeHalfRamp,3
13077,corrugatedMetalShapes:wedge60,10
13193,corrugatedMetalShapes:wedgeNarrowLow,2
13477,corrugatedMetalShapes:pillar50PlatePillar0.025,4
13485,corrugatedMetalShapes:stairsFilledQuarterVerticalUV,28
13549,corrugatedMetalShapes:catwalkV2RailSingle,18
13551,corrugatedMetalShapes:catwalkV2Rail,5
13562,corrugatedMetalShapes:catwalkV2Railing2EndLeft,4
13563,corrugatedMetalShapes:catwalkV2Railing2EndRight,4
13602,corrugatedMetalShapes:catwalkV2RailOnlyEndLeft,2
13603,corrugatedMetalShapes:catwalkV2RailOnlyEndRight,2
13613,corrugatedMetalShapes:bars,16
13649,corrugatedMetalShapes:halfChairRail,28
13668,corrugatedMetalShapes:rampInclineBaseboardChairRailFiller,8
13669,corrugatedMetalShapes:counterBottomFiller,3
13670,corrugatedMetalShapes:counterRound1m,2
13677,corrugatedMetalShapes:cubeTrimHalfSplit4Sided,2
13973,corrugatedMetalShapes:doorTrimCorner,28
13977,corrugatedMetalShapes:doorTrim1m,95
14026,corrugatedMetalShapes:windowStoreOneSidedFull,6
14027,corrugatedMetalShapes:windowStoreTwoSidedFull,10
14028,corrugatedMetalShapes:windowStoreThreeSidedFull,22
14029,corrugatedMetalShapes:windowStoreFourSidedFull,11
14030,corrugatedMetalShapes:windowStoreCornerFull,6
14042,corrugatedMetalShapes:windowStoreTwoSidedBroken,2
14043,corrugatedMetalShapes:windowStoreThreeSidedBroken,2
14044,corrugatedMetalShapes:windowStoreFourSidedBroken,12
14058,corrugatedMetalShapes:windowStoreFourSidedEmpty,5
14363,corrugatedMetalShapes:bracketCentered,4
14387,corrugatedMetalShapes:fakeDynamicGrate,1
14389,corrugatedMetalShapes:table,10
14496,corrugatedMetalShapes:farmPlot,2
14507,corrugatedMetalShapes:roadPaintDashCNTR,7
14620,corrugatedMetalShapes:signLetter_a,6
14622,corrugatedMetalShapes:signLetter_c,6
14631,corrugatedMetalShapes:signLetter_l,3
14637,corrugatedMetalShapes:signLetter_r,6
14638,corrugatedMetalShapes:signLetter_s,6
16724,bulletproofShapes:windowStoreTwoSidedBulletproofFull,6
16725,bulletproofShapes:windowStoreThreeSidedBulletproofFull,2
16726,bulletproofShapes:windowStoreFourSidedBulletproofFull,12
16727,bulletproofShapes:windowStoreCornerBulletproofFull,8
16816,cntWallSafe,1
16912,cntAmmoPileMedium,1
16923,cntMedicLootPileB,1
16935,cntShippingCrateCarParts,2
16937,cntShippingCrateWorkingStiffs,1
16955,cntLootChestHero,1
16974,cntQuestInfestedT3LootHelper,1
16988,cntWoodenChestMilitaryClosed,1
17053,cntCabinetOldBottomLootHelper,3
17073,wallMountSinkCommercial,2
17089,cntToilet03,3
17090,urinalCommercialMounted,1
17091,drinkingfountainSingle,1
17093,bathroomStallDoor,3
17094,bathroomStallWall,2
17095,bathroomStallSupport,3
17098,bathroomStallSCTRBeam,3
17108,wallMirrorRandomHelper,2
17111,cntPillCaseRandomLootHelper,1
17143,laundryPileLong,1
17144,laundryLoose,1
17145,cntTrashPile01,3
17146,cntTrashPile02,1
17147,cntTrashPile03,1
17149,cntTrashPile05,1
17150,cntTrashPile06,1
17153,cntTrashPile09,1
17154,garbage_decor1,4
17155,garbage_decor2,4
17156,garbage_decor3,5
17174,cntBinTrashMetalWhiteRandomLootHelper,2
17209,cntFancyGarbageCan,2
17215,cntDomedTrashCanCornerRandomLootHelper,5
17218,cntBruteStyleTrashCanRandomLootHelper,1
17219,cntDumpster,1
17241,cntUtilityCartRandomLootHelper,1
17296,cntLuggagePileBRandomLootHelper,1
17297,cntBagsRandomLootHelper,1
17311,airConditionVentFan,1
17312,airConditionVentFanDouble,2
17320,controlPanelBase05,1
17420,commercialSingleMeter,1
17424,conduit01,14
17439,keyRackBoxMetal01,1
17448,pipeSmallWallValveSwitchRed,1
17580,wallClockRandomLootHelper,3
17587,decoComputerMonitorKeyboardMousePC,1
17588,decoComputerMonitorKeyboardMouse,3
17590,decoComputerMonitor,1
17649,recessedLight,3
17650,recessedLight_2x2,1
17653,lightCeiling07,10
17657,fluorescentLightBayBroken,1
17671,trackLight,1
17672,industrialLight01,1
17673,lightIndustrial,2
17690,lanternDecorLightRandomHelper,1
17709,flashlightDecorRandomHelper,2
17729,endTable,1
17733,signExitFrameMount,2
17735,signExitFrameMount2mCentered,1
17785,workLightPOI,2
17786,streetLight01,1
18174,chainlinkFenceDoor,1
18180,chainlinkFenceBottomRailPoleLeft,1
18181,chainlinkFenceBottomRailPoleRight,1
18183,chainlinkFenceMiddleRail,2
18184,chainlinkFenceMiddleRailPoleLeft,3
18185,chainlinkFenceMiddleRailPoleRight,3
18187,chainlinkFenceTopRail,2
18188,chainlinkFenceTopRailBridge,1
18189,chainlinkFenceTopRailPoleLeft,3
18190,chainlinkFenceTopRailPoleRight,3
18394,decoCarTireSmallFlat,1
18397,decoCarTireStack,1
18402,decoCarTireStack02,1
18415,goreBlockHumanCorpse,1
18416,goreBlockHumanCorpse1,1
18450,cinderBlocks01,1
18452,cinderBlocks03,2
18544,palletCompressedCardboard,1
18810,ironDoorGrey,1
19018,commercialGlassDoor,2
19019,commercialBulletproofGlassDoor,2
19049,commercialDoorV2Orange,3
19093,commercialDoorV4Orange,1
19743,cntDeskMetalGreyRandomLootHelper,1
19790,officeChair01Orange,3
19803,oldChair1,2
19808,oldChair1White,3
19933,couchModernArmBlack,10
19935,couchModernSectionBlack,5
19979,cntWaterCoolerFullSideCentered,1
20130,cntToolBoxRandomLootHelperRed,1
20166,cntRollingToolBoxRandomLootHelperRed,1
20229,parkingBlockYellow,10
20252,cntVendingMachine2RandomLootHelper,1
20302,cntStoreShelfSingleTopEmpty,2
20320,cntStoreShelfSingleTopHardwareRandomLootHelper,1
20496,cntBookcaseEmpty,3
20523,cntBookShelfSingleCapBottomRandomLootHelper,1
20527,cntBookShelfSingleCapTopRandomLootHelper,1
20549,cntCashRegisterRandomLootHelper,1
20732,cntFileCabinetTallGreyRandomLootHelper,1
20733,cntFileCabinetTallBlackRandomLootHelper,2
20831,metalCatwalk,18
20837,metalCatwalkRailing2,3
20843,metalCatwalkRailing1,10
20850,metalCatwalkRailingCNR,2
20854,metalStairsBoardRailing,8
20954,metalTrussingCentered,22
20999,concreteDestroyed05,4
21000,concreteDestroyed06,2
21001,concreteDestroyed07,6
21002,concreteDestroyed08,3
21004,concreteHalfDestroyed05Left,2
21005,concreteHalfDestroyed05Right,2
21006,concreteHalfDestroyed06,4
21007,concreteHalfDestroyed07Left,1
21008,concreteHalfDestroyed07Right,1
21009,concreteHalfDestroyed08,4
21023,rubblePileCement,7
21039,ductStraightSideCentered,3
21040,ductCornerSideCentered,1
21041,heatVentIndustrial,4
21057,metalPipeStraight,6
21062,metalPipeFlange,2
21071,pipeSmallWall1x1,2
21072,pipeSmallWall1x3,1
21074,pipeSmallWallCap,1
21075,pipeSmallWallJoint,2
21076,pipeSmallWallValve,2
21090,pipeSmallWall1x1Red,1
21091,pipeSmallWall1x3Red,1
21093,pipeSmallWallCapRed,1
21201,pipeFireHazardWallRed4m,1
21411,signMegaCrushAd,1
21438,signPosterMovieLoneWolf,1
21440,signPosterMovieSexualTension,1
21447,signBathroomSignWomenWallMount,1
21449,signBathroomSignMenWallMount,1
21517,trapWindowStoreCornerFull,32
21520,trapWindowStoreThreeSidedFull,8
21584,cntSedan01RandomHelper,9
21745,cntSUV3Wide01RandomHelper,1
21963,treeDeadTree01,2
22023,treeGreenBrownGrassDiagonal,15
22103,farmPlotBlock,17
22124,questRallyMarker,1
22126,cntQuestRandomLootHelper,5
22132,sleeperSit,5
22133,sleeperBack,2
22134,sleeperSideLeft,5
22135,sleeperSideRight,1
22136,sleeperStomach,6
22137,sleeperIdle,12
22149,infestedSleeperSit,9
22150,infestedSleeperBack,2
22151,infestedSleeperSideLeft,4
22152,infestedSleeperSideRight,7
22153,infestedSleeperStomach,2
22154,infestedSleeperIdle,6
