id,name,count
1,terrStone,22
2,terrainFiller,1267
16,terrGravel,1273
29,terrStoneHelper,10814
500,woodShapes:pillar0.025Middle,4
1251,woodShapes:catwalkV1,2
1253,woodShapes:catwalkV1Railing,6
1259,woodShapes:catwalkV1RailOnly,1
1260,woodShapes:catwalkV1RailDiagonalLeftOnly,2
1261,woodShapes:catwalkV1RailDiagonalRightOnly,1
1713,woodShapes:doorTrim1mDouble,2
2274,woodShapes:ladderSquare,2
2276,woodShapes:ladderSquareBroken02,2
2291,woodShapes:fenceBroken1,1
18411,cntAmmoPileSmall,1
18421,cntMedicLootPileA,1
18453,cntLootChestHeroInsecureT1,1
18650,garbage_decor2,2
18662,rubbishDecor01,2
18663,rubbishDecor02,1
18664,rubbishDecor03,1
18665,rubbishDecor04,3
18668,rubbishDecor08,10
18669,rubbishDecor09,2
18670,rubbishDecor10,2
18671,rubbishDecor11,1
18673,rubbishDecor13,1
18775,cntCoolerRandomLootHelper,1
19254,flashlightDecorRandomHelper,2
19356,wallTorchLight,5
19765,chainlinkFenceDoorDouble,1
19783,chainlinkFenceBottomPlainPoleLeft,2
19784,chainlinkFenceBottomPlainPoleRight,22
19785,chainlinkFenceBottomPlainCorner,2
19787,chainlinkFenceTopPlainPoleLeft,12
19788,chainlinkFenceTopPlainPoleRight,12
19789,chainlinkFenceTopPlainCorner,2
20042,goreBlockHumanCorpse1,1
20109,resourceRock01,3
20110,resourceRock02,4
20111,resourceRock03,1
20113,oreIronBoulder,4
20119,hangingMoss,14
20406,cntCollapsedCampfire,1
21937,bedrollArmyGreenPOI,1
24075,plantShrubRandomHelper,19
24076,plantHangingIvy01,11
24077,plantHangingIvy02,12
24123,treeSmallRandomHelper,1
24145,mushroom01,1
24146,mushroom02,1
24149,plantedMushroom3Harvest,1
24251,cntStoreCratesRandomLootHelper,1
24257,questRallyMarker,1
24259,cntQuestRandomLootHelper,4
24265,sleeperSit,7
24266,sleeperBack,1
24267,sleeperSideLeft,1
24268,sleeperSideRight,1
24270,sleeperIdle,1
