id,name,count
2,terrainFiller,7904
5,terrDirt,48
14,terrDestroyedStone,136
16,terrGravel,421
293,woodShapes:quarterCenteredWall,12
310,woodShapes:pole,56
375,woodShapes:plate,12
904,woodShapes:wedgeTipHalf,10
1629,woodShapes:doorTrim1m,18
1635,woodShapes:doorTrim2m,2
1636,woodShapes:doorTrimTop,8
1645,woodShapes:windowTrim,12
1646,woodShapes:windowTrimBottom,20
1975,woodShapes:woodDebris01,3
1976,woodShapes:woodDebris02,6
1977,woodShapes:woodDebris03,3
1979,woodShapes:shantywall02,2
1980,woodShapes:shantywall03,3
1993,woodShapes:floorJoist,64
1997,woodShapes:wallStud,32
2042,woodShapes:tableDynamic,2
2071,woodShapes:cubeTileBroken,46
2106,woodShapes:mirror,12
2116,woodShapes:trellisDiamond,4
2317,brickShapes:cube,8379
2332,brickShapes:cubeHalf,90
2333,brickShapes:cubeHalfCentered,338
2710,brickShapes:arch,66
2753,brickShapes:ramp,268
2760,brickShapes:rampInsideCornerFull,220
2787,brickShapes:wedge60,76
2788,brickShapes:wedge60Tip,392
2800,brickShapes:wedge60Incline,16
3338,brickShapes:cubeBaseboard4Sided,86
3887,brickShapes:arch3mWindowCorner,8
3941,brickShapes:brickDestroyed01,19
3942,brickShapes:brickDestroyed02,1
3944,brickShapes:brickDestroyed04,2
3954,brickShapes:brickHalfDestroyed05,11
4113,brickShapes:cupboardCorner,176
4129,brickShapes:cubeTileBroken,1
4563,cobblestoneShapes:pillar100,78
6433,concreteShapes:cube,112
6448,concreteShapes:cubeHalf,24
6484,concreteShapes:pole,20
6549,concreteShapes:plate,64
6826,concreteShapes:arch,4
6853,concreteShapes:plateRound,5
6869,concreteShapes:ramp,52
7312,concreteShapes:stairsFilledVerticalUV,56
7347,concreteShapes:wedgeTipStairs,10
7351,concreteShapes:wedgeStairs,12
8326,concreteShapes:plateSidewalkBroke01,8
8327,concreteShapes:plateSidewalkBroke02,3
8328,concreteShapes:plateSidewalkBroke03,2
8329,concreteShapes:plateSidewalkBroke04,7
14443,corrugatedMetalShapes:morticianDrawer,4
16823,cntDeskSafe,1
16904,cntWeaponsBagSmall,1
16906,cntMunitionsBoxArmy,1
16923,cntMedicLootPileB,1
16954,cntLootChestHeroInsecureT2,1
16973,cntQuestInfestedT2LootHelper,1
17038,cntCabinetBottomFiller,12
17145,cntTrashPile01,4
17146,cntTrashPile02,2
17151,cntTrashPile07,1
17152,cntTrashPile08,2
17153,cntTrashPile09,3
17154,garbage_decor1,8
17155,garbage_decor2,4
17156,garbage_decor3,6
17209,cntFancyGarbageCan,3
17249,cntJanitorCartFull,1
17265,cntDuffle01,1
17297,cntBagsRandomLootHelper,3
17681,lightSconce,11
17690,lanternDecorLightRandomHelper,1
17709,flashlightDecorRandomHelper,1
17810,wallTorchLight,5
18246,wroughtIronFenceSheet,24
18422,birdBathPlanter,10
18424,cntBirdnest,2
18452,cinderBlocks03,1
18471,cobweb,2
18473,emberPileDeco1,2
18679,treePlant02,1
18789,jailDoorDoubleFallenBrown,1
18800,oldWoodDoor,1
19401,opaqueBusinessGlass,12
19800,woodChair1,3
19938,churchPewLeftBrown,17
19947,churchPewCenterBrown,4
19956,churchPewRightBrown,17
19976,parkBenchA,2
20060,cntCasketModernRandomHelper,22
20109,graveStone01,6
20110,graveStone02,8
20111,graveStone03,16
20113,graveStone05,3
20114,graveStone06,2
20115,graveStone07,2
20116,graveStone08,2
20997,concreteDestroyed03,27
20999,concreteDestroyed05,2
21000,concreteDestroyed06,3
21001,concreteDestroyed07,3
21011,concreteDestroyedFiller01,2
21022,rubblePileBricksSmall,5
21467,trapSpikesWoodDmg0,2
21469,woodSpikesTrap1POI,3
21470,woodSpikesTrapBloodPOI,9
21522,fakeCabinetDoorTrap1x1Sheet,2
21524,fakeCabinetDoorTrap1x2Sheet,24
21964,treeDeadTree02,3
22006,treeSmallRandomHelper,1
22118,cntStoreCratesRandomLootHelper,2
22124,questRallyMarker,1
22126,cntQuestRandomLootHelper,9
22132,sleeperSit,19
22133,sleeperBack,1
22134,sleeperSideLeft,4
22136,sleeperStomach,3
22137,sleeperIdle,37
