id,name,count
2,terrainFiller,2927
16,terrGravel,291
17,terrAsphalt,305
259,woodShapes:cube,1070
269,woodShapes:cubeHalfCorner2,4
274,woodShapes:cubeHalf,43
282,woodShapes:cubeCornerBeveled,6
293,woodShapes:halfQuarterPost,4
316,woodShapes:pole,138
322,woodShapes:poleTwoWayCorner,10
323,woodShapes:poleThreeWayCorner,6
364,woodShapes:polePlateHalfOffCentered,10
367,woodShapes:polePlate,12
379,woodShapes:cubeHalfPlateCorner,4
383,woodShapes:plate,47
398,woodShapes:plateCornerHalf,2
413,woodShapes:plateHalf,6
447,woodShapes:billboard,4
673,woodShapes:archCurveBase,6
674,woodShapes:archCurveMiddle,6
675,woodShapes:archCurveTop,6
676,woodShapes:archCurveFiller,6
680,woodShapes:archCurveWall,20
704,woodShapes:ramp,147
707,woodShapes:rampTipOffset,80
709,woodShapes:rampTipOffsetHalfLeft,2
710,woodShapes:rampTipOffsetHalfRight,2
711,woodShapes:rampTipOffsetHalfCorner,4
720,woodShapes:rampOutsideCornerFull,4
740,woodShapes:wedge60,8
741,woodShapes:wedge60Tip,8
791,woodShapes:rampInclineHalfLeft,15
792,woodShapes:rampInclineHalfRight,15
857,woodShapes:wedge60TipCornerBase,8
858,woodShapes:wedge60TipCornerTop,8
997,woodShapes:rampIncline,364
998,woodShapes:rampInclineFiller,288
999,woodShapes:rampInclineFillerHalfLeft,3
1000,woodShapes:rampInclineFillerHalfRight,27
1025,woodShapes:plateRampHalfLeft,1
1180,woodShapes:rampInclineFillerPillar0.025,6
1186,woodShapes:stairsFilledVerticalUV,4
1197,woodShapes:stairsRailing,8
1322,woodShapes:railing,11
1325,woodShapes:railingBroke01,6
1387,woodShapes:counterRound1m,1
1394,woodShapes:cubeTrimHalfSplit4Sided,2
1395,woodShapes:cubeTrimHalfSplit,39
1645,woodShapes:cubeHeatVent,6
1702,woodShapes:doorTrim1m,4
1718,woodShapes:windowTrim,66
1719,woodShapes:windowTrimBottom,26
1728,woodShapes:archTrim,34
1933,woodShapes:archHalfWindowFull,4
1979,woodShapes:archWindow,12
1980,woodShapes:archWindowCentered,18
2035,woodShapes:cornerstone,24
2056,woodShapes:cubeTrimDestroyed03,1
2057,woodShapes:cubeTrimDestroyed04,7
2129,woodShapes:woodDebris01,5
2130,woodShapes:woodDebris02,3
2135,woodShapes:shantywall04,1
2193,woodShapes:dynamicGrate,14
2197,woodShapes:tableDynamic,2
2207,woodShapes:cabinetAjar,2
2209,woodShapes:cupboardAjar,8
2234,woodShapes:bookcaseEmpty,4
2249,woodShapes:storageCube,2
2250,woodShapes:storageCubeHalf,2
2274,woodShapes:kneeler,1
2275,woodShapes:churchCross01,1
2284,woodShapes:fenceBroken1,10
2285,woodShapes:fenceBroken2,15
2305,woodShapes:farmPlot,2
6958,concreteShapes:cube,535
6973,concreteShapes:cubeHalf,14
