id,name,count
2,terrainFiller,421
16,terrGravel,43
17,terrAsphalt,552
259,woodShapes:cube,605
297,woodShapes:cubeQuarter,56
299,woodShapes:quarterCenteredWall,18
302,woodShapes:quarterInsideCorner,6
306,woodShapes:quarterTeeCentered,4
316,woodShapes:pole,28
321,woodShapes:poleHalfSideCentered,1
322,woodShapes:poleTwoWayCorner,16
326,woodShapes:poleSquareSideCenteredTee,1
376,woodShapes:cubeQuarterCenteredSquareTop,5
378,woodShapes:cubeQuarterCornerInsideTrim,1
383,woodShapes:plate,13
505,woodShapes:pillar0.05,2
705,woodShapes:ramp,150
721,woodShapes:rampOutsideCornerFull,8
741,woodShapes:wedge60,1
792,woodShapes:rampInclineHalfLeft,20
793,woodShapes:rampInclineHalfRight,24
955,woodShapes:plateHalfGable,1
1004,woodShapes:rampIncline,300
1005,woodShapes:rampInclineFiller,292
1006,woodShapes:rampInclineFillerHalfLeft,15
1007,woodShapes:rampInclineFillerHalfRight,23
1193,woodShapes:stairsFilledVerticalUV,5
1207,woodShapes:stairsFilledRailingRight,4
1334,woodShapes:railingBroke01,1
1335,woodShapes:bars,15
1343,woodShapes:plateHalfLocalNorthSouthFace,2
1480,woodShapes:cubeTrimQuarterEdge,78
1729,woodShapes:doorTrim1m,2
1745,woodShapes:windowTrim,70
1746,woodShapes:windowTrimBottom,11
1755,woodShapes:archTrim,2
1756,woodShapes:archWindowTrim,2
1758,woodShapes:windowArchTopTrim,10
2052,woodShapes:windowBoarded,3
2112,woodShapes:concreteDestroyedFiller04,2
2113,woodShapes:concreteDestroyedFiller05,5
2120,woodShapes:plateDestroyed,5
2121,woodShapes:plateDestroyed02,3
2122,woodShapes:plateDestroyed03,3
2127,woodShapes:plateDiagonalDestroyed02,4
2128,woodShapes:plateDiagonalDestroyed03,3
2129,woodShapes:plateDiagonalDestroyed04,2
2130,woodShapes:plateDiagonalDestroyed05,1
2133,woodShapes:plateWedge60InclineDestroyed02,1
2163,woodShapes:shantywall02,2
2256,woodShapes:cubeTileBroken,3
2305,woodShapes:churchCross01,6
2314,woodShapes:fenceBroken1,2
2315,woodShapes:fenceBroken2,4
2522,brickShapes:cube,1038
2537,brickShapes:cubeHalf,102
2630,brickShapes:polePlate,12
2646,brickShapes:plate,13
2710,brickShapes:billboard,3
2925,brickShapes:arch,6
3613,brickShapes:cubeBaseboard4Sided,67
3752,brickShapes:cubeTrimQuarter2Sided,3
4008,brickShapes:windowTrim,76
4009,brickShapes:windowTrimBottom,10
4018,brickShapes:archTrim,16
4021,brickShapes:windowArchTopTrim,12
4271,brickShapes:archHalfWindow,14
4291,brickShapes:windowArchTop,2
4293,brickShapes:windowArchTopFilledCentered,10
4326,brickShapes:brickDestroyed01,2
4344,brickShapes:cubeTrimDestroyed01,54
4351,brickShapes:cubeTrimDestroyed08,3
4353,brickShapes:cubeTrimDestroyed10,6
4367,brickShapes:concreteDestroyed05,5
4368,brickShapes:concreteDestroyed06,4
4369,brickShapes:concreteDestroyed07,3
4374,brickShapes:concreteDestroyedFiller03,1
7048,concreteShapes:cube,780
7172,concreteShapes:plate,67
7244,concreteShapes:pillar100,2
