id,name,count
2,terrainFiller,1291
5,terrDirt,6
322,woodShapes:poleSquareCornerBracketLeft,1
368,woodShapes:cubeQuarterCenteredSquareTop,2
375,woodShapes:plate,314
381,woodShapes:plateCladding04,24
387,woodShapes:plateCorner,4
395,woodShapes:plateCornerTwoWall,2
687,woodShapes:cubeQuarterRoundOutside,2
1188,woodShapes:catwalkV1,1
1192,woodShapes:catwalkV1Wedge,2
1876,woodShapes:windowCentered,4
1877,woodShapes:windowPanel,144
2062,woodShapes:plateCounter,3
2066,woodShapes:plateCounterHole,5
6433,concreteShapes:cube,5219
6442,concreteShapes:cubeHalfCorner,11
6448,concreteShapes:cubeHalf,836
6451,concreteShapes:cubeCornerBeveled,14
6458,concreteShapes:cubeHalfCornerBeveled,1
6459,concreteShapes:halfBlockPoleQuarter,1
6465,concreteShapes:cubeQuarter,51
6466,concreteShapes:cubeQuarterCenter,14
6467,concreteShapes:quarterCenteredWall,11
6545,concreteShapes:cubeHalfPlateCorner,7
6554,concreteShapes:plateCladding03,20
6556,concreteShapes:plateCladding05,22
6868,concreteShapes:ramp,36
7000,concreteShapes:cubeHalfWedge60BevelRight,1
7148,concreteShapes:halfRampStairs50,14
7149,concreteShapes:halfRampStairs50Filler,9
7151,concreteShapes:rampInclineFiller,28
7153,concreteShapes:rampInclineFillerHalfRight,2
7296,concreteShapes:cubeHalfPillar0.025,2
7311,concreteShapes:stairsFilledVerticalUV,3
7314,concreteShapes:stairsFilledDiagonal1,6
7315,concreteShapes:stairsFilledDiagonal2,7
7326,concreteShapes:stairsFilledRailingMetalLeft,5
7327,concreteShapes:stairsFilledRailingMetalRight,4
7330,concreteShapes:stairsHollow,12
7335,concreteShapes:stairsHollowRailingMetalLeft2,5
7336,concreteShapes:stairsHollowRailingMetalRight2,10
7502,concreteShapes:cubeTrimHalfSplit4Sided,10
7503,concreteShapes:cubeTrimHalfSplit,4
7522,concreteShapes:cubeTrimTriangle,4
7573,concreteShapes:cubeTrimQuarterEdge,332
7608,concreteShapes:cubeTrimQuarterCornerInside,9
7621,concreteShapes:cubeTrimQuarterCornerInsideTriangle,70
7666,concreteShapes:cubeTrimHalfSplitDiagonal,75
7683,concreteShapes:cubeTrimQuarterEdgeTwoSided,506
7722,concreteShapes:cubeTrimQuarterRamp,27
7763,concreteShapes:halfCrown,45
7769,concreteShapes:halfCrownCorner1,2
7770,concreteShapes:halfCrownCorner2,1
7784,concreteShapes:crownStraight,62
7788,concreteShapes:crownInsideCorner,8
8491,steelShapes:cube,2
8523,steelShapes:cubeQuarter,2
8528,steelShapes:quarterInsideCorner,4
8607,steelShapes:plate,3
8619,steelShapes:plateCorner,11
8627,steelShapes:plateCornerTwoWall,8
8691,steelShapes:pillar50,1
8692,steelShapes:halfPillar50,1
10109,steelShapes:windowPanel,5
12387,awningShapes:verticalBlindsTop,47
