id,name,count
2,terrainFiller,166
17,terrAsphalt,734
259,woodShapes:cube,14
2399,brickShapes:cube,141
2414,brickShapes:cubeHalf,132
3125,brickShapes:halfRampStairs50,6
6679,concreteShapes:cube,794
6694,concreteShapes:cubeHalf,658
6712,concreteShapes:cubeQuarter,5
6731,concreteShapes:pole,36
6870,concreteShapes:pillar100,2
7118,concreteShapes:ramp,13
7579,concreteShapes:stairsFilledQuarterVerticalUV,8
7889,concreteShapes:cubeTrimQuarterCornerInside,8
7902,concreteShapes:cubeTrimQuarterCornerInsideTriangle,14
7964,concreteShapes:cubeTrimQuarterEdgeTwoSided,254
7981,concreteShapes:cubeTrimCornerRound,14
8003,concreteShapes:cubeTrimQuarterRamp,13
8557,concreteShapes:cupboardCorner,8
10679,steelShapes:securityGatePlate,23
13099,corrugatedMetalShapes:cube,24
13151,corrugatedMetalShapes:pole,1
13152,corrugatedMetalShapes:poleCentered,21
13218,corrugatedMetalShapes:plate,143
13254,corrugatedMetalShapes:plateQuarterTriangle,12
13302,corrugatedMetalShapes:pillar50,12
13538,corrugatedMetalShapes:ramp,6
13572,corrugatedMetalShapes:wedge60,12
14384,corrugatedMetalShapes:cubeTrimQuarterEdgeTwoSided,5
14390,corrugatedMetalShapes:cubeTrimQuarterCornerOutsideTwoSided,1
14565,corrugatedMetalShapes:windowStoreThreeSidedFull,5
14566,corrugatedMetalShapes:windowStoreFourSidedFull,4
14567,corrugatedMetalShapes:windowStoreCornerFull,4
14580,corrugatedMetalShapes:windowStoreThreeSidedBroken,8
14581,corrugatedMetalShapes:windowStoreFourSidedBroken,5
14582,corrugatedMetalShapes:windowStoreCornerBroken,8
14731,corrugatedMetalShapes:window04Broken01,12
15194,corrugatedMetalShapes:signLetter_a,3
15196,corrugatedMetalShapes:signLetter_c,6
15197,corrugatedMetalShapes:signLetter_d,3
15198,corrugatedMetalShapes:signLetter_e,6
15207,corrugatedMetalShapes:signLetter_n,3
15208,corrugatedMetalShapes:signLetter_o,6
15209,corrugatedMetalShapes:signLetter_p,3
15211,corrugatedMetalShapes:signLetter_r,3
15214,corrugatedMetalShapes:signLetter_u,3
17876,cntFancyGarbageCan,1
17887,cntDumpsterFlies,1
18341,industrialLight01,1
18881,chainlinkFenceDoor,1
18887,chainlinkFenceBottomRailPoleLeft,2
18888,chainlinkFenceBottomRailPoleRight,2
18889,chainlinkFenceBottomRailPoleCorner,1
18891,chainlinkFenceMiddleRailPoleLeft,2
18892,chainlinkFenceMiddleRailPoleRight,4
18893,chainlinkFenceMiddleRailPoleCorner,2
18894,chainlinkFenceTopRail,1
18895,chainlinkFenceTopRailBridge,1
18896,chainlinkFenceTopRailPoleLeft,4
18897,chainlinkFenceTopRailPoleRight,2
18898,chainlinkFenceTopRailCorner,1
19763,commercialDoorV1Grey,2
20155,curtainDrapesFullTopGrey,2
20166,curtainDrapesFullTileGrey,2
20177,curtainDrapesFullBottomGrey,2
20546,cntDeskMetalGreyRandomLootHelper,3
20779,parkBenchA,1
21161,cntStoreProduceBasketRandomLootHelper,23
22050,signOpenWallMountFrame,1
22378,carsRandomHelper,5
22848,treeSmallRandomHelper,1
22948,farmPlotBlock,2
