id,name,count
2,terrainFiller,84
16,terrGravel,57
17,terrAsphalt,183
259,woodShapes:cube,412
274,woodShapes:cubeHalf,42
383,woodShapes:plate,286
704,woodShapes:ramp,4
739,woodShapes:wedge60,56
740,woodShapes:wedge60Tip,78
746,woodShapes:wedge60Corner,8
747,woodShapes:wedge60TipCorner,10
997,woodShapes:rampInclineFiller,88
1000,woodShapes:rampInclineInsideCnrFiller,8
1198,woodShapes:stairsFilledRailingLeft,2
1199,woodShapes:stairsFilledRailingRight,2
1205,woodShapes:stairsHollowRailingLeft,8
1206,woodShapes:stairsHollowRailingRight,8
1318,woodShapes:railing,12
1693,woodShapes:doorTrim1m,4
2240,woodShapes:fence,43
2444,brickShapes:cube,499
2459,brickShapes:cubeHalf,348
2478,brickShapes:halfQuarterPost,2
2482,brickShapes:cubeQuarter,12
2880,brickShapes:cubeHalfQuarterRoundInside,2
3047,brickShapes:wedgeNarrowHigh,4
3048,brickShapes:wedgeNarrowMid,4
3049,brickShapes:wedgeNarrowLow,4
3369,brickShapes:stairsFilledQuarterVerticalUV,34
3527,brickShapes:halfBaseboard,18
3644,brickShapes:cubeTrimQuarterEdge,23
6814,concreteShapes:cube,1916
6829,concreteShapes:cubeHalf,346
6852,concreteShapes:cubeQuarter,5
6871,concreteShapes:pole,21
6929,concreteShapes:poleSquareCornerRound,2
6967,concreteShapes:plateThreeQuarter,16
6968,concreteShapes:plateHalf,16
6971,concreteShapes:plateQuarter,2
7399,concreteShapes:cubeHalfWedge60BevelLeft,6
7400,concreteShapes:cubeHalfWedge60BevelRight,6
7405,concreteShapes:wedge60TipHalfLeft,1
7406,concreteShapes:wedge60TipHalfRight,1
7417,concreteShapes:wedgeNarrowHigh,2
7418,concreteShapes:wedgeNarrowMid,2
7419,concreteShapes:wedgeNarrowLow,2
7420,concreteShapes:wedgeNarrowTip,2
7739,concreteShapes:stairsFilledQuarterVerticalUV,13
7740,concreteShapes:stairsFilledVerticalUV,6
7755,concreteShapes:stairsFilledRailingMetalLeft,2
7756,concreteShapes:stairsFilledRailingMetalRight,2
7944,concreteShapes:cubeTrimHalfSplit,61
7959,concreteShapes:cubeTrimCornerQuarter,5
8265,concreteShapes:windowTrimBottom,23
8512,concreteShapes:arch3mWindowCornerTwoSidedHalf,10
13493,corrugatedMetalShapes:plate,17
13523,corrugatedMetalShapes:plateHalf,8
13606,corrugatedMetalShapes:pillar0.025,6
14865,corrugatedMetalShapes:windowStoreThreeSidedFull,10
14866,corrugatedMetalShapes:windowStoreFourSidedFull,74
15373,corrugatedMetalShapes:farmPlot,6
18272,cntDumpsterFlies,1
19293,chainlinkFencePole,9
19300,chainlinkFenceMiddleRail,7
19308,chainlinkFenceTopRailCorner,2
20576,stainedGlassCTRPlate,2
21171,decoPicnicTable,2
22295,metalRailing,10
23019,carsRandomHelper,2
23471,treeDeadPineLeaf,15
23482,treeDeadTree01,2
23484,treePlainsTree2,2
23627,farmPlotBlockRaised,24
