id,name,count
2,terrainFiller,4949
14,terrDestroyedStone,602
15,terrDestroyedWoodDebris,21
16,terrGravel,870
17,terrAsphalt,6
383,woodShapes:plate,82
1943,woodShapes:window01Broken,4
2021,woodShapes:windowBoarded,4
2089,woodShapes:plateDestroyed,2
2090,woodShapes:plateDestroyed02,2
2091,woodShapes:plateDestroyed03,2
2203,woodShapes:cabinetAjar,1
2205,woodShapes:cupboardAjar,2
2230,woodShapes:bookcaseEmpty,1
2245,woodShapes:storageCubeHalf,2
2481,brickShapes:cube,270
2496,brickShapes:cubeHalf,17
2602,brickShapes:cubeHalfPlateCorner2,5
6925,concreteShapes:cube,836
6940,concreteShapes:cubeHalf,157
6963,concreteShapes:cubeQuarter,12
6965,concreteShapes:quarterCenteredWall,18
7046,concreteShapes:cubeHalfPlateCorner2,16
7405,concreteShapes:wedge60,20
7406,concreteShapes:wedge60Tip,20
8099,concreteShapes:cubeTrimCenterHalf,9
8127,concreteShapes:cubeTrimQuarterEdge,18
8146,concreteShapes:cubeTrimCircle,3
9204,steelShapes:pole,202
9206,steelShapes:poleSideCentered,78
9210,steelShapes:poleTwoWayCorner,4
9211,steelShapes:poleThreeWayCorner,4
9214,steelShapes:poleSquareSideCenteredTee,6
9215,steelShapes:poleSquareSideCenteredTeeFourWay,12
9218,steelShapes:poleSquareCornerBracketLeft,2
9220,steelShapes:poleSquareCornerBracketRight,2
9221,steelShapes:poleSquareBracketCorner,4
11556,awningShapes:billboardHalf,8
11557,awningShapes:billboard,12
13591,corrugatedMetalShapes:cube,171
13600,corrugatedMetalShapes:cubeHalfCorner,1
13606,corrugatedMetalShapes:cubeHalf,16
13648,corrugatedMetalShapes:pole,88
13650,corrugatedMetalShapes:poleSideCentered,92
13655,corrugatedMetalShapes:poleThreeWayCorner,8
13677,corrugatedMetalShapes:cubePoleCorner,2
13695,corrugatedMetalShapes:polePlateHalfCentered,7
13699,corrugatedMetalShapes:polePlate,3
13700,corrugatedMetalShapes:polePlateCentered,3
13715,corrugatedMetalShapes:plate,838
13727,corrugatedMetalShapes:plateCorner,3
13745,corrugatedMetalShapes:plateHalf,105
13748,corrugatedMetalShapes:plateQuarter,4
13755,corrugatedMetalShapes:platePole,17
13756,corrugatedMetalShapes:platePoleSideCentered,2
13759,corrugatedMetalShapes:platePoleCorner,6
13779,corrugatedMetalShapes:billboard,27
13787,corrugatedMetalShapes:pillar100,6
13799,corrugatedMetalShapes:pillar50,4
13813,corrugatedMetalShapes:pillar50CenterPlate,2
13823,corrugatedMetalShapes:pillar50Plate,8
13830,corrugatedMetalShapes:pillar0.025Centered,2
13832,corrugatedMetalShapes:pillar0.025Middle,4
13834,corrugatedMetalShapes:pillar0.025Double,4
