id,name,count
2,terrainFiller,7255
16,terrGravel,65
17,terrAsphalt,877
259,woodShapes:cube,189
293,woodShapes:halfQuarterPost,2
297,woodShapes:cubeQuarter,4
316,woodShapes:pole,192
322,woodShapes:poleTwoWayCorner,4
323,woodShapes:poleThreeWayCorner,2
330,woodShapes:poleSquareCornerBracketLeft,9
332,woodShapes:poleSquareCornerBracketRight,8
333,woodShapes:poleSquareBracketCorner,8
383,woodShapes:plate,40
690,woodShapes:plateRound,4
1194,woodShapes:stairsFilledVerticalUV,2
1402,woodShapes:counterBottomFiller,10
1730,woodShapes:doorTrim1m,5
1746,woodShapes:windowTrim,5
1748,woodShapes:windowTrimSides,1
2106,woodShapes:concreteDestroyed06,2
2108,woodShapes:concreteDestroyed08,2
2122,woodShapes:plateDestroyed02,2
2130,woodShapes:plateDiagonalDestroyed04,1
2164,woodShapes:shantywall02,2
2166,woodShapes:shantywall04,1
2239,woodShapes:cabinetBrokenDoor,1
2312,woodShapes:fence,15
2315,woodShapes:fenceBroken1,1
2316,woodShapes:fenceBroken2,1
2523,brickShapes:cube,408
2711,brickShapes:billboard,1
3675,brickShapes:cubeTrimHalfSplit,7
4329,brickShapes:brickDestroyed02,1
7051,concreteShapes:cube,2727
7066,concreteShapes:cubeHalf,46
7089,concreteShapes:cubeQuarter,7
7094,concreteShapes:quarterInsideCorner,2
7108,concreteShapes:pole,20
7154,concreteShapes:polePlateHalf,78
7159,concreteShapes:polePlate,124
7175,concreteShapes:plate,18
7239,concreteShapes:billboard,46
7986,concreteShapes:stairsFilledVerticalUV,15
7999,concreteShapes:stairsFilledRailingLeft,9
8128,concreteShapes:bars,8
8202,concreteShapes:cubeTrimHalfSplit4Sided,55
8203,concreteShapes:cubeTrimHalfSplit,180
8273,concreteShapes:cubeTrimQuarterEdge,110
8304,concreteShapes:cubeTrimQuarterCornerOutside,4
8308,concreteShapes:cubeTrimQuarterCornerInside,1
8403,concreteShapes:cubeTrimCornerRound,13
8518,concreteShapes:doorTrimCorner,2
8522,concreteShapes:doorTrim1m,15
8848,concreteShapes:windowplug03,4
8870,concreteShapes:brickHalfDestroyed06,2
8871,concreteShapes:brickHalfDestroyed07,3
8872,concreteShapes:brickHalfDestroyed08,4
8874,concreteShapes:cubeTrimDestroyed01,21
8876,concreteShapes:cubeTrimDestroyed03,2
8897,concreteShapes:concreteDestroyed05,2
8898,concreteShapes:concreteDestroyed06,4
8900,concreteShapes:concreteDestroyed08,4
8903,concreteShapes:concreteDestroyedFiller02,2
9049,concreteShapes:cubeTileBroken,7
9133,concreteShapes:plateSidewalkBroke02,1
9139,concreteShapes:roadPaintDashCNTR,36
13843,corrugatedMetalShapes:cube,18
13858,corrugatedMetalShapes:cubeHalf,2
13900,corrugatedMetalShapes:pole,17
13929,corrugatedMetalShapes:cubePoleCorner,2
13944,corrugatedMetalShapes:catwalkPlate,1
14031,corrugatedMetalShapes:billboard,1
14052,corrugatedMetalShapes:pillar50,14
14070,corrugatedMetalShapes:pillar50CenteredSquareBottom,2
14083,corrugatedMetalShapes:pillar0.025Centered,8
14118,corrugatedMetalShapes:pipeThin,13
14119,corrugatedMetalShapes:pipeThinCornerDown,2
14120,corrugatedMetalShapes:pipeThinCornerUp,2
14290,corrugatedMetalShapes:ramp,8
14326,corrugatedMetalShapes:wedge60,1
14590,corrugatedMetalShapes:rampInclineFiller,3
14591,corrugatedMetalShapes:rampInclineFillerHalfLeft,1
14592,corrugatedMetalShapes:rampInclineFillerHalfRight,1
14648,corrugatedMetalShapes:plateWedge60Filler,17
14696,corrugatedMetalShapes:slopePlate01,26
14697,corrugatedMetalShapes:slopePlate02,26
14698,corrugatedMetalShapes:slopePlate03,26
14699,corrugatedMetalShapes:slopePlate04,9
14716,corrugatedMetalShapes:slopePlateLeft01,1
14718,corrugatedMetalShapes:slopePlateLeft02,1
14720,corrugatedMetalShapes:slopePlateLeft03,1
