id,name,count
2,terrainFiller,28343
14,terrDestroyedStone,16
16,terrGravel,81
17,terrAsphalt,636
259,woodShapes:cube,393
274,woodShapes:cubeHalf,100
291,woodShapes:cubeQuarter,104
296,woodShapes:quarterInsideCorner,4
354,woodShapes:polePlateHalf,2
359,woodShapes:polePlate,1
375,woodShapes:plate,452
376,woodShapes:plateCentered,53
410,woodShapes:plateHalfTriangle,7
411,woodShapes:plateQuarterTriangle,4
412,woodShapes:plateQuarterTriangleCorner,1
443,woodShapes:plateDouble2,2
729,woodShapes:wedge60,707
730,woodShapes:wedge60Tip,837
736,woodShapes:wedge60Corner,4
737,woodShapes:wedge60TipCorner,4
738,woodShapes:wedge60InsideCorner2,6
739,woodShapes:wedge60InsideCorner,6
742,woodShapes:wedge60Incline,28
828,woodShapes:wedge60InclineHalfLeft,25
829,woodShapes:wedge60InclineHalfRight,25
832,woodShapes:wedge60TipHalfLeft,53
833,woodShapes:wedge60TipHalfRight,53
837,woodShapes:wedge60TipCornerBase,16
838,woodShapes:wedge60TipCornerTop,20
1121,woodShapes:platePillar0.025,1
1123,woodShapes:cubeHalfPillar0.025,2
1137,woodShapes:stairsFilledQuarterVerticalUV,11
1138,woodShapes:stairsFilledVerticalUV,1
1151,woodShapes:stairsFilledRailingLeft,1
1152,woodShapes:stairsFilledRailingRight,1
1261,woodShapes:railing,36
1264,woodShapes:railingBroke01,8
1610,woodShapes:crown,126
1615,woodShapes:crownInsideCorner,18
1625,woodShapes:doorTrimCorner,4
1629,woodShapes:doorTrim1m,19
1635,woodShapes:doorTrim2m,4
1636,woodShapes:doorTrimTop,2
1645,woodShapes:windowTrim,271
1646,woodShapes:windowTrimBottom,113
1647,woodShapes:windowTrimSides,40
1648,woodShapes:windowTrimTop,83
1793,woodShapes:arch2mWindow01Bottom,4
1794,woodShapes:arch2mWindow01BottomBroken,2
1799,woodShapes:window01Broken02,25
1800,woodShapes:window01Broken03,12
1801,woodShapes:window01Broken04,20
1802,woodShapes:window01Broken05,11
1872,woodShapes:windowBoarded,6
1877,woodShapes:windowCentered,38
1940,woodShapes:plateDestroyed02,1
1941,woodShapes:plateDestroyed03,3
1980,woodShapes:shantywall03,1
1981,woodShapes:shantywall04,1
2106,woodShapes:mirror,10
2317,brickShapes:cube,3897
2332,brickShapes:cubeHalf,244
2333,brickShapes:cubeHalfCentered,81
2753,brickShapes:ramp,216
2769,brickShapes:rampCorner,12
2770,brickShapes:rampCornerFiller,24
2787,brickShapes:wedge60,8
2796,brickShapes:wedge60InsideCorner2,4
3332,brickShapes:cubeBaseboard,111
3338,brickShapes:cubeBaseboard4Sided,22
3458,brickShapes:cubeTrimQuarterEdge,20
3474,brickShapes:cubeTrimQuarterCenteredFloorTransition,10
3493,brickShapes:cubeTrimQuarterCornerInside,6
3558,brickShapes:cubeTrimSplitWedge60Left,1
3839,brickShapes:archWindowFull,4
3845,brickShapes:arch2mWindow01Top,2
3846,brickShapes:arch2mWindow01TopBroken,4
3854,brickShapes:arch2mBaseboard,6
3941,brickShapes:brickDestroyed01,21
3942,brickShapes:brickDestroyed02,9
3943,brickShapes:brickDestroyed03,4
3944,brickShapes:brickDestroyed04,16
3945,brickShapes:brickDestroyed05,4
3946,brickShapes:brickHalfCenteredDestroyed01,4
