id,name,count
1,terrStone,289
2,terrainFiller,6029
14,terrDestroyedStone,64
16,terrGravel,218
17,terrAsphalt,189
18,terrConcrete,46
383,woodShapes:plate,1
6811,concreteShapes:cube,1320
6826,concreteShapes:cubeHalf,12
7099,concreteShapes:3mTunnelCenter,56
7103,concreteShapes:3mTunnelCorner,56
7255,concreteShapes:ramp,52
7290,concreteShapes:wedge60,32
7291,concreteShapes:wedge60Tip,32
7545,concreteShapes:halfRampStairs50,8
7546,concreteShapes:halfRampStairs50Filler,4
13647,corrugatedMetalShapes:3mTubeCenter,8
13648,corrugatedMetalShapes:3mTubeCorner,8
17925,cntWeaponsBagSmall,1
18166,cntTrashPile01,3
18169,cntTrashPile04,2
18170,cntTrashPile05,4
18171,cntTrashPile06,4
18172,cntTrashPile07,3
18174,cntTrashPile09,2
19299,guardRailStraight,24
19300,guardRailPole,14
19301,guardRailBarrierFlipped,2
19302,guardRailBarrier,2
19561,resourceRock01,1
20803,ironBars,17
22209,ladderWood,4
22382,concreteDestroyed05,4
22384,concreteDestroyed07,4
22900,looseBoardsTrapPlate1x1,9
23539,questRallyMarker,1
23552,sleeperIdle,2
23563,sleeperZombieBearAnimal,1
