id,name,count
353,woodShapes:plate,4
1482,woodShapes:crown,5
1487,woodShapes:crownInsideCorner,2
1747,woodShapes:woodDebris03,2
1749,woodShapes:shantywall02,2
1751,woodShapes:shantywall04,2
1807,woodShapes:table,1
2049,brickShapes:cube,58
3459,brickShapes:brickDestroyed01,8
3460,brickShapes:brickDestroyed02,9
3461,brickShapes:brickDestroyed03,8
3462,brickShapes:brickDestroyed04,2
3470,brickShapes:brickHalfDestroyed03,1
3475,brickShapes:brickHalfDestroyed08,1
5629,concreteShapes:cube,69
7201,concreteShapes:cubeTileBroken,1
12289,corrugatedMetalShapes:windowStoreThreeSidedFull,2
12290,corrugatedMetalShapes:windowStoreFourSidedFull,2
14750,iBeamBent,3
14753,iBeamCentered,2
14756,iBeamCenteredFoundation,3
14809,rubblePileBricksSmall,9
14819,concreteDestroyed02,3
14822,concreteDestroyed05,3
14823,concreteDestroyed06,7
14824,concreteDestroyed07,6
14834,concreteDestroyedFiller01,7
14836,concreteDestroyedFiller03,1
14838,concreteDestroyedFiller05,2
16229,garbage_decor2,1
16230,garbage_decor3,1
16304,cntNightstandRandomLootHelper,1
16751,metalTablePillar0.025CTR,1
16869,sectionalLeatherCouchSofaCorner,2
17675,cntBagsRandomLootHelper,1
17775,cinderBlocks01,1
17777,cinderBlocks03,1
18387,ceilingLight05,1
18460,endTableLamp,1
18585,goreBlockHumanCorpse3,1
18807,interiorDoorOldBrown,1
19163,curtainDrapesFullTopBrown,2
19174,curtainDrapesFullTileBrown,2
