id,name,count
6433,concreteShapes:cube,16
6621,concreteShapes:pillar100,42
6868,concreteShapes:ramp,20
14348,corrugatedMetalShapes:iBeamCentered,27
14356,corrugatedMetalShapes:iBeam6wayCentered,3
14358,corrugatedMetalShapes:iBeamBent,2
14628,corrugatedMetalShapes:signLetter_i,5
17152,cntTrashPile02,2
17161,garbage_decor2,1
17162,garbage_decor3,1
18255,guardRailStraight,1
18256,guardRailPole,24
18257,guardRailBarrierFlipped,1
18258,guardRailBarrier,2
21080,bridgeConcreteBlock,172
21096,rebarDestroyed,5
21118,concreteDestroyed01,9
21122,concreteDestroyed05,4
21123,concreteDestroyed06,13
21672,carsRandomHelper,1
