id,name,count
2,terrainFiller,9801
16,terrGravel,400
17,terrAsphalt,408
1975,woodShapes:woodDebris01,5
1977,woodShapes:woodDebris03,6
6549,concreteShapes:plate,210
6621,concreteShapes:pillar100,4
6853,concreteShapes:plateRound,4
8325,concreteShapes:plateSidewalkCrooked,76
8326,concreteShapes:plateSidewalkBroke01,48
8327,concreteShapes:plateSidewalkBroke02,35
8328,concreteShapes:plateSidewalkBroke03,17
8329,concreteShapes:plateSidewalkBroke04,10
12807,corrugatedMetalShapes:pillar50,36
14326,corrugatedMetalShapes:shantywall01,8
17164,scrapMetalPile,3
17787,streetLight01,4
18451,cinderBlocks01,8
18452,cinderBlocks02,2
18453,cinderBlocks03,6
21281,signRoadStop,4
