id,name,count
2,terrainFiller,55196
5,terrDirt,9
10,terrSand,750
16,terrGravel,679
17,terrAsphalt,1879
310,woodShapes:pole,98
313,woodShapes:poleHalf,4
317,woodShapes:poleThreeWayCorner,4
322,woodShapes:poleSquareCornerBracketLeft,4
324,woodShapes:poleSquareCornerBracketRight,4
337,woodShapes:cubePoleCorner,2
342,woodShapes:cubePoleCornerDouble,1
375,woodShapes:plate,22
405,woodShapes:plateHalf,8
420,woodShapes:platePoleCorner2,4
429,woodShapes:arrowSlitHalf,6
430,woodShapes:arrowSlitQuarter,3
461,woodShapes:pillar50Corner,24
475,woodShapes:pillar50CornerPlate,16
729,woodShapes:wedge60,26
730,woodShapes:wedge60Tip,82
742,woodShapes:wedge60Incline,24
776,woodShapes:rampInclineHalfLeft,4
777,woodShapes:rampInclineHalfRight,4
828,woodShapes:wedge60InclineHalfLeft,6
829,woodShapes:wedge60InclineHalfRight,6
832,woodShapes:wedge60TipHalfLeft,10
833,woodShapes:wedge60TipHalfRight,10
843,woodShapes:wedgeNarrowHigh,2
844,woodShapes:wedgeNarrowMid,2
845,woodShapes:wedgeNarrowLow,2
846,woodShapes:wedgeNarrowTip,2
904,woodShapes:wedgeTipHalf,7
918,woodShapes:wedgeTipQuarter,9
926,woodShapes:gableHalf,3
927,woodShapes:gableQuarterHalf,2
951,woodShapes:gableInvertedQuarterHalf,2
952,woodShapes:cubeHalfgableInvertedQuarter,7
977,woodShapes:rampIncline,12
989,woodShapes:plateDiagonal,2
1072,woodShapes:slopePlate01,34
1073,woodShapes:slopePlate02,16
1074,woodShapes:slopePlate03,16
1075,woodShapes:slopePlate04,16
1106,woodShapes:gazeboRoofV101,1
1107,woodShapes:gazeboRoofV102,4
1108,woodShapes:gazeboRoofV103,4
1109,woodShapes:gazeboRoofV104,4
1110,woodShapes:gazeboRoofV105,4
1111,woodShapes:gazeboRoofV106,4
1112,woodShapes:gazeboRoofV107,4
1113,woodShapes:gazeboRoofV108,4
1114,woodShapes:gazeboRoofV109,4
1115,woodShapes:gazeboRoofV110,8
1116,woodShapes:gazeboRoofV111,4
1117,woodShapes:gazeboRoofV1Topper,1
1124,woodShapes:wedge60InclinePillar0.025,4
1149,woodShapes:stairsRailing,9
1191,woodShapes:catwalkV1Railing,3
1197,woodShapes:catwalkV1RailOnly,27
1419,woodShapes:cubeTrimCircle,6
1647,woodShapes:windowTrimSides,3
1764,woodShapes:windowPlateCircleEmpty,6
1942,woodShapes:plateDiagonalDestroyed,1
1943,woodShapes:plateDiagonalDestroyed02,1
1975,woodShapes:woodDebris01,1
2125,woodShapes:fence,88
2152,woodShapes:plateSidewalkBroke01,1
3946,brickShapes:brickHalfCenteredDestroyed01,2
3947,brickShapes:brickHalfCenteredDestroyed02,2
3949,brickShapes:brickHalfCenteredDestroyed04,2
6433,concreteShapes:cube,6220
6448,concreteShapes:cubeHalf,676
6449,concreteShapes:cubeHalfCentered,103
6472,concreteShapes:cubeTee,4
6549,concreteShapes:plate,202
6610,concreteShapes:billboardQuarter,4
6613,concreteShapes:billboard,28
6621,concreteShapes:pillar100,3
6851,concreteShapes:cornerRound,26
6853,concreteShapes:plateRound,4
6869,concreteShapes:ramp,57
6903,concreteShapes:wedge60,9
6904,concreteShapes:wedge60Tip,1
7142,concreteShapes:pyramid1m,2
7150,concreteShapes:halfRampStairs50Filler,17
7175,concreteShapes:plateRamp,1
7300,concreteShapes:wedge60Pillar0.025,1
7312,concreteShapes:stairsFilledVerticalUV,99
7325,concreteShapes:stairsFilledRailingLeft,2
7326,concreteShapes:stairsFilledRailingRight,2
7327,concreteShapes:stairsFilledRailingMetalLeft,2
7328,concreteShapes:stairsFilledRailingMetalRight,2
7574,concreteShapes:cubeTrimQuarterEdge,13
7605,concreteShapes:cubeTrimQuarterCornerOutside,5
7609,concreteShapes:cubeTrimQuarterCornerInside,89
7622,concreteShapes:cubeTrimQuarterCornerInsideTriangle,77
7631,concreteShapes:cubeTrimQuarterDiagonalCorner,5
7667,concreteShapes:cubeTrimHalfSplitDiagonal,83
7684,concreteShapes:cubeTrimQuarterEdgeTwoSided,579
7701,concreteShapes:cubeTrimCornerRound,16
7723,concreteShapes:cubeTrimQuarterRamp,64
7748,concreteShapes:archQuarterTrimTwoSided,8
7750,concreteShapes:cubeArchQuarterTrim,16
8229,concreteShapes:cupboardCorner,22
8245,concreteShapes:cubeTileBroken,5
8325,concreteShapes:plateSidewalkCrooked,78
8326,concreteShapes:plateSidewalkBroke01,44
8327,concreteShapes:plateSidewalkBroke02,32
8328,concreteShapes:plateSidewalkBroke03,16
8329,concreteShapes:plateSidewalkBroke04,12
8330,concreteShapes:3mGyroCurve,12
8331,concreteShapes:3mGyroConnector,6
8333,concreteShapes:roadPaintDashCNTR,245
8339,concreteShapes:roadPaintHandicapOffset,1
8384,concreteShapes:cubeDrainStriaght,6
8386,concreteShapes:cubeDrainStriaghtHalf,4
10729,awningShapes:billboard,18
12520,awningShapes:bowlingBall,1
12607,corrugatedMetalShapes:cube,11
12624,corrugatedMetalShapes:cube0.25m,1
12698,corrugatedMetalShapes:poleSquareDiagonal,4
12789,corrugatedMetalShapes:billboard2m,2
12807,corrugatedMetalShapes:pillar50,41
12836,corrugatedMetalShapes:pillar0.025,7
12838,corrugatedMetalShapes:pillar0.025Centered,7
12840,corrugatedMetalShapes:pillar0.025Middle,2
12847,corrugatedMetalShapes:pillar0.05Centered,6
13191,corrugatedMetalShapes:wedgeNarrowHigh,72
13192,corrugatedMetalShapes:wedgeNarrowMid,135
13193,corrugatedMetalShapes:wedgeNarrowLow,123
13194,corrugatedMetalShapes:wedgeNarrowTip,132
13609,corrugatedMetalShapes:railing,3
13977,corrugatedMetalShapes:doorTrim1m,4
13981,corrugatedMetalShapes:doorTrim1mDouble,2
13986,corrugatedMetalShapes:doorTrimThreeSided,2
14160,corrugatedMetalShapes:windowIndustrial01Full,3
