id,name,count
2,terrainFiller,36744
5,terrDirt,5292
14,terrDestroyedStone,16
16,terrGravel,1790
17,terrAsphalt,681
310,woodShapes:pole,211
375,woodShapes:plate,861
387,woodShapes:plateCorner,24
459,woodShapes:pillar50,21
1869,woodShapes:windowBoarded,41
2123,woodShapes:fence,47
2126,woodShapes:fenceBroken1,9
2127,woodShapes:fenceBroken2,12
2317,brickShapes:cube,10
2333,brickShapes:cubeHalfCentered,21
3940,brickShapes:brickDestroyed03,1
3943,brickShapes:brickHalfCenteredDestroyed01,1
3944,brickShapes:brickHalfCenteredDestroyed02,1
3945,brickShapes:brickHalfCenteredDestroyed03,2
3951,brickShapes:brickHalfDestroyed05,2
6433,concreteShapes:cube,24
6465,concreteShapes:cubeQuarter,4
6467,concreteShapes:quarterCenteredWall,20
6549,concreteShapes:plate,43
6613,concreteShapes:billboard,4
6712,concreteShapes:3mTunnelCenter,30
6716,concreteShapes:3mTunnelCorner,24
6852,concreteShapes:plateRound,2
7150,concreteShapes:rampIncline,8
7151,concreteShapes:rampInclineFiller,10
7463,concreteShapes:halfBaseboard4Sided,10
7502,concreteShapes:cubeTrimHalfSplit4Sided,9
7683,concreteShapes:cubeTrimQuarterEdgeTwoSided,1
7700,concreteShapes:cubeTrimCornerRound,6
7798,concreteShapes:doorTrimCorner,2
7802,concreteShapes:doorTrim1m,46
8321,concreteShapes:plateSidewalkCrooked,6
8322,concreteShapes:plateSidewalkBroke01,2
8324,concreteShapes:plateSidewalkBroke03,1
8332,concreteShapes:roadPaintDash,5
12807,corrugatedMetalShapes:pillar50,54
12835,corrugatedMetalShapes:pillar0.025,12
12882,corrugatedMetalShapes:3mTubeCenter,6
12883,corrugatedMetalShapes:3mTubeCorner,4
13124,corrugatedMetalShapes:rampInclineHalfRight,8
13179,corrugatedMetalShapes:wedge60TipHalfLeft,2
13180,corrugatedMetalShapes:wedge60TipHalfRight,2
13326,corrugatedMetalShapes:rampInclineFillerHalfLeft,10
17155,cntTrashPile02,1
17156,cntTrashPile03,1
17158,cntTrashPile05,1
17160,cntTrashPile07,1
17163,garbage_decor1,4
17164,garbage_decor2,4
17229,cntBruteStyleTrashCanRandomLootHelper,1
17263,cntCoolerRandomLootHelper,1
17308,cntBagsRandomLootHelper,1
17315,woodPoleUtilitySupport,14
17316,woodPillar375,56
17317,woodPillar375UtilityTop,7
17320,utilityInsulator,14
17819,streetLight01,9
18388,cntBarrelGasOld,1
18455,goreBlockHumanCorpse,1
18457,goreBlockHumanCorpse2,2
18534,palletBricksPartial2,2
18588,palletCompressedCardboard,1
19894,decoPicnicTable,1
19994,chairCampingRandomHelper,1
20140,decoMetalSlide,1
20141,decoSwingSet,1
20326,concretePlateRound13mLeft01,3
20327,concretePlateRound13mLeft02,3
20328,concretePlateRound13mLeft03,3
20329,concretePlateRound13mLeft04,3
20330,concretePlateRound13mLeft05,3
20331,concretePlateRound13mLeft06,3
20332,concretePlateRound13mLeft07,3
20333,concretePlateRound13mLeft08,3
20334,concretePlateRound13mLeft09,3
20335,concretePlateRound13mLeft10,3
20336,concretePlateRound13mLeft11,4
20337,concretePlateRound13mLeft12,3
20338,concretePlateRound13mLeft13,4
20339,concretePlateRound13mLeft14,3
20340,concretePlateRound13mLeft15,4
20341,concretePlateRound13mLeft16,4
20342,concretePlateRound13mLeft17,4
20343,concretePlateRound13mLeft18,4
20344,concretePlateRound13mLeft19,4
20345,concretePlateRound13mLeft20,4
20346,concretePlateRound13mLeft21,4
20347,concretePlateRound13mCenter01,4
20348,concretePlateRound13mCenter02,4
20349,concretePlateRound13mRight01,3
20350,concretePlateRound13mRight02,3
20351,concretePlateRound13mRight03,3
20352,concretePlateRound13mRight04,3
20353,concretePlateRound13mRight05,3
20354,concretePlateRound13mRight06,3
20355,concretePlateRound13mRight07,3
20356,concretePlateRound13mRight08,3
20357,concretePlateRound13mRight09,3
20358,concretePlateRound13mRight10,3
20359,concretePlateRound13mRight11,4
20360,concretePlateRound13mRight12,3
20361,concretePlateRound13mRight13,4
20362,concretePlateRound13mRight14,3
20363,concretePlateRound13mRight15,4
20364,concretePlateRound13mRight16,4
20365,concretePlateRound13mRight17,4
20366,concretePlateRound13mRight18,4
20367,concretePlateRound13mRight19,4
20368,concretePlateRound13mRight20,4
20369,concretePlateRound13mRight21,4
20976,ladderMetal,3
20978,metalCatwalk,1
21386,fireHydrant,2
22179,treeSmallRandomHelper,5
22181,treeMediumRandomHelper,6
