id,name,count
2,terrainFiller,263
5,terrDirt,8
16,terrGravel,597
17,terrAsphalt,718
383,woodShapes:plate,28
424,woodShapes:platePoleSideCentered,6
1385,woodShapes:halfChairRail4Sided,4
1402,woodShapes:counterBottomFiller,14
1403,woodShapes:counterRound1m,2
7051,concreteShapes:cube,740
7060,concreteShapes:cubeHalfCorner,10
7066,concreteShapes:cubeHalf,271
7067,concreteShapes:cubeHalfCentered,12
7074,concreteShapes:cubeCornerBeveled,1
7089,concreteShapes:cubeQuarter,17
7094,concreteShapes:quarterInsideCorner,2
7172,concreteShapes:cubeHalfPlateCorner2,1
7205,concreteShapes:plateHalf,3
7795,concreteShapes:halfRampStairs50,1
7969,concreteShapes:cubeHalfPillar0.025,1
7986,concreteShapes:stairsFilledVerticalUV,4
7999,concreteShapes:stairsFilledRailingLeft,1
8000,concreteShapes:stairsFilledRailingRight,1
8001,concreteShapes:stairsFilledRailingMetalLeft,1
8002,concreteShapes:stairsFilledRailingMetalRight,1
8088,concreteShapes:wedgeNarrowHighLeftTrim2SidedRailEnd,1
8089,concreteShapes:wedgeNarrowMidLeftTrim2SidedRail,1
8090,concreteShapes:wedgeNarrowLowLeftTrim2SidedRail,1
8092,concreteShapes:wedgeNarrowTipLeftTrim2SidedRailEnd,1
8093,concreteShapes:wedgeNarrowHighRightTrim2SidedRail,1
8095,concreteShapes:wedgeNarrowMidRightTrim2SidedRail,1
8096,concreteShapes:wedgeNarrowLowRightTrim2SidedRail,1
8098,concreteShapes:wedgeNarrowTipRightTrim2SidedRailEnd,1
8152,concreteShapes:halfBaseboard,8
8162,concreteShapes:cubeBaseboardChairRail,25
8165,concreteShapes:cubeBaseboardChairRail4Sided,10
8168,concreteShapes:halfCornerChairRail4Sided,1
8172,concreteShapes:halfChairRail,4
8173,concreteShapes:halfChairRailOffset,2
8177,concreteShapes:halfChairRail4Sided,7
8202,concreteShapes:cubeTrimHalfSplit4Sided,10
8203,concreteShapes:cubeTrimHalfSplit,67
8207,concreteShapes:halfTrimSplitOffset,5
8311,concreteShapes:cubeTrimQuarterCornerInside2,2
8336,concreteShapes:cubeTrimQuarterCornerDiagonal,2
8351,concreteShapes:cubeTrimQuarterDiagonalFiller2,8
8357,concreteShapes:cubeTrimQuarterEdgeDiagonalFiller2Left,16
8360,concreteShapes:cubeTrimQuarterEdgeDiagonalFiller2Right,2
8363,concreteShapes:cubeTrimQuarterEdgeCornerDiagonalFiller2,2
8383,concreteShapes:cubeTrimQuarterEdgeTwoSided,76
8398,concreteShapes:cubeTrimQuarterEdgeDouble,9
8403,concreteShapes:cubeTrimCornerRound,8
9315,steelShapes:cube,88
9318,steelShapes:cubeThreeQuarter,8
9324,steelShapes:cubeHalfCorner,5
9330,steelShapes:cubeHalf,18
9441,steelShapes:plateOffCentered,3
9719,steelShapes:arch,26
9722,steelShapes:archInsideCorner,2
9744,steelShapes:cornerRound,10
9798,steelShapes:wedge60,47
9800,steelShapes:wedge60TipHalf,28
9801,steelShapes:wedge60TipHalfOutsideCorner,2
9805,steelShapes:wedge60Corner,4
10429,steelShapes:cubeBaseboardChairRail4Sided,28
10432,steelShapes:halfCornerChairRail4Sided,2
10509,steelShapes:cubeTrimCenterHalf,32
10786,steelShapes:doorTrim1m,20
13843,corrugatedMetalShapes:cube,8
13858,corrugatedMetalShapes:cubeHalf,84
13866,corrugatedMetalShapes:cubeCornerBeveled,5
13900,corrugatedMetalShapes:pole,25
13929,corrugatedMetalShapes:cubePoleCorner,2
13967,corrugatedMetalShapes:plate,5
13997,corrugatedMetalShapes:plateHalf,1
14052,corrugatedMetalShapes:pillar50,27
14083,corrugatedMetalShapes:pillar0.025Centered,1
14273,corrugatedMetalShapes:cubeHalfCornerRound1m,1
14284,corrugatedMetalShapes:cubeHalfQuarterRoundOutside,5
14291,corrugatedMetalShapes:cubeHalfRamp,1
14328,corrugatedMetalShapes:wedge60TipHalf,32
14329,corrugatedMetalShapes:wedge60TipHalfOutsideCorner,8
14547,corrugatedMetalShapes:awningTip,7
14588,corrugatedMetalShapes:halfRampStairs50Filler,4
14895,corrugatedMetalShapes:catwalkV2RailOnly,7
14909,corrugatedMetalShapes:catwalkV2RailOnlyEndLeft,1
14910,corrugatedMetalShapes:catwalkV2RailOnlyEndRight,1
14913,corrugatedMetalShapes:ladderRails,1
14916,corrugatedMetalShapes:railing,3
14987,corrugatedMetalShapes:counterRound1m,1
15310,corrugatedMetalShapes:doorTrimCorner,8
15312,corrugatedMetalShapes:doorTrim0.5m,8
15314,corrugatedMetalShapes:doorTrim1m,40
15321,corrugatedMetalShapes:doorTrimTop,2
15330,corrugatedMetalShapes:windowTrim,16
15331,corrugatedMetalShapes:windowTrimBottom,32
15332,corrugatedMetalShapes:windowTrimSides,8
15407,corrugatedMetalShapes:windowStoreCornerFull,32
15787,corrugatedMetalShapes:plateBracketCentered,2
15812,corrugatedMetalShapes:tableDynamic,2
15815,corrugatedMetalShapes:prepTableDynamic,2
15831,corrugatedMetalShapes:counterHollowCombo,2
15858,corrugatedMetalShapes:bookcaseOpenEnded,5
15879,corrugatedMetalShapes:ladderRound,7
15912,corrugatedMetalShapes:industrialFenceBottom,79
15913,corrugatedMetalShapes:industrialFenceBottomBrokenLeft,2
15914,corrugatedMetalShapes:industrialFenceBottomBrokenRight,3
15915,corrugatedMetalShapes:industrialFenceTop,78
18375,bulletproofShapes:windowStoreThreeSidedBulletproofFull,8
18379,bulletproofShapes:windowStoreCornerBulletproofFull,4
18508,cntWallSafe,1
18603,cntAmmoPileSmall,1
18613,cntMedicLootPileA,1
18618,cntFoodPileMedium,1
18624,cntShippingCrateShamway,1
18645,cntLootChestHeroInsecureT1,1
18665,cntQuestInfestedT1LootHelper,1
18756,utilitySink,1
18759,wallMountSinkCommercial,2
18775,cntToilet03,2
18776,urinalCommercialMounted,1
18777,drinkingfountainSingle,1
18794,wallMirrorRandomHelper,2
18831,cntTrashPile01,3
18843,garbage_decor1,3
18844,garbage_decor2,2
18845,garbage_decor3,2
18884,cntBinTrashMetalWhiteRandomLootHelper,3
18919,cntFancyGarbageCan,3
18925,cntDomedTrashCanCornerRandomLootHelper,3
18934,cntDumpsterFlies,1
18967,cntJanitorCartFull,1
19016,cntLuggagePileBRandomLootHelper,1
19017,cntBagsRandomLootHelper,1
19139,commercialDistributionBox,1
19141,commercialSingleMeter,1
19145,conduit01,2
19150,conduitSingleCentered,6
19152,conduitSingle90Angle,2
19159,pushButtonSwitch02,1
19160,keyRackBoxMetal01,1
19200,motionsensorPOI,1
19239,cntgasRangeGrey,2
19251,cntwallOvenGreyRandomLootHelper,2
19257,cntCharcoalGrillRandomLootHelper,1
19306,cntCoffeeMakerCommercial,1
19307,cntSodaFountain,1
19313,wallClockRandomLootHelper,2
19320,decoComputerMonitorKeyboardMousePC,1
19328,decoLaptop,2
19384,lightWallGooseneckBlack,2
19399,ceilingLight04,7
19401,ceilingLight04_PendantPoleBase,6
19407,recessedLight,5
19413,fluorescentLight,4
19414,fluorescentLightBayIntact,1
19416,fluorescentLightBayBrokenOff,1
19430,industrialLight01,1
19492,endTable,1
19496,signExitFrameMount,2
19497,signExitFrameMountHigh,2
19538,tableLampLight01TippedOverBrown,1
19550,streetLight01,3
19556,streetLightClassic,2
20245,decoCarTireStack,1
20264,goreBlockHumanCorpse1,1
20357,palletBrownBoxesTop,1
20416,palletCompressedCardboard,1
20419,palletEmpty,2
20422,plywoodStack,1
