id,name,count
2,terrainFiller,18055
16,terrGravel,241
259,woodShapes:cube,1851
274,woodShapes:cubeHalf,628
297,woodShapes:cubeQuarter,28
311,woodShapes:cubeEighth,2
316,woodShapes:pole,205
317,woodShapes:poleCentered,6
318,woodShapes:poleSideCentered,15
345,woodShapes:cubePoleCorner,1
357,woodShapes:corniceBracketHalfCentered,4
383,woodShapes:plate,159
413,woodShapes:plateHalf,16
438,woodShapes:arrowSlitQuarter,1
467,woodShapes:pillar50,63
518,woodShapes:poleSupport,6
519,woodShapes:poleSupport2,4
520,woodShapes:poleSupportCenter,4
704,woodShapes:ramp,110
712,woodShapes:rampInsideCornerFull,2
721,woodShapes:rampCorner,2
739,woodShapes:wedge60,85
740,woodShapes:wedge60Tip,315
741,woodShapes:wedge60TipHalf,18
744,woodShapes:wedge60TipHalfCornerLeft,2
745,woodShapes:wedge60TipHalfCornerRight,1
747,woodShapes:wedge60TipCorner,2
752,woodShapes:wedge60Incline,110
790,woodShapes:rampInclineHalfLeft,4
791,woodShapes:rampInclineHalfRight,4
846,woodShapes:wedge60InclineHalfLeft,16
847,woodShapes:wedge60InclineHalfRight,14
850,woodShapes:wedge60TipHalfLeft,27
851,woodShapes:wedge60TipHalfRight,25
923,woodShapes:wedgeTipHalf,14
945,woodShapes:gableHalf,1
948,woodShapes:gable3Quarter,7
952,woodShapes:gable3QuarterHalf,1
960,woodShapes:gableInvertedHalf,5
994,woodShapes:halfRampStairs50,2
995,woodShapes:halfRampStairs50Filler,8
998,woodShapes:rampInclineFillerHalfLeft,3
999,woodShapes:rampInclineFillerHalfRight,3
1168,woodShapes:cubeHalfPillar0.025,2
1184,woodShapes:stairsFilledQuarterVerticalUV,16
1196,woodShapes:stairsRailing,7
1246,woodShapes:catwalkV1,1
1247,woodShapes:catwalkV1RailSingle,2
1249,woodShapes:catwalkV1Corner,2
1254,woodShapes:catwalkV1RailOnly,4
1331,woodShapes:cubeBaseboard,134
1337,woodShapes:cubeBaseboard4Sided,16
1571,woodShapes:cubeTrimQuarterEdgeTwoSided,16
1679,woodShapes:crown,32
1684,woodShapes:crownInsideCorner,8
1694,woodShapes:doorTrimCorner,2
1695,woodShapes:doorTrimCornerDouble,2
1698,woodShapes:doorTrim1m,14
1702,woodShapes:doorTrim1mDouble,35
1714,woodShapes:windowTrim,28
1715,woodShapes:windowTrimBottom,97
1716,woodShapes:windowTrimSides,40
1717,woodShapes:windowTrimTop,3
1942,woodShapes:window01,14
1943,woodShapes:window01Broken,38
2021,woodShapes:windowBoarded,6
2131,woodShapes:shantywall04,2
2143,woodShapes:floorJoist,14
2206,woodShapes:cupboardCorner,8
2211,woodShapes:counterHollowFront,1
2276,woodShapes:fence,64
2481,brickShapes:cube,36
4255,brickShapes:brickDestroyed02,3
6925,concreteShapes:cube,5841
6940,concreteShapes:cubeHalf,53
6941,concreteShapes:cubeHalfCentered,3
6963,concreteShapes:cubeQuarter,72
6964,concreteShapes:cubeQuarterCenter,8
6968,concreteShapes:quarterInsideCorner,7
6972,concreteShapes:quarterTeeCentered,2
7121,concreteShapes:pillar100,34
7214,concreteShapes:3mTunnelCenter,63
7218,concreteShapes:3mTunnelCorner,54
7327,concreteShapes:arch,5
7370,concreteShapes:ramp,47
7405,concreteShapes:wedge60,106
7412,concreteShapes:wedge60Corner,4
7528,concreteShapes:wedgeNarrowHigh,3
7529,concreteShapes:wedgeNarrowMid,3
7530,concreteShapes:wedgeNarrowLow,3
7531,concreteShapes:wedgeNarrowTip,3
7866,concreteShapes:stairsFilledRailingMetalLeft,2
7867,concreteShapes:stairsFilledRailingMetalRight,2
9355,steelShapes:pillar50,1
9627,steelShapes:wedge60,8
9628,steelShapes:wedge60Tip,12
9744,steelShapes:wedge60TipCornerBase,4
9745,steelShapes:wedge60TipCornerTop,4
11074,steelShapes:securityGateCentered,2
11076,steelShapes:securityGatePlate,11
13591,corrugatedMetalShapes:cube,316
13606,corrugatedMetalShapes:cubeHalf,153
13631,corrugatedMetalShapes:quarterCenteredWall,8
13648,corrugatedMetalShapes:pole,38
13650,corrugatedMetalShapes:poleSideCentered,16
13677,corrugatedMetalShapes:cubePoleCorner,4
13715,corrugatedMetalShapes:plate,162
13769,corrugatedMetalShapes:arrowSlitHalf,2
13770,corrugatedMetalShapes:arrowSlitQuarter,2
13787,corrugatedMetalShapes:pillar100,1
13799,corrugatedMetalShapes:pillar50,3
13828,corrugatedMetalShapes:pillar0.025,44
13830,corrugatedMetalShapes:pillar0.025Centered,3
13832,corrugatedMetalShapes:pillar0.025Middle,1
13839,corrugatedMetalShapes:pillar0.05Centered,5
13841,corrugatedMetalShapes:pillar0.05Middle,2
13850,corrugatedMetalShapes:poleSupport,2
13851,corrugatedMetalShapes:poleSupport2,2
13856,corrugatedMetalShapes:poleCrossCenter3x1,1
13864,corrugatedMetalShapes:pipeThin,1
13876,corrugatedMetalShapes:3mTubeCenter,38
13877,corrugatedMetalShapes:3mTubeCorner,49
13880,corrugatedMetalShapes:3mTunnelCenter,12
13884,corrugatedMetalShapes:3mTunnelCorner,11
14018,corrugatedMetalShapes:cornerRound,19
14036,corrugatedMetalShapes:ramp,180
14052,corrugatedMetalShapes:rampOutsideCornerFull,6
14071,corrugatedMetalShapes:wedge60,141
14072,corrugatedMetalShapes:wedge60Tip,124
14078,corrugatedMetalShapes:wedge60Corner,10
14084,corrugatedMetalShapes:wedge60Incline,34
14122,corrugatedMetalShapes:rampInclineHalfLeft,5
14123,corrugatedMetalShapes:rampInclineHalfRight,6
14178,corrugatedMetalShapes:wedge60InclineHalfLeft,2
14182,corrugatedMetalShapes:wedge60TipHalfLeft,5
