id,name,count
2,terrainFiller,15694
5,terrDirt,533
14,terrDestroyedStone,7403
17,terrAsphalt,18
18,terrConcrete,42
259,woodShapes:cube,333
274,woodShapes:cubeHalf,145
297,woodShapes:cubeQuarter,21
311,woodShapes:cubeEighth,1
316,woodShapes:pole,21
318,woodShapes:poleSideCentered,33
383,woodShapes:plate,236
395,woodShapes:plateCorner,2
413,woodShapes:plateHalf,46
416,woodShapes:plateQuarter,3
418,woodShapes:plateHalfTriangle,10
419,woodShapes:plateQuarterTriangle,4
447,woodShapes:billboard,19
467,woodShapes:pillar50,4
484,woodShapes:pillar50CenteredSquareTop,4
520,woodShapes:poleSupportCenter,6
846,woodShapes:wedge60InclineHalfLeft,1
847,woodShapes:wedge60InclineHalfRight,1
850,woodShapes:wedge60TipHalfLeft,1
851,woodShapes:wedge60TipHalfRight,1
865,woodShapes:wedgeNarrowTip,5
996,woodShapes:rampIncline,2
997,woodShapes:rampInclineFiller,2
1010,woodShapes:plateDiagonal,15
1013,woodShapes:plateDiagonalFiller,7
1022,woodShapes:plateRamp,126
1045,woodShapes:plateWedge60Tip,1
1052,woodShapes:plateWedge60Incline,1
1103,woodShapes:slopePlate01,1
1106,woodShapes:slopePlate04,24
1184,woodShapes:stairsFilledQuarterVerticalUV,8
1246,woodShapes:catwalkV1,8
1250,woodShapes:catwalkV1Wedge,1
1254,woodShapes:catwalkV1RailOnly,1
1329,woodShapes:plateLocalNorthSouthFace,8
1331,woodShapes:cubeBaseboard,12
1391,woodShapes:cubeTrimHalfSplit,2
1571,woodShapes:cubeTrimQuarterEdgeTwoSided,6
1591,woodShapes:cubeTrimCornerRound,4
1661,woodShapes:halfCrown2,3
1665,woodShapes:halfCrownCorner1,2
1666,woodShapes:halfCrownCorner2,1
1679,woodShapes:crown,180
1680,woodShapes:crownStraight,7
1682,woodShapes:crownHalfLeft,1
1684,woodShapes:crownInsideCorner,26
1696,woodShapes:doorTrim0.5m,8
1698,woodShapes:doorTrim1m,38
1704,woodShapes:doorTrim2m,41
1705,woodShapes:doorTrimTop,1
1706,woodShapes:doorTrimTwoSided,1
2021,woodShapes:windowBoarded,14
2076,woodShapes:concreteDestroyed08,1
2078,woodShapes:concreteDestroyedFiller01,1
2079,woodShapes:concreteDestroyedFiller02,3
2089,woodShapes:plateDestroyed,6
2090,woodShapes:plateDestroyed02,1
2091,woodShapes:plateDestroyed03,2
2143,woodShapes:floorJoist,4
2148,woodShapes:wallStud,15
2149,woodShapes:wallStudBroken,4
2189,woodShapes:dynamicGrate,8
2191,woodShapes:coffeeTable,5
2192,woodShapes:table,2
2193,woodShapes:tableDynamic,2
2217,woodShapes:plateCounterHole,2
2230,woodShapes:bookcaseEmpty,5
2245,woodShapes:storageCubeHalf,3
2257,woodShapes:mirror,4
2262,woodShapes:ladderSquare,8
2589,brickShapes:polePlate,4
4311,brickShapes:plateDestroyed,3
4312,brickShapes:plateDestroyed02,2
6925,concreteShapes:cube,6917
6940,concreteShapes:cubeHalf,909
6941,concreteShapes:cubeHalfCentered,54
6948,concreteShapes:cubeCornerBeveled,1
6959,concreteShapes:halfQuarterPost,8
6963,concreteShapes:cubeQuarter,248
6968,concreteShapes:quarterInsideCorner,10
6972,concreteShapes:quarterTeeCentered,1
6977,concreteShapes:cubeEighth,22
6982,concreteShapes:pole,72
6985,concreteShapes:poleHalf,1
6987,concreteShapes:poleHalfSideCentered,9
6988,concreteShapes:poleTwoWayCorner,2
6992,concreteShapes:poleSquareSideCenteredTee,6
7021,concreteShapes:poleSquareTipLeft,1
7040,concreteShapes:poleSquareCornerRound,9
7043,concreteShapes:cubeQuarterCornerSquareTop,8
7045,concreteShapes:cubeHalfPlateCorner,604
7049,concreteShapes:plate,238
7062,concreteShapes:plateCornerHalfTop,12
7064,concreteShapes:plateCornerHalf,3
7070,concreteShapes:plateCornerTwoWallHalf,8
7079,concreteShapes:plateHalf,199
7082,concreteShapes:plateQuarter,6
7086,concreteShapes:plateQuarterTriangleCorner,1
7127,concreteShapes:halfPillar1mPlate,4
7129,concreteShapes:plateQuarterRoundCorner,9
7133,concreteShapes:pillar50,10
7150,concreteShapes:pillar50CenteredSquareTop,10
7157,concreteShapes:pillar50Plate,3
7327,concreteShapes:arch,12
7352,concreteShapes:cornerRound,8
7353,concreteShapes:cubeHalfCornerRound1m,4
7354,concreteShapes:plateRound,6
7363,concreteShapes:cubeQuarterRoundOutside,6
7405,concreteShapes:wedge60,1
7406,concreteShapes:wedge60Tip,1
7487,concreteShapes:wedge60SplitRight03,1
7491,concreteShapes:wedge60SplitRight05,1
7511,concreteShapes:cubeHalfWedge60BevelRight,1
7517,concreteShapes:wedge60TipHalfRight,1
7661,concreteShapes:halfRampStairs50Filler,10
7663,concreteShapes:rampInclineFiller,34
7664,concreteShapes:rampInclineFillerHalfLeft,1
7688,concreteShapes:plateRamp,20
7690,concreteShapes:plateRampHalfLeft,1
7850,concreteShapes:stairsFilledQuarterVerticalUV,83
7870,concreteShapes:stairsHollow,33
7874,concreteShapes:stairsHollowRailingMetalRight,28
7886,concreteShapes:wedgeTipStairs,11
7895,concreteShapes:wedgeStairs,23
7897,concreteShapes:wedgeStairsInsideCorner,4
7910,concreteShapes:stairsHollowRailingMetalFillerLeft,10
7911,concreteShapes:stairsHollowRailingMetalFillerRight,19
7992,concreteShapes:cubeLocalNorthFace,144
7993,concreteShapes:cubeHalfLocalNorthFaceOutside,116
7994,concreteShapes:cubeHalfLocalNorthFaceInside,54
7995,concreteShapes:plateLocalNorthSouthFace,2
7997,concreteShapes:cubeBaseboard,47
8003,concreteShapes:cubeBaseboard4Sided,14
8019,concreteShapes:cubeBaseboardChairRail,6
8057,concreteShapes:cubeTrimHalfSplit,166
8072,concreteShapes:cubeTrimCornerQuarter,20
8099,concreteShapes:cubeTrimCenterHalf,8
8127,concreteShapes:cubeTrimQuarterEdge,42
8158,concreteShapes:cubeTrimQuarterCornerOutside,8
8162,concreteShapes:cubeTrimQuarterCornerInside,5
8220,concreteShapes:cubeTrimHalfSplitDiagonal,108
8237,concreteShapes:cubeTrimQuarterEdgeTwoSided,40
8252,concreteShapes:cubeTrimQuarterEdgeDouble,2
8312,concreteShapes:cubeArchTrim,8
8325,concreteShapes:halfCrown,1
8331,concreteShapes:halfCrownCorner1,1
8336,concreteShapes:halfCrownCorner6,1
8380,concreteShapes:windowTrim,24
8390,concreteShapes:archTrim,12
8697,concreteShapes:cornerstone,6
8704,concreteShapes:brickHalfCenteredDestroyed02,2
8706,concreteShapes:brickHalfCenteredDestroyed04,2
8716,concreteShapes:cubeTrimDestroyed01,18
8717,concreteShapes:cubeTrimDestroyed02,2
8718,concreteShapes:cubeTrimDestroyed03,12
8719,concreteShapes:cubeTrimDestroyed04,1
8720,concreteShapes:cubeTrimDestroyed05,2
8721,concreteShapes:cubeTrimDestroyed06,2
8722,concreteShapes:cubeTrimDestroyed07,1
8723,concreteShapes:cubeTrimDestroyed08,1
8724,concreteShapes:cubeTrimDestroyed09,11
8725,concreteShapes:cubeTrimDestroyed10,1
8729,concreteShapes:cubeTrimStairsHollow2,6
8732,concreteShapes:cubeTrimStairsHollowFiller,5
8734,concreteShapes:stairsHollowDestroyed,2
8739,concreteShapes:concreteDestroyed05,23
8740,concreteShapes:concreteDestroyed06,6
8741,concreteShapes:concreteDestroyed07,44
8742,concreteShapes:concreteDestroyed08,31
8743,concreteShapes:concreteDestroyed09,44
8744,concreteShapes:concreteDestroyedFiller01,60
8745,concreteShapes:concreteDestroyedFiller02,18
8747,concreteShapes:concreteDestroyedFiller04,8
8752,concreteShapes:cubeQuarterBroken,1
8754,concreteShapes:poleQuarterCenteredBroken,4
8757,concreteShapes:plateDestroyed03,1
8813,concreteShapes:cubeHollowFloor,613
8879,concreteShapes:plateCounter,1
8883,concreteShapes:plateCounterHole,4
8888,concreteShapes:cubeTileBroken,40
8966,concreteShapes:farmPlot,50
8967,concreteShapes:farmPlotCornerRound,8
8970,concreteShapes:plateSidewalkBroke01,25
8971,concreteShapes:plateSidewalkBroke02,4
9031,concreteShapes:arch3mWindowCornerSideHalfClock1,1
9032,concreteShapes:arch3mWindowCenterSideHalfClock1,1
9033,concreteShapes:arch3mWindowCornerSideHalfClock2,1
9034,concreteShapes:arch3mWindowCenterSideHalfClock2,1
9035,concreteShapes:arch3mWindowCenterMiddleHalfClock,1
9036,concreteShapes:arch3mWindowCenterSideHalfClock3,1
9037,concreteShapes:arch3mWindowCornerSideHalfClock3,1
9038,concreteShapes:arch3mWindowCenterSideHalfClock4,1
9039,concreteShapes:arch3mWindowCornerSideHalfClock4,1
11557,awningShapes:billboard,21
12193,awningShapes:rampGlassSheet,4
12195,awningShapes:rampGlassSheetCap,3
12196,awningShapes:rampGlassSheetCap2,2
13591,corrugatedMetalShapes:cube,9
13606,corrugatedMetalShapes:cubeHalf,18
13629,corrugatedMetalShapes:cubeQuarter,8
13646,corrugatedMetalShapes:cubeHalfPoleSideCentered,8
13650,corrugatedMetalShapes:poleSideCentered,154
13694,corrugatedMetalShapes:polePlateHalf,8
13699,corrugatedMetalShapes:polePlate,4
13715,corrugatedMetalShapes:plate,86
13729,corrugatedMetalShapes:plateCornerHalfTopOffset,24
13778,corrugatedMetalShapes:billboardHalf,3
13779,corrugatedMetalShapes:billboard,6
13787,corrugatedMetalShapes:pillar100,1
13799,corrugatedMetalShapes:pillar50,2
13816,corrugatedMetalShapes:pillar50CenteredSquareTop,1
13826,corrugatedMetalShapes:pillar0.0125Centered,4
13828,corrugatedMetalShapes:pillar0.025,38
13830,corrugatedMetalShapes:pillar0.025Centered,2
13832,corrugatedMetalShapes:pillar0.025Middle,6
13859,corrugatedMetalShapes:pipeStraightOpenEnded,1
13871,corrugatedMetalShapes:pillar25,1
14018,corrugatedMetalShapes:cornerRound,4
14071,corrugatedMetalShapes:wedge60,4
14630,corrugatedMetalShapes:catwalkV2RailOnlyDblCap,3
14632,corrugatedMetalShapes:catwalkV2RailOnlyRightCap,1
14636,corrugatedMetalShapes:catwalkV2RailOnlyBentLeft,1
14650,corrugatedMetalShapes:railing,8
14653,corrugatedMetalShapes:railingBroke01,7
14723,corrugatedMetalShapes:cubeTrimHalfSplit,25
14726,corrugatedMetalShapes:halfTrimSplit,5
14749,corrugatedMetalShapes:cubeHalfQuarterRoundOutsideTrim,4
15030,corrugatedMetalShapes:doorTrim1m,13
15062,corrugatedMetalShapes:windowStoreTwoSidedBulletproofFull,8
15064,corrugatedMetalShapes:windowStoreThreeSidedBulletproofFull,8
15119,corrugatedMetalShapes:windowStoreOneSidedFull,10
15120,corrugatedMetalShapes:windowStoreTwoSidedFull,20
15121,corrugatedMetalShapes:windowStoreThreeSidedFull,60
15122,corrugatedMetalShapes:windowStoreFourSidedFull,29
15123,corrugatedMetalShapes:windowStoreCornerFull,11
15124,corrugatedMetalShapes:windowStorePaneFull,1
15134,corrugatedMetalShapes:windowStoreOneSidedBroken,169
15135,corrugatedMetalShapes:windowStoreTwoSidedBroken,8
15136,corrugatedMetalShapes:windowStoreThreeSidedBroken,119
15137,corrugatedMetalShapes:windowStoreFourSidedBroken,68
15138,corrugatedMetalShapes:windowStoreCornerBroken,152
15148,corrugatedMetalShapes:windowStoreOneSidedEmpty,55
15150,corrugatedMetalShapes:windowStoreThreeSidedEmpty,44
15151,corrugatedMetalShapes:windowStoreFourSidedEmpty,38
15152,corrugatedMetalShapes:windowStoreCornerEmpty,83
15421,corrugatedMetalShapes:plateDestroyed,6
15422,corrugatedMetalShapes:plateDestroyed02,1
15482,corrugatedMetalShapes:iBeamSmall,21
15527,corrugatedMetalShapes:prepTable,2
15546,corrugatedMetalShapes:plateCounter02,4
15562,corrugatedMetalShapes:bookcaseEmpty,2
15592,corrugatedMetalShapes:ladderRoundBroken1,1
15768,corrugatedMetalShapes:signLetter_a,2
15770,corrugatedMetalShapes:signLetter_c,2
15771,corrugatedMetalShapes:signLetter_d,1
15772,corrugatedMetalShapes:signLetter_e,2
15774,corrugatedMetalShapes:signLetter_g,1
15775,corrugatedMetalShapes:signLetter_h,2
15776,corrugatedMetalShapes:signLetter_i,1
15780,corrugatedMetalShapes:signLetter_m,1
15781,corrugatedMetalShapes:signLetter_n,3
15782,corrugatedMetalShapes:signLetter_o,3
15783,corrugatedMetalShapes:signLetter_p,1
15785,corrugatedMetalShapes:signLetter_r,2
15786,corrugatedMetalShapes:signLetter_s,3
15787,corrugatedMetalShapes:signLetter_t,3
15788,corrugatedMetalShapes:signLetter_u,1
15790,corrugatedMetalShapes:signLetter_w,1
18035,bulletproofShapes:windowStoreOneSidedBulletproofFull,18
18037,bulletproofShapes:windowStoreTwoSidedBulletproofFull,8
18039,bulletproofShapes:windowStoreThreeSidedBulletproofFull,14
18043,bulletproofShapes:windowStoreCornerBulletproofFull,20
18045,bulletproofShapes:windowStorePaneBulletproofFull,2
18172,cntWallSafe,1
18185,cntGunSafe,1
18260,cntWeaponsBagSmall,1
18267,cntAmmoPileSmall,1
18269,cntAmmoPileLarge,1
18277,cntMedicLootPileA,1
18278,cntMedicLootPileACorner,1
18279,cntMedicLootPileB,1
18280,cntFoodPileSmall,4
18288,cntShippingCrateShamway,1
18313,cntHardenedChestSecure,1
18332,cntQuestInfestedT4LootHelper,1
18346,cntWoodenChestMilitaryRandomLootHelper,1
18388,cntCabinetBottomFiller,5
18389,cntCabinetBottomRandomLootHelper,5
18390,cntCabinetBottom,2
18391,cntCabinetBottomOpen,3
18392,cntCounterHollowCabinet,1
18397,cntCupboardCabinetRedTopLootHelper,2
18399,cntCupboardCabinetRedTopOpen,7
18403,cntCabinetOldBottomLootHelper,2
18409,cntCounterHollowCabinetOldRandomLootHelper,1
18410,cntCabinetOldCNRRoundFiller,8
18411,cntCupboardCabinetOldTopLootHelper,3
18419,cntCounterHollowCabinetTaupeRandomLootHelper,1
18421,sinkKitchen,3
18423,wallMountSinkCommercial,6
18424,counterMountedSinkCommercial,4
18439,cntToilet03,9
18440,urinalCommercialMounted,3
18443,bathroomStallDoor,2
18444,bathroomStallWall,8
18445,bathroomStallSupport,1
18446,bathroomStallSupportRight,1
18447,bathroomStallSupportLeft,2
18448,bathroomStallSCTRBeam,2
18449,bathroomStallCTRBeam,4
18457,wallMirrorBroken,2
18497,cntTrashPile03,4
18498,cntTrashPile04,2
18499,cntTrashPile05,4
18500,cntTrashPile06,2
18502,cntTrashPile08,3
18503,cntTrashPile09,4
18504,garbage_decor1,6
18505,garbage_decor2,3
18506,garbage_decor3,2
18508,glassBroken_01,4
18509,glassBroken_02,2
18511,glassBrokenCapLeft,2
18512,glassBrokenCapRight,2
18514,newspaperDecor02,4
18515,newspaperDecor03,9
18516,newspaperDecor04,2
18517,rubbishDecor01,3
18518,rubbishDecor02,3
18519,rubbishDecor03,1
18520,rubbishDecor04,3
18521,rubbishDecor05,61
18522,rubbishDecor06,7
18523,rubbishDecor08,22
18524,rubbishDecor09,2
18525,rubbishDecor10,6
18526,rubbishDecor11,4
18527,rubbishDecor12,9
18528,rubbishDecor13,5
18529,bloodDecor01,2
18530,bloodDecor02,3
18532,bloodDecor06,1
18544,cntBinTrashMetalWhiteRandomLootHelper,4
18579,cntFancyGarbageCan,1
18582,cntDomedTrashCanRandomLootHelper,2
18588,cntBruteStyleTrashCanRandomLootHelper,1
18603,cntUtilityCartEmpty,1
18609,cntUtilityCartEmptyGrey,1
18627,cntJanitorCartFull,1
18630,cntCoolerRandomLootHelper,1
18645,cntDuffle01,1
18676,cntLuggagePileBRandomLootHelper,1
18690,airConditionVentFan,2
18691,airConditionVentFanDouble,9
18692,satelliteUnitLarge,1
18694,satelliteUnitSmallFloor,2
18782,controlPanelBase08Grey,1
18803,conduit01,5
18805,conduit01Curve,1
18807,conduit01Corner,1
18945,cntMicrowaveOvenVer1Closed,1
18958,cntCoffeeMaker,1
18959,cntCoffeeMakerCommercial,2
18964,wallClockBroken,1
18965,wallClockRandomLootHelper,4
18970,radioHam,1
18971,decoComputerDeskTopPC,3
18972,decoComputerMonitorKeyboardMousePC,1
18973,decoComputerMonitorKeyboardMouse,10
18975,decoComputerMonitor,3
18976,decoLaptop,1
18985,decoServerRackGrey,4
18988,tvSmallStand1x1Fallen,1
18989,tvSmallWall1x1,3
18991,tvSmallWall2x1,2
18997,tvExtraSmallStandFallen1x1,1
18999,tvCRT,1
19018,lightWallGooseneckGrey,1
19030,ceilingLight02,6
19034,ceilingLight04,3
19042,recessedLight,27
19046,lightCeiling07,9
19048,fluorescentLight,3
19052,lightPanelLEDWhite,52
19054,lightPanelLEDGrey,14
19055,lightPanelLEDBlack,1
19064,trackLight,1
19065,industrialLight01,8
19067,lightIndustrialRed,1
19074,lightSconce,4
19075,lightSconce_2x1,1
19076,lanternDecorLightWhite,1
19077,lanternDecorLightRed,1
19079,lanternDecorLightGreen,1
19083,lanternDecorLightRandomHelper,1
19104,flashlightDecorYellow,1
19122,ceilingFanLight,2
19123,chandelierLight,1
19131,signExitFrameMount,7
19138,deskLampLight,1
19140,deskLampLight02Brown,1
19148,deskLampLight02Black,1
19161,tableLampLight01CenteredWhite,1
19169,tableLampLight01CenteredGrey,4
19172,tableLampLight01TippedOverWhite,2
19183,workLightPOI,2
19190,streetLightClassic,2
19194,spotlightUpLeft_POI,2
19208,wallTorchLight,6
19603,sandbagCorner02Long,3
19605,sandbagEnd01,1
19606,sandbagEnd02,4
19607,sandbagPile01,1
19608,sandbagPile02,1
19610,sandbagSingle02,1
19611,sandbagSingle03,1
19613,sandbagSingle05,1
19634,chainlinkFenceBottomPlain,10
19720,pictureCanvas_01a,1
19721,pictureCanvas_01b,3
19722,pictureCanvas_01c,3
19734,pictureFrame_01d,1
19736,pictureFrame_01f,1
19739,pictureFrame_01i,1
19752,pictureFrame_01v,6
19759,calendar2034,2
19791,paintingBen,1
19793,paintingLorien,2
19795,paintingDerek,1
19802,hiddenSafePaintingKen,1
19804,cntPaintingPictureSafeRandomLootHelper,1
19811,cntBarrelGasSingle00,1
19812,cntBarrelGasSingle45,1
19832,cntBarrelPlasticSingle00,1
19846,decoCarBackDoorFlat,1
19856,decoCarMotorFlat,1
19861,decoCarTireSmallFlat,1
19862,decoCarTireFlat,1
19882,goreBlockHumanCorpse,2
19883,goreBlockHumanCorpse1,3
19884,goreBlockHumanCorpse2,2
19886,goreBlockHumanCorpse3,3
19915,cntBirdnest,4
19922,modularFireWoodStackC,1
19936,modularRopeTiled,7
19937,modularRopeTopTied,2
19939,modularRopeTiledSideCentered,6
19940,modularRopeTopTiedSideCentered,3
19942,cinderBlocks02,1
19970,emberPileLightPOI2,1
19972,palletBrownBoxesBase,1
19973,palletBrownBoxesTile,4
19974,palletBrownBoxesTop,3
19975,palletBrownBoxesTopSmall,1
20013,palletTarpBaseBlue,2
20029,palletTarpTileBlack,1
20036,palletEmpty,3
20037,palletEmptyStack,4
20085,palletBagBlankBaseFullWhite,1
20114,palletBagBlankTileYellow,1
20169,treePlant02,3
20210,plantHousePottedCornerBlack,2
20234,plantHouseTallPottedWhite,3
20243,plantHouseTallPottedBlack,5
20433,interiorHouseDoorOak,1
20499,pantryDoorBrown,4
20508,commercialGlassDoor,4
20509,commercialBulletproofGlassDoor,5
20510,commercialGlassDoorDouble,4
20511,commercialBulletproofGlassDoorDouble,2
20512,commercialSlidingDoor,2
20513,commercialBulletproofSlidingDoor,1
20537,commercialDoorV2Brown,1
20544,commercialDoorV2Grey,8
20546,commercialDoorV2Oak,6
20588,commercialDoorV4Grey,6
20602,elevatorDoor,11
20610,elevatorOutsideFloorPanelHalfBlock,14
20612,elevatorOutsideButtonPanelHalfBlock,15
20615,elevatorInsidePanelPlateOffest,2
20784,rollUpGate3x3White,1
21107,miniblindTopSheet,24
21108,miniblindBottomSheet,15
21109,verticalBlindsTopWhite,15
21111,verticalBlindsBottomWhite,15
21435,cntDeskWoodFull,2
21436,cntDeskWoodEmpty,7
21437,cntDeskWoodRandomLootHelper,9
21442,cntDeskMetalFullOrange,1
21444,cntDeskMetalFullGreen,1
21447,cntDeskMetalFullGrey,2
21460,cntDeskMetalEmptyBlack,2
21464,cntDeskMetalBrownRandomLootHelper,4
21468,cntDeskMetalGreenRandomLootHelper,2
21469,cntDeskMetalBlueRandomLootHelper,1
21471,cntDeskMetalGreyRandomLootHelper,3
21489,rustyIronTable,1
21490,metalTablePillar0.025CTR,1
21491,decoTableRound,4
21515,officeChair01,5
21523,officeChair01White,2
21524,officeChair01Black,13
21531,oldChair1,10
21532,oldChair1Brown,3
21549,chairFoldingMetalUnfoldedGreen,1
21550,chairFoldingMetalUnfoldedBlue,1
21585,chairCampingYellow,1
21607,sectionalLeatherCouchSofaCorner,6
21608,sectionalLeatherCouchSofaMiddle,2
21643,couchModernArm,14
21644,couchModernCorner,6
21645,couchModernSection,12
21658,couchModernArmWhite,2
21659,couchModernCornerWhite,4
21660,couchModernSectionWhite,3
21731,cntWaterCoolerFullSideCentered,1
21732,cntWaterCoolerBottle,2
21746,decoWineBottlePile01,1
21775,bedrollPOI,3
21776,bedrollArmyGreenPOI,1
21783,mattressFlatThin,1
21807,bodyBagBlackFlies,3
21888,cntToolBoxRandomLootHelperRed,1
21918,cntRollingToolBoxClosedRed,1
21995,cntATMSecure,1
21997,cntPostMailbox,1
22000,cntNewspaperDispenserStandBlue,1
22005,cntVendingMachineEnergyBroken,1
22010,cntVendingMachine2RandomLootHelper,2
22015,cntVendingMachineSnacksRandomLootHelper,1
22058,cntFreezerBeveragesStandaloneRandomLootHelper,1
22077,cntStoreShelfSingleTopHardware02,1
22094,cntStoreShelfSingleBottomTrash01,1
22095,cntStoreShelfSingleBottomTrash02,1
22097,cntStoreShelfSingleTopTrash02,1
22142,cntDisplayCaseEmptyLeft,1
22146,cntDisplayCaseEmptyRight,1
22191,cntStoreElectronicsBookShelfSpeaker,2
22258,cntBookcaseEmpty,10
22260,cntBookcaseGoodRandomLootHelper,2
22287,cntBookShelfSingleCapTopFull01,1
22291,cntBookPile02,2
22292,cntBookPile03,2
22310,cntBookPile03AirRandomLootHelper,1
22315,cntCashRegisterRandomLootHelper,1
22365,restaurantBooth,6
22440,cntTrashBinCommercialBrown,1
22455,officeDesk,3
22457,cntshelfSupplyOfficeEmptyWhite,1
22485,cntshelfSupplyOfficeGreyRandomLootHelper,1
22487,cntFileCabinetShortRandomLootHelper,2
22491,cntFileCabinetShortGreyRandomLootHelper,2
22492,cntFileCabinetShortBlackRandomLootHelper,2
22508,cntFileCabinetTallGreenRandomLootHelper,1
22510,cntFileCabinetTallGreyRandomLootHelper,1
22511,cntFileCabinetTallBlackRandomLootHelper,3
22521,cntFileCabinetTallClosedGreen,1
22523,cntFileCabinetTallClosedGrey,1
22524,cntFileCabinetTallClosedBlack,1
22590,cntLockersTallClosed,1
22606,ladderWood,28
22607,ladderMetal,5
22624,metalRailing,5
22717,iBeamSmall,2
22718,iBeam,5
22720,iBeamBent,14
22722,iBeamFoundation,1
