id,name,count
2,terrainFiller,35
10,terrSand,95
16,terrGravel,6
17,terrAsphalt,716
259,woodShapes:cube,174
383,woodShapes:plate,215
384,woodShapes:plateCentered,31
413,woodShapes:plateHalf,37
1194,woodShapes:stairsFilledVerticalUV,12
1257,woodShapes:railingFloatRight,6
1332,woodShapes:railing,14
1335,woodShapes:railingBroke01,6
1711,woodShapes:crown,203
1716,woodShapes:crownInsideCorner,21
1730,woodShapes:doorTrim1m,2
1746,woodShapes:windowTrim,82
1747,woodShapes:windowTrimBottom,70
1749,woodShapes:windowTrimTop,31
1970,woodShapes:arch2mWindow01Bottom,2
1971,woodShapes:arch2mWindow01BottomBroken,6
1974,woodShapes:window01,11
1976,woodShapes:window01Broken02,23
1977,woodShapes:window01Broken03,2
1978,woodShapes:window01Broken04,3
1979,woodShapes:window01Broken05,1
2227,woodShapes:table,1
2236,woodShapes:counterFlipDoorClosed,1
2252,woodShapes:plateCounterHole,2
2293,woodShapes:mirror,12
2340,woodShapes:plateSidewalkBroke01,2
2523,brickShapes:cube,1899
2538,brickShapes:cubeHalf,70
2539,brickShapes:cubeHalfCentered,50
2927,brickShapes:arch,12
2941,brickShapes:archCurveTop,2
2946,brickShapes:archCurveWall,9
2970,brickShapes:ramp,20
2988,brickShapes:rampCornerFiller,4
3610,brickShapes:cubeBaseboardCorner,16
3615,brickShapes:cubeBaseboard4Sided,72
3634,brickShapes:cubeBaseboardChairRail,54
3635,brickShapes:cubeBaseboardChairRail2Sided,4
3674,brickShapes:cubeTrimHalfSplit4Sided,12
3675,brickShapes:cubeTrimHalfSplit,149
3838,brickShapes:cubeTrimHalfSplitDiagonal,12
3915,brickShapes:wedge60TrimQuarterLeftFiller,2
3916,brickShapes:wedge60TrimQuarterRightFiller,2
3917,brickShapes:wedge60TrimQuarterLeft2Sided,2
3918,brickShapes:wedge60TrimQuarterRight2Sided,2
3919,brickShapes:wedge60TipTrimQuarterLeft2Sided,3
3920,brickShapes:wedge60TipTrimQuarterRight2Sided,3
4228,brickShapes:arch2mWindow01Top,5
4229,brickShapes:arch2mWindow01TopBroken,5
4232,brickShapes:arch2mWindow01CenterBroken,1
4234,brickShapes:arch2mWindow01Bottom,1
4235,brickShapes:arch2mWindow01BottomBroken,1
4237,brickShapes:arch2mBaseboard,10
4328,brickShapes:brickDestroyed01,1
4329,brickShapes:brickDestroyed02,5
4330,brickShapes:brickDestroyed03,5
7051,concreteShapes:cube,2383
7066,concreteShapes:cubeHalf,191
7089,concreteShapes:cubeQuarter,7
7108,concreteShapes:pole,9
7166,concreteShapes:poleSquareCornerRound,2
7498,concreteShapes:ramp,16
7534,concreteShapes:wedge60,37
7535,concreteShapes:wedge60Tip,20
7541,concreteShapes:wedge60Corner,4
7543,concreteShapes:wedge60InsideCorner2,4
7547,concreteShapes:wedge60Incline,8
7663,concreteShapes:wedgeNarrowHigh,3
7664,concreteShapes:wedgeNarrowMid,3
7665,concreteShapes:wedgeNarrowLow,5
7666,concreteShapes:wedgeNarrowTip,5
7796,concreteShapes:halfRampStairs50Filler,2
7985,concreteShapes:stairsFilledQuarterVerticalUV,30
