id,name,count
2,terrainFiller,955
5,terrDirt,6
259,woodShapes:cube,3
274,woodShapes:cubeHalf,5
376,woodShapes:cubeQuarterCenteredSquareTop,1
383,woodShapes:plate,166
413,woodShapes:plateHalf,2
418,woodShapes:plateHalfTriangle,4
1365,woodShapes:halfChairRailOffset,2
1575,woodShapes:cubeTrimQuarterEdgeTwoSided,8
1663,woodShapes:halfCrown,1
1669,woodShapes:halfCrownCorner1,1
1670,woodShapes:halfCrownCorner2,1
1718,woodShapes:windowTrim,72
1719,woodShapes:windowTrimBottom,28
1720,woodShapes:windowTrimSides,2
1721,woodShapes:windowTrimTop,11
2094,woodShapes:plateDestroyed02,1
2095,woodShapes:plateDestroyed03,2
2221,woodShapes:plateCounterHole,4
2492,brickShapes:cube,860
2494,brickShapes:cubeHalfInsideCorner,8
2501,brickShapes:cubeHalfCorner,16
2507,brickShapes:cubeHalf,74
2530,brickShapes:cubeQuarter,1
2612,brickShapes:cubeHalfPlateCorner,1
2937,brickShapes:ramp,3
3228,brickShapes:halfRampStairs50,3
3418,brickShapes:stairsFilledQuarterVerticalUV,4
3590,brickShapes:cubeBaseboardChairRail,24
3591,brickShapes:cubeBaseboardChairRail2Sided,35
3592,brickShapes:cubeBaseboardChairRail3Sided,6
3593,brickShapes:cubeBaseboardChairRail4Sided,16
3597,brickShapes:halfChairRail,29
3602,brickShapes:halfChairRail4Sided,3
3698,brickShapes:cubeTrimQuarterEdge,20
3733,brickShapes:cubeTrimQuarterCornerInside,4
4467,brickShapes:bookcaseEmpty,1
4483,brickShapes:storageCubeHalf,1
4538,brickShapes:farmPlot,12
6958,concreteShapes:cube,2117
6973,concreteShapes:cubeHalf,242
6996,concreteShapes:cubeQuarter,16
7001,concreteShapes:quarterInsideCorner,1
7017,concreteShapes:poleSideCentered,21
7078,concreteShapes:cubeHalfPlateCorner,2
7403,concreteShapes:ramp,3
7694,concreteShapes:halfRampStairs50,1
7697,concreteShapes:rampInclineFiller,16
7884,concreteShapes:stairsFilledQuarterVerticalUV,20
7885,concreteShapes:stairsFilledVerticalUV,1
7900,concreteShapes:stairsFilledRailingMetalLeft,2
7904,concreteShapes:stairsHollow,17
7907,concreteShapes:stairsHollowRailingMetalLeft,17
7908,concreteShapes:stairsHollowRailingMetalRight,5
7947,concreteShapes:stairsHollowRailingMetalFillerLeft,16
7948,concreteShapes:stairsHollowRailingMetalFillerRight,4
8034,concreteShapes:cubeBaseboard,8
8040,concreteShapes:cubeBaseboard4Sided,1
8164,concreteShapes:cubeTrimQuarterEdge,23
8199,concreteShapes:cubeTrimQuarterCornerInside,4
8212,concreteShapes:cubeTrimQuarterCornerInsideTriangle,1
8257,concreteShapes:cubeTrimHalfSplitDiagonal,6
8274,concreteShapes:cubeTrimQuarterEdgeTwoSided,18
8280,concreteShapes:cubeTrimQuarterCornerOutsideTwoSided,1
8317,concreteShapes:cubeTrimQuarterRamp,2
8346,concreteShapes:archQuarterTrimTwoSided,2
8348,concreteShapes:cubeArchQuarterTrim,4
10668,steelShapes:windowStoreThreeSidedBulletproofFull,1
13418,awningShapes:verticalBlindsTop,2
13419,awningShapes:verticalBlindsTop2,10
13420,awningShapes:verticalBlindsBottom,12
13657,corrugatedMetalShapes:cube,37
13672,corrugatedMetalShapes:cubeHalf,40
13695,corrugatedMetalShapes:cubeQuarter,34
13709,corrugatedMetalShapes:cubeEighth,12
13781,corrugatedMetalShapes:plate,2
13845,corrugatedMetalShapes:billboard,4
13894,corrugatedMetalShapes:pillar0.025,8
13896,corrugatedMetalShapes:pillar0.025Centered,11
13924,corrugatedMetalShapes:pipeStraight,1
13926,corrugatedMetalShapes:pipeJoint,1
13927,corrugatedMetalShapes:pipeFlange,3
13928,corrugatedMetalShapes:pipeCorner,1
13930,corrugatedMetalShapes:pipeThin,22
13932,corrugatedMetalShapes:pipeThinCornerUp,2
14084,corrugatedMetalShapes:cornerRound,9
14138,corrugatedMetalShapes:wedge60,4
14353,corrugatedMetalShapes:awningTip,9
14394,corrugatedMetalShapes:halfRampStairs50Filler,6
14396,corrugatedMetalShapes:rampInclineFiller,6
14575,corrugatedMetalShapes:pillar50PlatePillar0.025,3
14699,corrugatedMetalShapes:catwalkV2RailOnly,24
14701,corrugatedMetalShapes:catwalkV2RailOnlyLeftCap,1
14704,corrugatedMetalShapes:catwalkV2RailOnlyCorner,1
15081,corrugatedMetalShapes:crown,49
15086,corrugatedMetalShapes:crownInsideCorner,12
15096,corrugatedMetalShapes:doorTrimCorner,6
15097,corrugatedMetalShapes:doorTrimCornerDouble,1
15100,corrugatedMetalShapes:doorTrim1m,66
15101,corrugatedMetalShapes:doorTrim1mOffCenter,3
15104,corrugatedMetalShapes:doorTrim1mDouble,10
15106,corrugatedMetalShapes:doorTrim2m,1
15107,corrugatedMetalShapes:doorTrimTop,12
15108,corrugatedMetalShapes:doorTrimTwoSided,2
15109,corrugatedMetalShapes:doorTrimThreeSided,3
15138,corrugatedMetalShapes:windowStoreCornerBulletproofFull,1
15189,corrugatedMetalShapes:windowStoreOneSidedFull,2
15191,corrugatedMetalShapes:windowStoreThreeSidedFull,4
15193,corrugatedMetalShapes:windowStoreCornerFull,3
15206,corrugatedMetalShapes:windowStoreThreeSidedBroken,41
15207,corrugatedMetalShapes:windowStoreFourSidedBroken,11
15533,corrugatedMetalShapes:shantywall04,3
15594,corrugatedMetalShapes:table,3
15595,corrugatedMetalShapes:tableDynamic,4
15609,corrugatedMetalShapes:buffetCounter,2
15845,corrugatedMetalShapes:signLetter_a,2
15847,corrugatedMetalShapes:signLetter_c,3
15849,corrugatedMetalShapes:signLetter_e,2
15850,corrugatedMetalShapes:signLetter_f,1
15853,corrugatedMetalShapes:signLetter_i,2
15854,corrugatedMetalShapes:signLetter_j,1
15856,corrugatedMetalShapes:signLetter_l,1
15858,corrugatedMetalShapes:signLetter_n,1
15863,corrugatedMetalShapes:signLetter_s,2
15864,corrugatedMetalShapes:signLetter_t,1
15865,corrugatedMetalShapes:signLetter_u,2
15869,corrugatedMetalShapes:signLetter_y,2
15870,corrugatedMetalShapes:signLetter_z,1
18125,bulletproofShapes:windowStoreTwoSidedBulletproofFull,5
18127,bulletproofShapes:windowStoreThreeSidedBulletproofFull,12
18129,bulletproofShapes:windowStoreFourSidedBulletproofFull,12
18131,bulletproofShapes:windowStoreCornerBulletproofFull,8
18355,cntAmmoPileSmall,1
18365,cntMedicLootPileA,1
18368,cntFoodPileSmall,1
18372,cntFoodPileSmallRandomHelper,1
18398,cntLootChestHeroInsecureT2,1
18418,cntQuestInfestedT2LootHelper,1
18476,cntCabinetBottomFiller,9
18477,cntCabinetBottomRandomLootHelper,4
18485,cntCupboardCabinetRedTopLootHelper,2
18498,cntCabinetOldCNRRoundFiller,1
18508,utilitySink,2
18511,wallMountSinkCommercial,3
18512,counterMountedSinkCommercial,4
18518,showerHead,4
18527,cntToilet03,6
18528,urinalCommercialMounted,1
18529,drinkingfountainSingle,2
18530,drinkingfountainDouble,1
18531,bathroomStallDoor,7
18532,bathroomStallWall,2
18533,bathroomStallSupport,2
18534,bathroomStallSupportRight,1
18536,bathroomStallSCTRBeam,4
18537,bathroomStallCTRBeam,1
18543,cntMedicineCabinetClosedRandomLootHelper,1
18546,wallMirrorRandomHelper,2
18579,laundryCartRandomHelper,1
18583,cntTrashPile01,3
18587,cntTrashPile05,1
18589,cntTrashPile07,1
18592,garbage_decor1,9
18593,garbage_decor2,8
18594,garbage_decor3,8
18627,cntbinTrashRollingGreen,1
18667,cntFancyGarbageCan,2
18670,cntDomedTrashCanRandomLootHelper,10
18676,cntBruteStyleTrashCanRandomLootHelper,2
18715,cntJanitorCartFull,1
18765,cntBagsRandomLootHelper,4
18779,airConditionVentFanDouble,3
18888,commercialDualMeter,1
18891,conduit01,1
18963,cntFridgeStainlessSteelRandomLootHelper,1
19030,cntWasherIndustrialRandomLootHelper,1
19048,cntSodaFountain,1
19053,wallClockRandomLootHelper,2
19061,decoComputerMonitorKeyboardMouse,1
19110,lightCeilingBulbMountWhite,1
19130,recessedLight,20
19134,lightCeiling07,4
19136,fluorescentLight,4
19137,fluorescentLightBayIntact,1
19138,fluorescentLightBayBroken,2
19142,lightPanelLEDGrey,9
19153,industrialLight01,5
19171,lanternDecorLightRandomHelper,1
19195,flashlightDecorRandomHelper,1
19219,signExitFrameMount,5
19220,signExitFrameMountHigh,2
19221,signExitFrameMount2mCentered,1
19809,pictureCanvas_01b,1
19810,pictureCanvas_01c,1
19974,goreBlockHumanCorpse3,1
20003,cntBirdnest,1
20047,cobweb,2
20060,palletBrownBoxesBase,1
20061,palletBrownBoxesTile,1
20062,palletBrownBoxesTop,1
20064,palletBrownBoxesLoose,2
20096,palletTarpBaseBrown,1
20109,palletTarpTileBrown,2
20121,palletCompressedCardboard,1
20124,palletEmpty,1
20125,palletEmptyStack,1
20145,palletBagFlourTile,1
20147,palletBagFlourCapMed,1
20148,palletBagFlourCapSml,2
