id,name,count
2,terrainFiller,1322
6814,concreteShapes:cube,297
6829,concreteShapes:cubeHalf,76
6830,concreteShapes:cubeHalfCentered,56
6852,concreteShapes:cubeQuarter,4
7021,concreteShapes:pillar100Cap,8
7131,concreteShapes:cubeQuarter5mRound01,2
7132,concreteShapes:cubeQuarter5mRound02,4
7133,concreteShapes:cubeQuarter5mRound03,4
7134,concreteShapes:cubeQuarter5mRound04,4
7135,concreteShapes:cubeQuarter5mRound05,4
7137,concreteShapes:cubeQuarter5mRoundStraightRight,4
7740,concreteShapes:stairsFilledVerticalUV,12
8014,concreteShapes:cubeTrimQuarterEdge,64
8049,concreteShapes:cubeTrimQuarterCornerInside,4
8818,concreteShapes:farmPlot,4
18176,cntTrashPile03,1
18180,cntTrashPile07,1
18183,garbage_decor1,1
18184,garbage_decor2,1
18334,cntBagsRandomLootHelper,1
21118,decoPicnicTable,2
23433,treeSmallThinRandomHelper,2
23447,treeBrownGrassDiagonal,6
23452,treeGreenBrownGrassDiagonal,4
23453,forestFlower,1
23480,plantedGoldenrod3Harvest,1
23500,plantedChrysanthemum3Harvest,1
23524,plantedSnowberry3Harvest,1
