id,name,count
2,terrainFiller,357
16,terrGravel,28
6814,concreteShapes:cube,651
6816,concreteShapes:cubeHalfInsideCorner,7
6829,concreteShapes:cubeHalf,110
6837,concreteShapes:cubeCornerBeveled,60
6839,concreteShapes:cubeCornerBeveledCorner,4
6848,concreteShapes:halfQuarterPost,16
6852,concreteShapes:cubeQuarter,48
6866,concreteShapes:cubeEighth,8
6922,concreteShapes:polePlate,38
6971,concreteShapes:plateQuarter,11
7739,concreteShapes:stairsFilledQuarterVerticalUV,33
8822,concreteShapes:plateSidewalkBroke01,4
8825,concreteShapes:plateSidewalkBroke04,2
18181,cntTrashPile08,1
18183,garbage_decor1,1
18184,garbage_decor2,2
18185,garbage_decor3,2
18238,cntFancyGarbageCan,2
18717,industrialLight01,8
18842,streetLightClassic,4
21354,parkBenchA,4
23390,treeDeadTree02,2
23447,treeBrownGrassDiagonal,4
23452,treeGreenBrownGrassDiagonal,2
23532,farmPlotBlock,8
