id,name,count
2,terrainFiller,6299
16,terrGravel,260
383,woodShapes:plate,42
1332,woodShapes:railing,6
1733,woodShapes:doorTrimDiagonal,2
2523,brickShapes:cube,150
2538,brickShapes:cubeHalf,86
2561,brickShapes:cubeQuarter,4
2631,brickShapes:polePlate,7
2641,brickShapes:cubeQuarterCornerSquareTop,2
3674,brickShapes:cubeTrimHalfSplit4Sided,6
3675,brickShapes:cubeTrimHalfSplit,36
3678,brickShapes:halfTrimSplit,2
3679,brickShapes:halfTrimSplitOffset,1
3680,brickShapes:halfTrimSplit2,1
3745,brickShapes:cubeTrimQuarterEdge,6
3746,brickShapes:cubeHalfTrimQuarterEdgeBottom,3
3747,brickShapes:halfTrimQuarterEdge,3
4349,brickShapes:cubeTrimDestroyed04,1
4350,brickShapes:cubeTrimDestroyed05,1
7051,concreteShapes:cube,1100
7066,concreteShapes:cubeHalf,207
7085,concreteShapes:halfQuarterPost,8
7089,concreteShapes:cubeQuarter,33
7091,concreteShapes:quarterCenteredWall,4
7154,concreteShapes:polePlateHalf,16
7175,concreteShapes:plate,28
7205,concreteShapes:plateHalf,28
7208,concreteShapes:plateQuarter,10
7416,concreteShapes:cube7mRound01,8
7417,concreteShapes:cube7mRound02,8
7419,concreteShapes:cube7mRound04,8
7420,concreteShapes:cube7mRound05,8
7456,concreteShapes:arch2,4
7491,concreteShapes:cubeQuarterRoundOutside,4
7669,concreteShapes:wedgeNarrowMidCorner,4
7670,concreteShapes:wedgeNarrowLowCorner,4
7985,concreteShapes:stairsFilledQuarterVerticalUV,14
8023,concreteShapes:wedgeTipStairs,31
8032,concreteShapes:wedgeStairs,25
8203,concreteShapes:cubeTrimHalfSplit,24
8210,concreteShapes:cubeTrimHalfCorner,8
8218,concreteShapes:cubeTrimCornerQuarter,4
8273,concreteShapes:cubeTrimQuarterEdge,36
8304,concreteShapes:cubeTrimQuarterCornerOutside,6
8321,concreteShapes:cubeTrimQuarterCornerInsideTriangle,80
8470,concreteShapes:cubeArchTrim,4
8518,concreteShapes:doorTrimCorner,4
8522,concreteShapes:doorTrim1m,16
9049,concreteShapes:cubeTileBroken,6
9100,concreteShapes:balusterCorner01,8
9101,concreteShapes:balusterRail01,31
9128,concreteShapes:farmPlot,4
9203,concreteShapes:cubeDrainStraightEnd,2
9205,concreteShapes:cubeDrainEndCap,2
11786,awningShapes:sphere,1
13900,corrugatedMetalShapes:pole,3
13967,corrugatedMetalShapes:plate,4
13997,corrugatedMetalShapes:plateHalf,3
14000,corrugatedMetalShapes:plateQuarter,2
14011,corrugatedMetalShapes:platePoleCorner,3
14079,corrugatedMetalShapes:pillar0.0125Centered,6
14085,corrugatedMetalShapes:pillar0.025Middle,8
14462,corrugatedMetalShapes:wedgeNarrowLowCorner,8
14463,corrugatedMetalShapes:wedgeNarrowTipCorner,4
14911,corrugatedMetalShapes:catwalkV2RailOnlySingleDoubleEnd,2
14922,corrugatedMetalShapes:barsCentered,6
15318,corrugatedMetalShapes:doorTrim1mDouble,2
15405,corrugatedMetalShapes:windowStoreThreeSidedFull,7
15406,corrugatedMetalShapes:windowStoreFourSidedFull,1
15420,corrugatedMetalShapes:windowStoreThreeSidedBroken,1
15421,corrugatedMetalShapes:windowStoreFourSidedBroken,1
15751,corrugatedMetalShapes:scaffoldingLadder,3
15812,corrugatedMetalShapes:tableDynamic,1
15871,corrugatedMetalShapes:verticalBlindsTopRailOnly,2
15913,corrugatedMetalShapes:industrialFenceBottomBrokenLeft,8
15916,corrugatedMetalShapes:industrialFenceBottom02,31
18620,cntFoodPileSmallRandomHelper,1
18759,wallMountSinkCommercial,5
18775,cntToilet03,6
18776,urinalCommercialMounted,3
18778,drinkingfountainDouble,2
18779,bathroomStallDoor,6
18780,bathroomStallWall,14
18781,bathroomStallSupport,4
18782,bathroomStallSupportRight,2
18783,bathroomStallSupportLeft,2
18784,bathroomStallSCTRBeam,6
18785,bathroomStallCTRBeam,14
18833,cntTrashPile03,1
18843,garbage_decor1,6
18844,garbage_decor2,3
18845,garbage_decor3,2
18848,glassBroken_02,1
18850,glassBrokenCapLeft,1
18852,newspaperDecor01,7
18853,newspaperDecor02,5
18854,newspaperDecor03,16
18855,newspaperDecor04,5
18856,rubbishDecor01,9
18857,rubbishDecor02,10
18858,rubbishDecor03,2
18859,rubbishDecor04,2
18860,rubbishDecor05,18
18862,rubbishDecor08,1
18863,rubbishDecor09,3
18864,rubbishDecor10,5
18865,rubbishDecor11,5
18866,rubbishDecor12,4
18867,rubbishDecor13,7
18869,bloodDecor01,2
18870,bloodDecor02,4
18871,bloodDecor05,2
18872,bloodDecor06,2
18909,cntBinTrashPlasticBrownRandomLootHelper,2
18919,cntFancyGarbageCan,5
18925,cntDomedTrashCanCornerRandomLootHelper,2
19017,cntBagsRandomLootHelper,1
19019,cntSportsBag02RandomLootHelper,1
19399,ceilingLight04,6
19407,recessedLight,3
19411,lightCeiling07,5
19556,streetLightClassic,11
19582,burningBarrel,1
19861,banditWallCorrugated1x3,1
20265,goreBlockHumanCorpse2,1
20296,birdBathPlanter,1
20936,commercialDoorV2Brown,2
22140,parkBenchA,14
22146,decoSodaCanSingle,12
22161,decoWineBottlePile01,1
22162,decoWineBottlePile02,2
22169,decoMetalSlide,1
22170,decoSwingSet,1
22191,bedrollArmyGreenPOI,1
22502,cntATMSecure,1
22505,cntNewsDispenseFreeGreen,1
22506,cntNewsDispenseFreeOrange,1
22507,cntNewspaperDispenserStandBlue,1
22508,cntNewspaperDispenserStandYellow,1
22511,cntVendingMachine2Broken,1
22512,cntVendingMachineEnergyBroken,1
22525,cntVendingMachineSnacksRandomLootHelper,1
23403,concreteHalfDestroyed05Left,1
23404,concreteHalfDestroyed05Right,1
23405,concreteHalfDestroyed06,1
23801,signPosterWantedMissing01,3
23802,signPosterWantedMissing02,4
23803,signPosterWantedMissing03,5
23810,signCigaretteAd,2
23812,signMegaCrushAd,1
23854,signBulletinBoard01,1
23890,signBathroomSignWomenWallMount,1
23891,signBathroomSignWomenCeilingMount,1
23892,signBathroomSignMenWallMount,1
23893,signBathroomSignMenCeilingMount,1
23908,signCanvasWood0.75x0.50,2
23952,signDecalWood1x1,5
23994,signCanvasCorrugatedMetal0.75x0.50,6
24042,signDecalCorrugatedMetal2x2,2
24621,plantHedgeRandomHelper,14
24625,plantShrubRandomHelper,16
24673,treeSmallRandomHelper,3
24675,treeMediumRandomHelper,1
24676,treeLargeRandomHelper,7
24819,sleeperStomach,1
24820,sleeperIdle,5
24891,bicycleStatic,1
