id,name,count
2,terrainFiller,10119
16,terrGravel,27
17,terrAsphalt,392
259,woodShapes:cube,184
274,woodShapes:cubeHalf,30
277,woodShapes:cubeCornerBeveled,1
284,woodShapes:cubeHalfCornerBeveled,1
291,woodShapes:cubeQuarter,3
312,woodShapes:poleSideCentered,9
375,woodShapes:plate,21
392,woodShapes:plateHalfThreeSidedHalf,20
405,woodShapes:plateHalf,5
412,woodShapes:plateQuarterTriangleCorner,2
677,woodShapes:cornerRound,3
688,woodShapes:cubeQuarterRoundOutside,4
1072,woodShapes:slopePlate01,1
1073,woodShapes:slopePlate02,1
1074,woodShapes:slopePlate03,2
1075,woodShapes:slopePlate04,2
1091,woodShapes:slopePlateFiller,1
1137,woodShapes:stairsFilledQuarterVerticalUV,4
1274,woodShapes:cubeBaseboard,10
1286,woodShapes:halfBaseboardOffset,3
1298,woodShapes:cubeBaseboardChairRail4Sided,1
1306,woodShapes:halfChairRail4Sided,2
1322,woodShapes:counterRound1m,4
1629,woodShapes:doorTrim1m,2
1645,woodShapes:windowTrim,4
1968,woodShapes:sidingBurnt01,4
1969,woodShapes:sidingBurnt02,3
1970,woodShapes:sidingBurnt03,4
1971,woodShapes:sidingBurnt04,2
1973,woodShapes:sidingBurnt06,2
1974,woodShapes:sidingBurnt07,1
1975,woodShapes:woodDebris01,3
1976,woodShapes:woodDebris02,5
1977,woodShapes:woodDebris03,1
1980,woodShapes:shantywall03,2
1981,woodShapes:shantywall04,1
2040,woodShapes:coffeeTable,2
2041,woodShapes:table,2
2052,woodShapes:cabinetAjar,4
2054,woodShapes:cupboardAjar,8
2056,woodShapes:buffetCounter,8
2079,woodShapes:bookcaseEmpty,2
2085,woodShapes:bookcaseQuarterDoubleEmpty,2
2087,woodShapes:bookcaseOpenEnded,18
2094,woodShapes:storageCubeHalf,2
2111,woodShapes:ladderSquare,2
2112,woodShapes:ladderSquareBroken01,1
2113,woodShapes:ladderSquareBroken02,1
2116,woodShapes:trellisDiamond,10
6433,concreteShapes:cube,4984
6448,concreteShapes:cubeHalf,536
6451,concreteShapes:cubeCornerBeveled,26
6461,concreteShapes:halfQuarterPost,1
6465,concreteShapes:cubeQuarter,94
6470,concreteShapes:quarterInsideCorner,10
6479,concreteShapes:cubeEighth,3
6533,concreteShapes:polePlate,33
6545,concreteShapes:cubeHalfPlateCorner,4
6549,concreteShapes:plate,11
6713,concreteShapes:3mTunnelCenter,16
6717,concreteShapes:3mTunnelCorner,16
6869,concreteShapes:ramp,19
7011,concreteShapes:wedge60TipCornerBase,4
7149,concreteShapes:halfRampStairs50,2
7175,concreteShapes:plateRamp,3
7297,concreteShapes:cubeHalfPillar0.025,7
7312,concreteShapes:stairsFilledVerticalUV,3
7327,concreteShapes:stairsFilledRailingMetalLeft,1
7328,concreteShapes:stairsFilledRailingMetalRight,1
7330,concreteShapes:stairsFilledRailingMetalRight2,1
7399,concreteShapes:wedgeNarrowHighLeftTrim2SidedRailEnd,1
7400,concreteShapes:wedgeNarrowMidLeftTrim2SidedRail,1
7401,concreteShapes:wedgeNarrowLowLeftTrim2SidedRail,1
7403,concreteShapes:wedgeNarrowTipLeftTrim2SidedRailEnd,1
7448,concreteShapes:cubeBaseboard,139
7454,concreteShapes:cubeBaseboard4Sided,7
7459,concreteShapes:halfBaseboard,8
7469,concreteShapes:cubeBaseboardChairRail,36
7472,concreteShapes:cubeBaseboardChairRail4Sided,11
7475,concreteShapes:halfChairRail,2
7503,concreteShapes:cubeTrimHalfSplit4Sided,6
7504,concreteShapes:cubeTrimHalfSplit,424
7508,concreteShapes:halfTrimSplitOffset,31
7519,concreteShapes:cubeTrimCornerQuarter,64
7521,concreteShapes:cubeHalfTrimCornerQuarterOffset,6
