id,name,count
2,terrainFiller,6283
5,terrDirt,40
16,terrGravel,1134
17,terrAsphalt,1952
18,terrConcrete,545
259,woodShapes:cube,28
274,woodShapes:cubeHalf,32
297,woodShapes:cubeQuarter,8
299,woodShapes:quarterCenteredWall,5
383,woodShapes:plate,208
395,woodShapes:plateCorner,13
398,woodShapes:plateCornerHalf,2
413,woodShapes:plateHalf,716
416,woodShapes:plateQuarter,3
418,woodShapes:plateHalfTriangle,3
419,woodShapes:plateQuarterTriangle,2
420,woodShapes:plateQuarterTriangleCorner,2
688,woodShapes:cornerRound,2
699,woodShapes:cubeQuarterRoundOutside,2
1132,woodShapes:slopePlateLeft01,3
1138,woodShapes:slopePlateRight01,3
1729,woodShapes:doorTrim0.6m,2
1730,woodShapes:doorTrim1m,4
1731,woodShapes:doorTrim1mOffCenter,4
2053,woodShapes:windowBoarded,2
2059,woodShapes:windowPanel,14
2121,woodShapes:plateDestroyed,26
2122,woodShapes:plateDestroyed02,12
2123,woodShapes:plateDestroyed03,4
2160,woodShapes:woodDebris01,1
2227,woodShapes:table,4
2228,woodShapes:tableDynamic,4
2238,woodShapes:cabinetAjar,4
2240,woodShapes:cupboardAjar,2
2242,woodShapes:buffetCounter,4
2249,woodShapes:plateCounter02,16
2254,woodShapes:counterWallMount,2
2255,woodShapes:counterWallMountRound,4
2265,woodShapes:bookcaseEmpty,7
2268,woodShapes:bookcaseHalfEmpty,5
2281,woodShapes:storageCubeHalf,6
2312,woodShapes:fence,81
2340,woodShapes:plateSidewalkBroke01,4
2342,woodShapes:plateSidewalkBroke03,2
2523,brickShapes:cube,8518
2538,brickShapes:cubeHalf,693
2711,brickShapes:billboard,2
3457,brickShapes:stairsFilledQuarterVerticalUV,1
3609,brickShapes:cubeBaseboard,17
3674,brickShapes:cubeTrimHalfSplit4Sided,1
3675,brickShapes:cubeTrimHalfSplit,139
3717,brickShapes:cubeTrimCenterHalf,8
3745,brickShapes:cubeTrimQuarterEdge,24
3780,brickShapes:cubeTrimQuarterCornerInside,63
3783,brickShapes:cubeTrimQuarterCornerInside2,60
3786,brickShapes:cubeTrimQuarterCornerInsideDouble,8
3838,brickShapes:cubeTrimHalfSplitDiagonal,2
3855,brickShapes:cubeTrimQuarterEdgeTwoSided,64
3870,brickShapes:cubeTrimQuarterEdgeDouble,238
3873,brickShapes:cubeTrimQuarterEdgeQuad,12
4328,brickShapes:brickDestroyed01,1
4329,brickShapes:brickDestroyed02,1
7051,concreteShapes:cube,4606
7054,concreteShapes:cubeThreeQuarter,52
7060,concreteShapes:cubeHalfCorner,1
7066,concreteShapes:cubeHalf,2660
7074,concreteShapes:cubeCornerBeveled,48
7089,concreteShapes:cubeQuarter,369
7090,concreteShapes:cubeQuarterCenter,8
7091,concreteShapes:quarterCenteredWall,12
7094,concreteShapes:quarterInsideCorner,20
7095,concreteShapes:quarterInsideCorner3way,16
7098,concreteShapes:quarterTeeCentered,3
7108,concreteShapes:pole,3
7172,concreteShapes:cubeHalfPlateCorner2,4
7175,concreteShapes:plate,83
7205,concreteShapes:plateHalf,26
7247,concreteShapes:pillar100,10
7283,concreteShapes:halfBlockPillar50,2
7342,concreteShapes:3mTunnelCenter,11
7346,concreteShapes:3mTunnelCorner,16
7363,concreteShapes:cube5mRound02,24
7364,concreteShapes:cube5mRound03,24
7365,concreteShapes:cube5mRound04,24
7498,concreteShapes:ramp,260
7534,concreteShapes:wedge60,230
7535,concreteShapes:wedge60Tip,65
7541,concreteShapes:wedge60Corner,6
7543,concreteShapes:wedge60InsideCorner2,11
7570,concreteShapes:wedge60SlopeBase,1
