id,name,count
2,terrainFiller,4985
5,terrDirt,1066
16,terrGravel,959
259,woodShapes:cube,1031
261,woodShapes:cubeHalfInsideCorner,4
264,woodShapes:cube1mHoleFilled,3
266,woodShapes:cubeHalf1mHole,1
274,woodShapes:cubeHalf,53
291,woodShapes:cubeQuarter,4
292,woodShapes:cubeQuarterCenter,4
310,woodShapes:pole,201
312,woodShapes:poleSideCentered,2
313,woodShapes:poleHalf,6
317,woodShapes:poleThreeWayCorner,7
337,woodShapes:cubePoleCorner,2
350,woodShapes:poleSquareDiagonal,12
375,woodShapes:plate,468
378,woodShapes:plateCladding01,2
387,woodShapes:plateCorner,34
390,woodShapes:plateCornerHalf,3
395,woodShapes:plateCornerTwoWall,8
405,woodShapes:plateHalf,36
407,woodShapes:plateHalfOffCentered,3
408,woodShapes:plateQuarter,4
413,woodShapes:poleCornerCubePlate,2
415,woodShapes:platePole,9
419,woodShapes:platePoleCorner,153
420,woodShapes:platePoleCorner2,27
421,woodShapes:poleTwoWayPlate,2
424,woodShapes:poleThreeWayPlateCorner,4
425,woodShapes:poleThreeWayPlate,8
426,woodShapes:poleThreeWayPlate2,3
427,woodShapes:platePoleCornerCorner,12
439,woodShapes:billboard,2
442,woodShapes:plateDouble,3
459,woodShapes:pillar50,18
473,woodShapes:pillar50CenterPlate,3
481,woodShapes:halfBlockPillar50,1
492,woodShapes:pillar0.025MiddleHalf,1
498,woodShapes:pillar0.05Centered,1
500,woodShapes:pillar0.05Middle,1
501,woodShapes:pillar0.05MiddleHalf,1
560,woodShapes:cube5mRound03,9
562,woodShapes:cubeHalf5mRound01,8
563,woodShapes:cubeHalf5mRound02,8
564,woodShapes:cubeHalf5mRound03,8
565,woodShapes:cubeHalf5mRound04,8
566,woodShapes:cubeQuarter5mRound01,12
567,woodShapes:cubeQuarter5mRound02,12
568,woodShapes:cubeQuarter5mRound03,3
569,woodShapes:cubeQuarter5mRound04,12
570,woodShapes:cubeQuarter5mRound05,12
694,woodShapes:ramp,14
728,woodShapes:wedge60,52
729,woodShapes:wedge60Tip,241
730,woodShapes:wedge60TipHalf,4
733,woodShapes:wedge60TipHalfCornerLeft,1
734,woodShapes:wedge60TipHalfCornerRight,1
738,woodShapes:wedge60InsideCorner,2
741,woodShapes:wedge60Incline,157
751,woodShapes:wedge60InclineCorner,4
827,woodShapes:wedge60InclineHalfLeft,19
828,woodShapes:wedge60InclineHalfRight,19
831,woodShapes:wedge60TipHalfLeft,24
832,woodShapes:wedge60TipHalfRight,26
851,woodShapes:wedgeRampLeft,6
852,woodShapes:wedgeRampRight,6
853,woodShapes:wedgeTipRampLeft,5
854,woodShapes:wedgeTipRampRight,5
884,woodShapes:wedge60TipGableHalf,1
891,woodShapes:wedge60TipWedgeTip,1
903,woodShapes:wedgeTipHalf,5
908,woodShapes:platewedgeTipHalf,1
917,woodShapes:wedgeTipQuarter,17
926,woodShapes:gableQuarterHalf,3
928,woodShapes:gable3Quarter,1
950,woodShapes:gableInvertedQuarterHalf,3
951,woodShapes:cubeHalfgableInvertedQuarter,14
976,woodShapes:rampIncline,6
977,woodShapes:rampInclineFiller,6
988,woodShapes:plateDiagonal,6
989,woodShapes:plateDiagonalHalfLeft,6
990,woodShapes:plateDiagonalHalfRight,6
991,woodShapes:plateDiagonalFiller,3
992,woodShapes:plateDiagonalFillerHalfLeft,4
993,woodShapes:plateDiagonalFillerHalfRight,4
995,woodShapes:plateDiagonalFillerDoubleHalf,1
1009,woodShapes:plateWedge60LeftTip,6
1011,woodShapes:plateWedge60LeftHollow,4
1071,woodShapes:slopePlate01,9
1072,woodShapes:slopePlate02,9
1073,woodShapes:slopePlate03,9
1074,woodShapes:slopePlate04,18
1091,woodShapes:slopePlateLeft01,1
1093,woodShapes:slopePlateLeft02,1
1095,woodShapes:slopePlateLeft03,1
1096,woodShapes:slopePlateLeft04,2
1097,woodShapes:slopePlateRight01,1
1099,woodShapes:slopePlateRight02,1
1101,woodShapes:slopePlateRight03,1
1102,woodShapes:slopePlateRight04,2
1120,woodShapes:platePillar0.025,3
1123,woodShapes:wedge60InclinePillar0.025,6
1126,woodShapes:wedge60TipPillar0.025,1
1129,woodShapes:pillar50PlatePillar0.05,1
1136,woodShapes:stairsFilledQuarterVerticalUV,4
1146,woodShapes:stairs,4
1148,woodShapes:stairsRailing,4
1260,woodShapes:railing,2
1263,woodShapes:railingBroke01,4
1328,woodShapes:cubeTrimHalfSplit4Sided,1
1329,woodShapes:cubeTrimHalfSplit,37
1344,woodShapes:cubeTrimCornerQuarter,2
1399,woodShapes:cubeTrimQuarterEdge,2
1434,woodShapes:cubeTrimQuarterCornerInside,1
1509,woodShapes:cubeTrimQuarterEdgeTwoSided,32
1589,woodShapes:halfCrown,7
1592,woodShapes:halfCrown1Left,1
1595,woodShapes:halfCrownCorner1,3
1596,woodShapes:halfCrownCorner2,2
1599,woodShapes:halfCrownCorner5,1
1600,woodShapes:halfCrownCorner6,1
1609,woodShapes:crown,5
1610,woodShapes:crownStraight,38
1614,woodShapes:crownInsideCorner,13
1616,woodShapes:crownInsideCornerHalfRight,1
1628,woodShapes:doorTrim1m,15
1629,woodShapes:doorTrim1mOffCenter,24
1630,woodShapes:doorTrim1mOffCenterCorner,2
1631,woodShapes:doorTrimDiagonal,52
1632,woodShapes:doorTrim1mDouble,9
1636,woodShapes:doorTrimTwoSided,8
1638,woodShapes:doorTrimSquare,1
1644,woodShapes:windowTrim,37
1645,woodShapes:windowTrimBottom,28
1646,woodShapes:windowTrimSides,6
1679,woodShapes:windowStoreThreeSidedFull,2
1680,woodShapes:windowStoreFourSidedFull,4
1695,woodShapes:windowStoreFourSidedBroken,3
1708,woodShapes:windowStoreThreeSidedEmpty,2
1780,woodShapes:archWindowFull,2
1796,woodShapes:window01,10
1797,woodShapes:window01Broken,4
1871,woodShapes:windowBoarded,23
1901,woodShapes:cubeTrimDestroyed02,2
1902,woodShapes:cubeTrimDestroyed03,8
1944,woodShapes:plateDiagonalDestroyed04,1
1945,woodShapes:plateDiagonalDestroyed05,1
1968,woodShapes:sidingBurnt02,3
1969,woodShapes:sidingBurnt03,1
1971,woodShapes:sidingBurnt05,6
1974,woodShapes:woodDebris01,2
2040,woodShapes:table,3
2043,woodShapes:prepTable,1
2072,woodShapes:cubeHollow,2
2079,woodShapes:bookcaseEmpty,7
2081,woodShapes:bookcaseHalfEmpty,12
2082,woodShapes:bookcaseHalfEmptyOffset,2
2085,woodShapes:bookcaseQuarterDoubleEmpty,1
2087,woodShapes:bookcaseOpenEnded,2
2089,woodShapes:tvStand02,2
2093,woodShapes:storageCube,3
2094,woodShapes:storageCubeHalf,2
2111,woodShapes:ladderSquare,2
2115,woodShapes:trellisSquare,13
2116,woodShapes:trellisDiamond,1
2118,woodShapes:kneeler,1
2125,woodShapes:fence,123
2150,woodShapes:farmPlotRaised,2
