id,name,count
2,terrainFiller,44
16,terrGravel,122
17,terrAsphalt,969
259,woodShapes:cube,51
383,woodShapes:plate,28
413,woodShapes:plateHalf,5
447,woodShapes:billboard,8
484,woodShapes:pillar50CenteredSquareTop,4
661,woodShapes:arch,2
1353,woodShapes:cubeBaseboardChairRail,1
1356,woodShapes:cubeBaseboardChairRail4Sided,30
1461,woodShapes:cubeTrimQuarterEdge,9
1679,woodShapes:crown,8
1684,woodShapes:crownInsideCorner,4
1705,woodShapes:doorTrimTop,4
2026,woodShapes:windowCentered,7
2131,woodShapes:shantywall04,1
2481,brickShapes:cube,185
2496,brickShapes:cubeHalf,5
2497,brickShapes:cubeHalfCentered,182
2961,brickShapes:wedge60,2
2962,brickShapes:wedge60Tip,2
3553,brickShapes:cubeBaseboard,2
3575,brickShapes:cubeBaseboardChairRail,58
3576,brickShapes:cubeBaseboardChairRail2Sided,4
3578,brickShapes:cubeBaseboardChairRail4Sided,1
3583,brickShapes:halfChairRailOffset,2
6925,concreteShapes:cube,520
6934,concreteShapes:cubeHalfCorner,4
6940,concreteShapes:cubeHalf,30
6941,concreteShapes:cubeHalfCentered,6
7078,concreteShapes:plateThreeQuarter,2
7079,concreteShapes:plateHalf,8
7121,concreteShapes:pillar100,3
7584,concreteShapes:wedgeTipFull,22
8127,concreteShapes:cubeTrimQuarterEdge,20
8237,concreteShapes:cubeTrimQuarterEdgeTwoSided,46
8243,concreteShapes:cubeTrimQuarterCornerOutsideTwoSided,1
8252,concreteShapes:cubeTrimQuarterEdgeDouble,53
8257,concreteShapes:cubeTrimCornerRound,4
8261,concreteShapes:cubeTrimQuarterEdgeRound,4
8888,concreteShapes:cubeTileBroken,18
8977,concreteShapes:roadPaintDashCNTR,40
10618,steelShapes:windowStoreTwoSidedBulletproofFull,3
10620,steelShapes:windowStoreThreeSidedBulletproofFull,2
10622,steelShapes:windowStoreFourSidedBulletproofFull,2
13591,corrugatedMetalShapes:cube,157
13606,corrugatedMetalShapes:cubeHalf,154
13648,corrugatedMetalShapes:pole,6
13649,corrugatedMetalShapes:poleCentered,4
13650,corrugatedMetalShapes:poleSideCentered,6
13716,corrugatedMetalShapes:plateCentered,7
13799,corrugatedMetalShapes:pillar50,11
13830,corrugatedMetalShapes:pillar0.025Centered,8
13839,corrugatedMetalShapes:pillar0.05Centered,12
13841,corrugatedMetalShapes:pillar0.05Middle,12
14018,corrugatedMetalShapes:cornerRound,10
14071,corrugatedMetalShapes:wedge60,78
14072,corrugatedMetalShapes:wedge60Tip,232
14073,corrugatedMetalShapes:wedge60TipHalf,34
14084,corrugatedMetalShapes:wedge60Incline,140
14306,corrugatedMetalShapes:gableInvertedSteep,2
14508,corrugatedMetalShapes:pillar50PlatePillar0.025,4
15064,corrugatedMetalShapes:windowStoreThreeSidedBulletproofFull,2
15066,corrugatedMetalShapes:windowStoreFourSidedBulletproofFull,1
15138,corrugatedMetalShapes:windowStoreCornerBroken,24
15462,corrugatedMetalShapes:shantywall03,2
15463,corrugatedMetalShapes:shantywall04,2
15522,corrugatedMetalShapes:fakeDynamicGrate,1
15528,corrugatedMetalShapes:prepTableDynamic,2
15768,corrugatedMetalShapes:signLetter_a,2
15771,corrugatedMetalShapes:signLetter_d,2
15773,corrugatedMetalShapes:signLetter_f,6
15782,corrugatedMetalShapes:signLetter_o,4
15786,corrugatedMetalShapes:signLetter_s,2
15787,corrugatedMetalShapes:signLetter_t,2
18267,cntAmmoPileSmall,1
18280,cntFoodPileSmall,1
18288,cntShippingCrateShamway,1
18309,cntLootChestHeroInsecureT1,1
18329,cntQuestInfestedT1LootHelper,1
18388,cntCabinetBottomFiller,13
18389,cntCabinetBottomRandomLootHelper,4
18402,cntCabinetBottomBrokenDoor,2
18403,cntCabinetOldBottomLootHelper,2
18410,cntCabinetOldCNRRoundFiller,3
18420,utilitySink,1
18423,wallMountSinkCommercial,1
18439,cntToilet03,1
18440,urinalCommercialMounted,1
18443,bathroomStallDoor,1
18444,bathroomStallWall,1
18445,bathroomStallSupport,1
18447,bathroomStallSupportLeft,1
18448,bathroomStallSCTRBeam,1
18449,bathroomStallCTRBeam,1
18458,wallMirrorRandomHelper,1
18495,cntTrashPile01,2
18496,cntTrashPile02,1
18502,cntTrashPile08,2
18503,cntTrashPile09,1
18504,garbage_decor1,1
18505,garbage_decor2,4
18506,garbage_decor3,10
18533,scrapMetalPile,1
18544,cntBinTrashMetalWhiteRandomLootHelper,1
18579,cntFancyGarbageCan,2
18582,cntDomedTrashCanRandomLootHelper,1
18585,cntDomedTrashCanCornerRandomLootHelper,3
18588,cntBruteStyleTrashCanRandomLootHelper,1
18589,cntDumpster,1
18627,cntJanitorCartFull,1
18630,cntCoolerRandomLootHelper,1
18688,airConditionVentFan,2
18816,keyRackBoxMetal01,1
18869,cntRetroFridgeRandomLootHelper,1
18873,cntFridgeStainlessSteelRandomLootHelper,2
18890,cntStoveRandomLootHelper,1
18948,cntMicrowaveRandomLootHelper,1
18955,cntToaster,1
18957,cntCoffeeMakerCommercial,1
18958,cntSodaFountain,3
18996,tvExtraSmallWall1x1,2
19042,lightCeiling07,6
19050,lightPanelLEDGrey,6
19061,industrialLight01,6
19079,lanternDecorLightRandomHelper,1
19103,flashlightDecorRandomHelper,1
19126,signExitLightOffset,1
19127,signExitFrameMount,2
19143,deskLampLight02BGrey,1
19180,streetLight01,1
19186,streetLightClassic,1
19212,burningBarrel,1
19681,woodFenceSheet,2
19857,decoCarTireSmallFlat,2
19878,goreBlockHumanCorpse,1
19968,palletBrownBoxesBase,1
19969,palletBrownBoxesTile,2
19970,palletBrownBoxesTop,2
19972,palletBrownBoxesLoose,2
20165,treePlant02,2
20504,commercialGlassDoor,1
20505,commercialBulletproofGlassDoor,1
20518,commercialDoorV1Grey,1
20540,commercialDoorV2Grey,3
20562,commercialDoorV3Grey,1
20826,ironHatchGrey,1
21101,commercialBlindsTop,12
21467,cntDeskMetalGreyRandomLootHelper,1
21488,decoPicnicTable,1
21511,officeChair01,1
21587,chairCampingRandomHelper,1
21724,parkBenchA,1
21973,decoMetalBollard,9
21983,parkingBlockYellow,4
21984,parkingBlockCrooked1Yellow,1
21985,parkingBlockCrooked2Yellow,1
21986,parkingBlockBrokenYellow,1
22257,cntBookcasePoorRandomLootHelper,1
22307,cntCashRegisterRandomLootHelper,3
22391,fastFoodBoothOrange,4
22393,fastFoodBoothEndOpenOrange,4
22394,fastFoodBoothMiddleOrange,4
22498,cntFileCabinetTallRandomLootHelper,2
22599,ladderMetal,2
22600,ladderSteel,2
22651,decoHandTruck,2
22833,metalPipeCap,2
23009,signOpenWallMountFrame,1
23178,signDinersMenu2mCentered,1
23245,signBathroomSignUnisexWallMount,1
23267,trapSpikesWoodDmg0,2
23339,carsRandomHelper,1
23637,cntBusSchoolShort,1
23975,questRallyMarker,1
23977,cntQuestRandomLootHelper,7
23983,sleeperSit,6
23984,sleeperBack,2
23985,sleeperSideLeft,2
23988,sleeperIdle,8
23989,sleeperCrawlerOnly,1
23996,sleeperVultureAnimal,2
