id,name,count
2,terrainFiller,7954
16,terrGravel,2084
29,terrStoneHelper,265
259,woodShapes:cube,95
274,woodShapes:cubeHalf,2
282,woodShapes:cubeCornerBeveled,4
316,woodShapes:pole,44
345,woodShapes:cubePoleCorner,8
369,woodShapes:polePlateOffCentered,2
383,woodShapes:plate,16
386,woodShapes:plateCladding01,2
396,woodShapes:plateCornerHalfTop,3
403,woodShapes:plateCornerTwoWall,1
413,woodShapes:plateHalf,35
416,woodShapes:plateQuarter,2
428,woodShapes:platePoleCorner2,14
430,woodShapes:poleTwoWayPlate2,2
457,woodShapes:pillar100Open,1
467,woodShapes:pillar50,1
492,woodShapes:pillar100Plate,4
743,woodShapes:wedge60TipHalf,3
754,woodShapes:wedge60Incline,4
1187,woodShapes:stairsFilledVerticalUV,1
1196,woodShapes:stairs,1
1472,woodShapes:cubeTrimQuarterEdge,1
1491,woodShapes:cubeTrimCircle,18
1493,woodShapes:cubeHalfTrimCircleOffset,10
1507,woodShapes:cubeTrimQuarterCornerInside,2
1582,woodShapes:cubeTrimQuarterEdgeTwoSided,20
1584,woodShapes:cubeHalfTrimQuarterEdgeTwoSidedOffset,9
1588,woodShapes:cubeTrimQuarterCornerOutsideTwoSided,6
1705,woodShapes:doorTrimCorner,2
1709,woodShapes:doorTrim1m,6
1920,woodShapes:windowPlateCircleEmpty,26
1921,woodShapes:windowPlateRoundedSquare4SidedHalfWidthEmpty,8
1928,woodShapes:windowPlateRoundedSquare3SidedEmpty,2
2032,woodShapes:windowBoarded,2
2225,woodShapes:plateCounter02,6
2231,woodShapes:counterWallMountRound,1
2235,woodShapes:cubeBookcase,6
2244,woodShapes:bookcaseHalfEmpty,10
2248,woodShapes:bookcaseQuarterDoubleEmpty,3
2257,woodShapes:storageCubeHalf,2
2427,woodShapes:plateFacade01,1
2428,woodShapes:plateFacadeCap01,10
2429,woodShapes:plateFacadeTile01,5
11583,awningShapes:plate,22
11646,awningShapes:billboardHalf,6
11647,awningShapes:billboard,390
13341,awningShapes:shantywall03,13
13342,awningShapes:shantywall04,20
13658,awningShapes:signLetter_e,1
13659,awningShapes:signLetter_f,1
13660,awningShapes:signLetter_g,1
13661,awningShapes:signLetter_h,2
13662,awningShapes:signLetter_i,2
13673,awningShapes:signLetter_t,2
13679,awningShapes:signLetter_z,1
13699,corrugatedMetalShapes:cube,37
13702,corrugatedMetalShapes:cubeThreeQuarter,2
13714,corrugatedMetalShapes:cubeHalf,5
13721,corrugatedMetalShapes:cube0.25m,5
13737,corrugatedMetalShapes:cubeQuarter,4
13756,corrugatedMetalShapes:pole,42
13758,corrugatedMetalShapes:poleSideCentered,20
13761,corrugatedMetalShapes:poleHalfSideCentered,8
13780,corrugatedMetalShapes:poleSquareSideCenteredBracketDouble,1
13785,corrugatedMetalShapes:cubePoleCorner,2
13807,corrugatedMetalShapes:polePlate,35
13812,corrugatedMetalShapes:polePlateCenteredTee,4
13823,corrugatedMetalShapes:plate,679
13825,corrugatedMetalShapes:plateOffCentered,12
13835,corrugatedMetalShapes:plateCorner,39
13836,corrugatedMetalShapes:plateCornerHalfTop,23
13842,corrugatedMetalShapes:plateCornerHalfTopHalfOffset,16
13844,corrugatedMetalShapes:plateCornerTwoWallHalf,2
