id,name,count
2,terrainFiller,8470
16,terrGravel,331
17,terrAsphalt,961
18,terrConcrete,182
259,woodShapes:cube,102
274,woodShapes:cubeHalf,26
413,woodShapes:plateHalf,3
1710,woodShapes:crown,37
1711,woodShapes:crownStraight,11
1715,woodShapes:crownInsideCorner,9
1746,woodShapes:windowTrimBottom,6
1747,woodShapes:windowTrimSides,1
1963,woodShapes:arch2mWindow01Top,4
1969,woodShapes:arch2mWindow01Bottom,2
1970,woodShapes:arch2mWindow01BottomBroken,2
1973,woodShapes:window01,2
2161,woodShapes:shantywall03,1
2224,woodShapes:tableDynamic,1
2237,woodShapes:cupboardCorner,4
2243,woodShapes:counterHollowCombo,1
2519,brickShapes:cube,536
2534,brickShapes:cubeHalf,53
2965,brickShapes:ramp,4
3604,brickShapes:cubeBaseboard,6
3669,brickShapes:cubeTrimHalfSplit4Sided,1
3670,brickShapes:cubeTrimHalfSplit,13
3740,brickShapes:cubeTrimQuarterEdge,4
3751,brickShapes:cubeHalfTrimQuarter2SidedOffset,10
4325,brickShapes:brickDestroyed03,1
7039,concreteShapes:cube,762
7054,concreteShapes:cubeHalf,135
7077,concreteShapes:cubeQuarter,91
7078,concreteShapes:cubeQuarterCenter,17
7082,concreteShapes:quarterInsideCorner,15
7163,concreteShapes:plate,32
7329,concreteShapes:3mTunnelCenter,3
7333,concreteShapes:3mTunnelCorner,2
7469,concreteShapes:plateRound,2
7521,concreteShapes:wedge60,1
7630,concreteShapes:cubeHalfWedge60BevelLeft,4
7631,concreteShapes:cubeHalfWedge60BevelRight,4
7638,concreteShapes:wedge60TipHalfLeft,2
7639,concreteShapes:wedge60TipHalfRight,2
7650,concreteShapes:wedgeNarrowHigh,22
7651,concreteShapes:wedgeNarrowMid,22
7652,concreteShapes:wedgeNarrowLow,22
7653,concreteShapes:wedgeNarrowTip,22
7973,concreteShapes:stairsFilledVerticalUV,1
7986,concreteShapes:stairsFilledRailingLeft,1
7987,concreteShapes:stairsFilledRailingRight,1
8295,concreteShapes:cubeTrimQuarterCornerInside,4
8301,concreteShapes:cubeTrimQuarterCornerInsideDouble,2
8370,concreteShapes:cubeTrimQuarterEdgeTwoSided,95
8385,concreteShapes:cubeTrimQuarterEdgeDouble,6
8390,concreteShapes:cubeTrimCornerRound,4
8747,concreteShapes:arch2mWindow01CenterBroken,2
8752,concreteShapes:arch2mBaseboard,3
9017,concreteShapes:cupboardCorner,24
9117,concreteShapes:plateSidewalkBroke02,1
9299,steelShapes:cube,12
9337,steelShapes:cubeQuarter,7
9351,steelShapes:cubeEighth,2
9507,steelShapes:pillar50,9
10799,steelShapes:windowStoreOneSidedBulletproofFull,3
10803,steelShapes:windowStoreThreeSidedBulletproofFull,8
10805,steelShapes:windowStoreFourSidedBulletproofFull,2
10807,steelShapes:windowStoreCornerBulletproofFull,2
13819,corrugatedMetalShapes:cube,46
13834,corrugatedMetalShapes:cubeHalf,43
13857,corrugatedMetalShapes:cubeQuarter,6
13871,corrugatedMetalShapes:cubeEighth,2
13873,corrugatedMetalShapes:cubeHalfPoleCorner,2
13876,corrugatedMetalShapes:pole,46
13905,corrugatedMetalShapes:cubePoleCorner,4
14056,corrugatedMetalShapes:pillar0.025,11
14058,corrugatedMetalShapes:pillar0.025Centered,6
14067,corrugatedMetalShapes:pillar0.05Centered,14
14093,corrugatedMetalShapes:pipeThin,1
14247,corrugatedMetalShapes:cornerRound,2
14265,corrugatedMetalShapes:ramp,11
14281,corrugatedMetalShapes:rampOutsideCornerFull,2
14302,corrugatedMetalShapes:wedge60Tip,2
14505,corrugatedMetalShapes:wedgeTipQuarter,1
14563,corrugatedMetalShapes:halfRampStairs50Filler,5
14844,corrugatedMetalShapes:catwalkV2Railing2EndLeft,1
14845,corrugatedMetalShapes:catwalkV2Railing2EndRight,1
14851,corrugatedMetalShapes:catwalkV2TipDoubleEndRailing,1
14875,corrugatedMetalShapes:catwalkV2RailOnlyCorner,1
14884,corrugatedMetalShapes:catwalkV2RailOnlyEndLeft,1
14885,corrugatedMetalShapes:catwalkV2RailOnlyEndRight,1
14891,corrugatedMetalShapes:railing,4
15305,corrugatedMetalShapes:windowTrim,32
15306,corrugatedMetalShapes:windowTrimBottom,34
15307,corrugatedMetalShapes:windowTrimSides,12
15380,corrugatedMetalShapes:windowStoreThreeSidedFull,14
15394,corrugatedMetalShapes:windowStoreTwoSidedBroken,3
15395,corrugatedMetalShapes:windowStoreThreeSidedBroken,16
15396,corrugatedMetalShapes:windowStoreFourSidedBroken,2
15550,corrugatedMetalShapes:windowIndustrial01Full,1
15551,corrugatedMetalShapes:windowIndustrial01Broken01,2
15552,corrugatedMetalShapes:windowIndustrial01Broken02,2
18571,cntAmmoPileSmall,1
18581,cntMedicLootPileA,1
18595,cntShippingCrateCarParts,1
18597,cntShippingCrateWorkingStiffs,1
18614,cntLootChestHeroInsecureT2,1
18634,cntQuestInfestedT2LootHelper,1
18692,cntCabinetBottomFiller,4
