id,name,count
2,terrainFiller,140795
5,terrDirt,1555
8,terrBurntForestGround,1684
16,terrGravel,44
17,terrAsphalt,1249
29,terrStoneHelper,18
259,woodShapes:cube,266
268,woodShapes:cubeHalfCorner,8
274,woodShapes:cubeHalf,302
297,woodShapes:cubeQuarter,8
316,woodShapes:pole,286
322,woodShapes:poleTwoWayCorner,22
345,woodShapes:cubePoleCorner,6
355,woodShapes:poleSquareTipLeft,20
356,woodShapes:poleSquareTipRight,20
357,woodShapes:corniceBracketHalfCentered,11
361,woodShapes:polePlateQuarter,4
362,woodShapes:polePlateHalf,36
367,woodShapes:polePlate,1
380,woodShapes:cubeHalfPlateCorner2,17
383,woodShapes:plate,122
413,woodShapes:plateHalf,20
467,woodShapes:pillar50,24
469,woodShapes:pillar50Corner,26
484,woodShapes:pillar50CenteredSquareTop,6
485,woodShapes:pillar50CenteredSquareBottom,6
1057,woodShapes:plateWedge60Filler,4
1187,woodShapes:stairsFilledVerticalUV,8
1247,woodShapes:railingFloatLeft,6
1248,woodShapes:railingFloatRight,6
1351,woodShapes:halfBaseboard,4
1352,woodShapes:halfBaseboardOffset,4
1361,woodShapes:cubeBaseboardChairRail,10
1364,woodShapes:cubeBaseboardChairRail4Sided,35
1405,woodShapes:halfTrimSplit,8
1418,woodShapes:cubeHalfTrimCornerQuarter,3
1705,woodShapes:doorTrimCorner,20
1709,woodShapes:doorTrim1m,76
1800,woodShapes:windowStoreThreeSidedFull,13
1801,woodShapes:windowStoreFourSidedFull,2
1802,woodShapes:windowStoreCornerFull,14
1813,woodShapes:windowStoreOneSidedBroken,2
1815,woodShapes:windowStoreThreeSidedBroken,9
1816,woodShapes:windowStoreFourSidedBroken,3
1817,woodShapes:windowStoreCornerBroken,10
2032,woodShapes:windowBoarded,12
2038,woodShapes:windowPanel,2
2100,woodShapes:plateDestroyed,4
2101,woodShapes:plateDestroyed02,1
2102,woodShapes:plateDestroyed03,4
2136,woodShapes:woodDebris01,1
2214,woodShapes:cabinetAjar,6
2216,woodShapes:cupboardAjar,15
2222,woodShapes:counterHollowFront,2
2225,woodShapes:plateCounter02,10
2231,woodShapes:counterWallMountRound,6
2240,woodShapes:cubeHalfBookshelfTriple,4
2244,woodShapes:bookcaseHalfEmpty,6
2248,woodShapes:bookcaseQuarterDoubleEmpty,2
2250,woodShapes:bookcaseOpenEnded,4
2269,woodShapes:mirror,14
2291,woodShapes:fenceBroken1,6
2292,woodShapes:fenceBroken2,6
2444,woodShapes:signNumber_0,12
2445,woodShapes:signNumber_1,4
2446,woodShapes:signNumber_2,2
2447,woodShapes:signNumber_3,3
2448,woodShapes:signNumber_4,2
2449,woodShapes:signNumber_5,2
2454,woodShapes:signLetter_a,1
2458,woodShapes:signLetter_e,3
2459,woodShapes:signLetter_f,2
2460,woodShapes:signLetter_g,3
2461,woodShapes:signLetter_h,3
2462,woodShapes:signLetter_i,2
2466,woodShapes:signLetter_m,2
2468,woodShapes:signLetter_o,5
2471,woodShapes:signLetter_r,2
2472,woodShapes:signLetter_s,2
2473,woodShapes:signLetter_t,3
2474,woodShapes:signLetter_u,1
2475,woodShapes:signLetter_v,2
2484,woodShapes:signLetter_exclamation,2
2499,brickShapes:cube,775
2508,brickShapes:cubeHalfCorner,40
2514,brickShapes:cubeHalf,635
2537,brickShapes:cubeQuarter,30
2730,brickShapes:halfBlockPillar50,2
2981,brickShapes:wedge60,40
2982,brickShapes:wedge60Tip,32
2994,brickShapes:wedge60Incline,16
3086,brickShapes:cubeHalfWedge60BevelLeft,10
3087,brickShapes:cubeHalfWedge60BevelRight,10
3092,brickShapes:wedge60TipHalfLeft,11
3093,brickShapes:wedge60TipHalfRight,11
3287,brickShapes:plateWedge60Tip,4
3576,brickShapes:cubeBaseboard,93
3580,brickShapes:cubeBaseboard2Sided,8
3591,brickShapes:halfBaseboard,8
3596,brickShapes:halfBaseboard4Sided,44
3642,brickShapes:cubeTrimHalfSplit,3
3646,brickShapes:halfTrimSplitOffset,4
3712,brickShapes:cubeTrimQuarterEdge,18
3747,brickShapes:cubeTrimQuarterCornerInside,4
4283,brickShapes:brickDestroyed01,2
4284,brickShapes:brickDestroyed02,1
4285,brickShapes:brickDestroyed03,2
4286,brickShapes:brickDestroyed04,2
4292,brickShapes:brickHalfDestroyed01,1
4293,brickShapes:brickHalfDestroyed02,1
4294,brickShapes:brickHalfDestroyed03,1
4296,brickShapes:brickHalfDestroyed05,3
4298,brickShapes:brickHalfDestroyed07,2
6979,concreteShapes:cube,3961
6994,concreteShapes:cubeHalf,497
6995,concreteShapes:cubeHalfCentered,100
7001,concreteShapes:cube0.25m,367
7017,concreteShapes:cubeQuarter,100
7022,concreteShapes:quarterInsideCorner,2
7031,concreteShapes:cubeEighth,6
7103,concreteShapes:plate,146
7138,concreteShapes:plateHalfTriangle,12
7167,concreteShapes:billboard,19
7409,concreteShapes:plateRound,4
7425,concreteShapes:ramp,1
7584,concreteShapes:wedgeNarrowHigh,4
7585,concreteShapes:wedgeNarrowMid,4
7586,concreteShapes:wedgeNarrowLow,189
7587,concreteShapes:wedgeNarrowTip,4
7718,concreteShapes:rampIncline,51
7719,concreteShapes:rampInclineFiller,45
7744,concreteShapes:plateRamp,7
7746,concreteShapes:plateRampHalfLeft,2
7907,concreteShapes:stairsFilledVerticalUV,52
7920,concreteShapes:stairsFilledRailingLeft,6
7921,concreteShapes:stairsFilledRailingRight,6
7922,concreteShapes:stairsFilledRailingMetalLeft,3
7923,concreteShapes:stairsFilledRailingMetalRight,3
7942,concreteShapes:wedgeTipStairs,72
7951,concreteShapes:wedgeStairs,241
8006,concreteShapes:wedgeNarrowHighLeftTrim2SidedRail,2
8008,concreteShapes:wedgeNarrowMidLeftTrim2SidedRail,2
8009,concreteShapes:wedgeNarrowLowLeftTrim2SidedRail,2
8011,concreteShapes:wedgeNarrowTipLeftTrim2SidedRailEnd,2
8012,concreteShapes:wedgeNarrowHighRightTrim2SidedRail,2
8014,concreteShapes:wedgeNarrowMidRightTrim2SidedRail,2
8015,concreteShapes:wedgeNarrowLowRightTrim2SidedRail,2
8017,concreteShapes:wedgeNarrowTipRightTrim2SidedRailEnd,2
8122,concreteShapes:cubeTrimHalfSplit,3
8125,concreteShapes:halfTrimSplit,56
8140,concreteShapes:cubeHalfTrimCornerQuarter2,1
8240,concreteShapes:cubeTrimQuarterCornerInsideTriangle,15
8302,concreteShapes:cubeTrimQuarterEdgeTwoSided,80
8308,concreteShapes:cubeTrimQuarterCornerOutsideTwoSided,4
8345,concreteShapes:cubeTrimQuarterRamp,12
8762,concreteShapes:cornerstone,8
8875,concreteShapes:cubeHalfFloorJoist,10
8953,concreteShapes:cubeTileBroken,7
9032,concreteShapes:farmPlot,14
9033,concreteShapes:farmPlotCornerRound,2
9036,concreteShapes:plateSidewalkBroke01,6
9037,concreteShapes:plateSidewalkBroke02,3
9038,concreteShapes:plateSidewalkBroke03,2
9039,concreteShapes:plateSidewalkBroke04,5
9042,concreteShapes:roadPaintDash,439
9043,concreteShapes:roadPaintDashCNTR,806
9046,concreteShapes:roadPaintDashDiagonalFiller,2
9106,concreteShapes:cubeDrainStraight,3
9112,concreteShapes:cubeDrainCentered,14
9234,steelShapes:cubeHalf,2
9327,steelShapes:polePlate,61
9343,steelShapes:plate,130
9407,steelShapes:billboard,9
11103,steelShapes:scaffoldingLadder,3
11389,steelShapes:plateFacadeTile01,32
11646,awningShapes:billboardHalf,10
12215,awningShapes:plateDiagonalFiller,8
12216,awningShapes:plateDiagonalFillerHalfLeft,1
12217,awningShapes:plateDiagonalFillerHalfRight,1
12305,awningShapes:slopePlate01,8
12306,awningShapes:slopePlate02,8
12309,awningShapes:slopeHalfPlateLeft01,1
12310,awningShapes:slopeHalfPlateLeft02,1
12314,awningShapes:slopeHalfPlateRight01,1
12315,awningShapes:slopeHalfPlateRight02,1
13699,corrugatedMetalShapes:cube,47
13714,corrugatedMetalShapes:cubeHalf,38
13721,corrugatedMetalShapes:cube0.25m,36
13722,corrugatedMetalShapes:cubeCornerBeveled,4
13736,corrugatedMetalShapes:cubeQuarterPlateCorner2,2
13737,corrugatedMetalShapes:cubeQuarter,4
13756,corrugatedMetalShapes:pole,104
13758,corrugatedMetalShapes:poleSideCentered,19
13759,corrugatedMetalShapes:poleHalf,4
13762,corrugatedMetalShapes:poleTwoWayCorner,2
13770,corrugatedMetalShapes:poleSquareCornerBracketLeft,4
13785,corrugatedMetalShapes:cubePoleCorner,12
13807,corrugatedMetalShapes:polePlate,72
13823,corrugatedMetalShapes:plate,279
13834,corrugatedMetalShapes:plateHole,2
13835,corrugatedMetalShapes:plateCorner,12
13853,corrugatedMetalShapes:plateHalf,18
13856,corrugatedMetalShapes:plateQuarter,16
13863,corrugatedMetalShapes:platePole,2
13866,corrugatedMetalShapes:platePoleCornerFiller,14
13867,corrugatedMetalShapes:platePoleCorner,14
13868,corrugatedMetalShapes:platePoleCorner2,1
13875,corrugatedMetalShapes:platePoleCornerCorner,12
13884,corrugatedMetalShapes:billboardQuarter,4
13886,corrugatedMetalShapes:billboardHalf,2
13887,corrugatedMetalShapes:billboard,8
13890,corrugatedMetalShapes:plateDouble,14
13895,corrugatedMetalShapes:pillar100,60
13903,corrugatedMetalShapes:plateQuarterRoundCorner,4
13907,corrugatedMetalShapes:pillar50,36
13909,corrugatedMetalShapes:pillar50Corner,8
13921,corrugatedMetalShapes:pillar50CenterPlate,4
13930,corrugatedMetalShapes:halfBlockPillar50,6
13931,corrugatedMetalShapes:pillar50Plate,9
13934,corrugatedMetalShapes:pillar0.0125Centered,9
13935,corrugatedMetalShapes:pillar0.0125SideCentered,3
13936,corrugatedMetalShapes:pillar0.025,32
13938,corrugatedMetalShapes:pillar0.025Centered,9
13943,corrugatedMetalShapes:pillar0.025InsideCorner,4
13945,corrugatedMetalShapes:pillar0.05,50
13947,corrugatedMetalShapes:pillar0.05Centered,3
13949,corrugatedMetalShapes:pillar0.05Middle,5
13953,corrugatedMetalShapes:pillar0.05OutsideCorner,178
13966,corrugatedMetalShapes:pipeStraight,21
13968,corrugatedMetalShapes:pipeJoint,11
13969,corrugatedMetalShapes:pipeFlange,22
13971,corrugatedMetalShapes:pipeCorner,6
13973,corrugatedMetalShapes:pipeThin,12
13974,corrugatedMetalShapes:pipeThinCornerDown,2
13975,corrugatedMetalShapes:pipeThinCornerUp,2
14127,corrugatedMetalShapes:cornerRound,8
14138,corrugatedMetalShapes:cubeQuarterRoundOutside,8
14139,corrugatedMetalShapes:cubeHalfQuarterRoundOutside,8
14182,corrugatedMetalShapes:wedge60Tip,2
14183,corrugatedMetalShapes:wedge60TipHalf,60
14184,corrugatedMetalShapes:wedge60TipHalfOutsideCorner,20
14194,corrugatedMetalShapes:wedge60Incline,20
14206,corrugatedMetalShapes:wedge60InclineCorner,20
14234,corrugatedMetalShapes:rampInclinePlateLeft,2
14235,corrugatedMetalShapes:rampInclinePlateRight,2
14306,corrugatedMetalShapes:wedgeNarrowLow,8
14390,corrugatedMetalShapes:gable3Quarter,2
14418,corrugatedMetalShapes:pyramidWedge60,5
14608,corrugatedMetalShapes:platePillar0.025,1
14610,corrugatedMetalShapes:cubeHalfPillar0.025,5
14618,corrugatedMetalShapes:pillar50PlatePillar0.025,1
14637,corrugatedMetalShapes:stairs02,2
14639,corrugatedMetalShapes:stairsRailingMetal,3
14702,corrugatedMetalShapes:catwalkV2,1
14703,corrugatedMetalShapes:catwalkV2RailSingle,2
14742,corrugatedMetalShapes:catwalkV2RailOnly,22
14747,corrugatedMetalShapes:catwalkV2RailOnlyCorner,2
14749,corrugatedMetalShapes:catwalkV2RailOnlyBentLeft,1
14750,corrugatedMetalShapes:catwalkV2RailOnlyBentRight,1
14763,corrugatedMetalShapes:railing,48
14765,corrugatedMetalShapes:railingCorner,16
14845,corrugatedMetalShapes:halfTrimSplit,2
14847,corrugatedMetalShapes:halfTrimSplit2,9
14941,corrugatedMetalShapes:cubeHalfTrimQuarterSquare,4
15145,corrugatedMetalShapes:doorTrimCorner,24
15147,corrugatedMetalShapes:doorTrim0.5m,12
15149,corrugatedMetalShapes:doorTrim1m,158
15150,corrugatedMetalShapes:doorTrim1mOffCenter,2
15153,corrugatedMetalShapes:doorTrim1mDouble,2
15157,corrugatedMetalShapes:doorTrimTwoSided,21
15158,corrugatedMetalShapes:doorTrimThreeSided,2
15159,corrugatedMetalShapes:doorTrimSquare,2
15239,corrugatedMetalShapes:windowStoreTwoSidedFull,4
15240,corrugatedMetalShapes:windowStoreThreeSidedFull,6
15254,corrugatedMetalShapes:windowStoreTwoSidedBroken,2
15255,corrugatedMetalShapes:windowStoreThreeSidedBroken,2
15267,corrugatedMetalShapes:windowStoreOneSidedEmpty,6
15333,corrugatedMetalShapes:windowPlateRoundedSquare4SidedHalfWidthFull,7
15368,corrugatedMetalShapes:windowPlateRoundedSquare3SidedEmpty,4
15478,corrugatedMetalShapes:windowPanel,22
15540,corrugatedMetalShapes:plateDestroyed,16
15541,corrugatedMetalShapes:plateDestroyed02,6
15542,corrugatedMetalShapes:plateDestroyed03,8
15583,corrugatedMetalShapes:scaffoldingLadder,33
15601,corrugatedMetalShapes:iBeamSmall,57
15630,corrugatedMetalShapes:airDuctBroken,2
15641,corrugatedMetalShapes:fakeDynamicGrate,1
15646,corrugatedMetalShapes:prepTable,3
15649,corrugatedMetalShapes:prepTableCornerLeft,2
15658,corrugatedMetalShapes:buffetCounter,2
15667,corrugatedMetalShapes:plateCounterSquareHole,3
15677,corrugatedMetalShapes:cubeCornerBeveledBookcaseFull,4
15681,corrugatedMetalShapes:bookcaseEmpty,5
15690,corrugatedMetalShapes:bookcaseOpenEnded,2
15697,corrugatedMetalShapes:storageCubeHalf,2
15711,corrugatedMetalShapes:ladderRound,32
15869,corrugatedMetalShapes:plateFacadeTile01,32
15881,corrugatedMetalShapes:barrierGateMiddle,2
15894,corrugatedMetalShapes:signLetter_a,1
15896,corrugatedMetalShapes:signLetter_c,2
15898,corrugatedMetalShapes:signLetter_e,2
15901,corrugatedMetalShapes:signLetter_h,1
15902,corrugatedMetalShapes:signLetter_i,1
15905,corrugatedMetalShapes:signLetter_l,2
15906,corrugatedMetalShapes:signLetter_m,1
15908,corrugatedMetalShapes:signLetter_o,1
15909,corrugatedMetalShapes:signLetter_p,1
15912,corrugatedMetalShapes:signLetter_s,1
15913,corrugatedMetalShapes:signLetter_t,2
15917,corrugatedMetalShapes:signLetter_x,1
18179,bulletproofShapes:windowStoreOneSidedBulletproofFull,4
18181,bulletproofShapes:windowStoreTwoSidedBulletproofFull,26
18183,bulletproofShapes:windowStoreThreeSidedBulletproofFull,36
18187,bulletproofShapes:windowStoreCornerBulletproofFull,4
18404,cntWeaponsBagSmall,1
18405,cntWeaponsBagLarge,1
18411,cntAmmoPileSmall,3
18412,cntAmmoPileMedium,1
18413,cntAmmoPileLarge,1
18421,cntMedicLootPileA,2
18422,cntMedicLootPileACorner,1
18423,cntMedicLootPileB,1
18429,cntFoodPileSmallCornerRandomHelper,1
18431,cntShippingCrateHero,1
18432,cntShippingCrateShamway,1
18436,cntShippingCrateShotgunMessiah,2
18440,cntShippingCrateConstructionSupplies,3
18459,cntHardenedChestSecureT5,1
18477,cntQuestInfestedT5LootHelper,1
18488,cntWoodenChestMilitaryClosed,1
18489,cntWoodenChestMilitaryOpen,2
18490,cntWoodenChestMilitaryRandomLootHelper,2
18533,cntCabinetBottomRandomLootHelper,2
18539,cntCounterHollowCabinetRandomLootHelper,2
18541,cntCupboardCabinetRedTopLootHelper,6
18545,cntCupboardCabinetFullRedTopClosed,1
18563,cntCounterHollowCabinetTaupeRandomLootHelper,4
18564,utilitySink,4
18565,sinkKitchen,7
18567,wallMountSinkCommercial,4
18568,counterMountedSinkCommercial,6
18575,showerHead02,9
18583,cntToilet03,8
18584,urinalCommercialMounted,7
18586,drinkingfountainDouble,1
18587,bathroomStallDoor,9
18588,bathroomStallWall,19
18589,bathroomStallSupport,6
18590,bathroomStallSupportRight,1
18591,bathroomStallSupportLeft,1
18592,bathroomStallSCTRBeam,8
18593,bathroomStallCTRBeam,13
18602,wallMirrorRandomHelper,2
18603,cntPillCaseEmpty,1
18604,cntPillCaseClosed,1
18605,cntPillCaseRandomLootHelper,2
18635,laundryCartRandomHelper,3
18638,laundryLoose,9
18639,cntTrashPile01,6
18640,cntTrashPile02,1
18641,cntTrashPile03,4
18642,cntTrashPile04,6
