id,name,count
2,terrainFiller,111
16,terrGravel,186
17,terrAsphalt,864
259,woodShapes:cube,258
262,woodShapes:cubeThreeQuarter,2
274,woodShapes:cubeHalf,111
291,woodShapes:cubeQuarter,4
368,woodShapes:cubeQuarterCenteredSquareTop,3
375,woodShapes:plate,154
475,woodShapes:pillar50CenteredSquareTop,1
694,woodShapes:ramp,128
701,woodShapes:rampInsideCornerFull,2
709,woodShapes:rampOutsideCornerFull,2
775,woodShapes:rampInclineHalfLeft,19
776,woodShapes:rampInclineHalfRight,19
842,woodShapes:wedgeNarrowHigh,4
843,woodShapes:wedgeNarrowMid,4
844,woodShapes:wedgeNarrowLow,4
845,woodShapes:wedgeNarrowTip,4
846,woodShapes:cubeNarrowPyramidBase,1
847,woodShapes:wedgeNarrowHighCorner,4
848,woodShapes:wedgeNarrowMidCorner,4
849,woodShapes:wedgeNarrowLowCorner,4
850,woodShapes:wedgeNarrowTipCorner,4
903,woodShapes:wedgeTipHalf,22
925,woodShapes:gableHalf,3
942,woodShapes:gableInvertedHalfHalfOffset,16
943,woodShapes:gableInvertedHalfQuarterOffset,3
969,woodShapes:cubeQuarterCenteredPyramid,1
976,woodShapes:rampIncline,203
977,woodShapes:rampInclineFiller,203
978,woodShapes:rampInclineFillerHalfLeft,16
979,woodShapes:rampInclineFillerHalfRight,16
1142,woodShapes:stairsWinder,2
1172,woodShapes:wedgeTipStairs,4
1492,woodShapes:cubeTrimHalfSplitDiagonal,6
1571,woodShapes:cubeHeatVent,2
1941,woodShapes:plateDiagonalDestroyed,1
1944,woodShapes:plateDiagonalDestroyed04,3
1946,woodShapes:plateDiagonalDestroyed06,1
1947,woodShapes:plateWedge60InclineDestroyed,1
6433,concreteShapes:cube,1141
6435,concreteShapes:cubeHalfInsideCorner,1
6442,concreteShapes:cubeHalfCorner,3
6448,concreteShapes:cubeHalf,98
6450,concreteShapes:cube0.25m,20
6549,concreteShapes:plate,5
6621,concreteShapes:pillar100,2
6852,concreteShapes:plateRound,10
7310,concreteShapes:stairsFilledQuarterVerticalUV,16
7447,concreteShapes:cubeBaseboard,3
7502,concreteShapes:cubeTrimHalfSplit4Sided,2
7503,concreteShapes:cubeTrimHalfSplit,31
7683,concreteShapes:cubeTrimQuarterEdgeTwoSided,64
7695,concreteShapes:cubeTrimQuarterEdgeDouble,11
7700,concreteShapes:cubeTrimCornerRound,2
7704,concreteShapes:cubeTrimQuarterEdgeRound,2
8325,concreteShapes:plateSidewalkCrooked,106
8326,concreteShapes:plateSidewalkBroke01,9
8327,concreteShapes:plateSidewalkBroke02,8
8328,concreteShapes:plateSidewalkBroke03,10
8333,concreteShapes:roadPaintDashCNTR,60
8506,steelShapes:cubeHalf,2
8542,steelShapes:pole,52
8607,steelShapes:plate,13
8691,steelShapes:pillar50,8
12607,corrugatedMetalShapes:cube,47
12622,corrugatedMetalShapes:cubeHalf,41
12625,corrugatedMetalShapes:cubeCornerBeveled,4
12723,corrugatedMetalShapes:plate,4
12833,corrugatedMetalShapes:pillar0.0125Centered,1
13035,corrugatedMetalShapes:cubeQuarterRoundOutside,2
13077,corrugatedMetalShapes:wedge60Tip,4
13475,corrugatedMetalShapes:pillar50Platepillar0.0125,1
13476,corrugatedMetalShapes:pillar50PlatePillar0.025,1
13605,corrugatedMetalShapes:ladderRails,1
13958,corrugatedMetalShapes:crownStraight,36
13962,corrugatedMetalShapes:crownInsideCorner,4
13976,corrugatedMetalShapes:doorTrim1m,30
13980,corrugatedMetalShapes:doorTrim1mDouble,3
13983,corrugatedMetalShapes:doorTrimTop,14
14026,corrugatedMetalShapes:windowStoreTwoSidedFull,1
14027,corrugatedMetalShapes:windowStoreThreeSidedFull,14
14363,corrugatedMetalShapes:bracketDouble,1
14389,corrugatedMetalShapes:tableDynamic,2
14392,corrugatedMetalShapes:prepTableDynamic,2
14456,corrugatedMetalShapes:ladderRound,5
14496,corrugatedMetalShapes:farmPlot,2
14620,corrugatedMetalShapes:signLetter_a,5
14624,corrugatedMetalShapes:signLetter_e,5
14625,corrugatedMetalShapes:signLetter_f,2
14626,corrugatedMetalShapes:signLetter_g,3
14628,corrugatedMetalShapes:signLetter_i,3
14631,corrugatedMetalShapes:signLetter_l,2
14632,corrugatedMetalShapes:signLetter_m,3
14633,corrugatedMetalShapes:signLetter_n,5
14634,corrugatedMetalShapes:signLetter_o,3
14637,corrugatedMetalShapes:signLetter_r,2
14640,corrugatedMetalShapes:signLetter_u,2
16912,cntAmmoPileSmall,1
16919,cntChemPileSmall,1
16921,cntChemPileLarge,1
16922,cntMedicLootPileA,1
16954,cntLootChestHeroInsecureT1,1
16973,cntQuestInfestedT1LootHelper,1
17040,cntCabinetBottomFiller,10
17077,wallMountSinkCommercial,1
17094,cntToilet03,1
17112,wallMirrorBroken,1
17160,garbage_decor1,5
17161,garbage_decor2,5
17162,garbage_decor3,3
17180,cntBinTrashMetalWhiteRandomLootHelper,1
17215,cntFancyGarbageCan,2
17221,cntDomedTrashCanCornerRandomLootHelper,2
17225,cntDumpster,1
17303,cntBagsRandomLootHelper,1
17316,airConditioner,1
17428,commercialSingleMeter,1
17432,conduit01,5
17434,conduit01Curve,1
