id,name,count
2,terrainFiller,9921
16,terrGravel,411
259,woodShapes:cube,245
268,woodShapes:cubeHalfCorner,4
274,woodShapes:cubeHalf,60
297,woodShapes:cubeQuarter,4
298,woodShapes:cubeQuarterCenter,1
316,woodShapes:pole,147
322,woodShapes:poleTwoWayCorner,2
341,woodShapes:poleSquareDouble,10
372,woodShapes:polePlateCenteredTee,2
376,woodShapes:cubeQuarterCenteredSquareTop,2
383,woodShapes:plate,72
427,woodShapes:platePoleCorner,2
435,woodShapes:platePoleCornerCorner,2
1194,woodShapes:stairs,2
1246,woodShapes:catwalkV1,22
1352,woodShapes:cubeQuarterBaseboard4SidedCentered,1
1353,woodShapes:cubeBaseboardChairRail,20
1354,woodShapes:cubeBaseboardChairRail2Sided,2
1360,woodShapes:halfChairRail,1
1364,woodShapes:cubeHalfBaseboardChairRail3Sided,5
1714,woodShapes:windowTrim,7
2021,woodShapes:windowBoarded,24
2142,woodShapes:sawhorse,1
2202,woodShapes:counterFlipDoorOpen,1
2276,woodShapes:fence,20
2279,woodShapes:fenceBroken1,3
2280,woodShapes:fenceBroken2,3
6925,concreteShapes:cube,145
6940,concreteShapes:cubeHalf,12
7121,concreteShapes:pillar100,1
8162,concreteShapes:cubeTrimQuarterCornerInside,3
8237,concreteShapes:cubeTrimQuarterEdgeTwoSided,17
8243,concreteShapes:cubeTrimQuarterCornerOutsideTwoSided,1
8252,concreteShapes:cubeTrimQuarterEdgeDouble,8
8257,concreteShapes:cubeTrimCornerRound,2
8261,concreteShapes:cubeTrimQuarterEdgeRound,2
13591,corrugatedMetalShapes:cube,5
13715,corrugatedMetalShapes:plate,39
13799,corrugatedMetalShapes:pillar50,11
13813,corrugatedMetalShapes:pillar50CenterPlate,2
13828,corrugatedMetalShapes:pillar0.025,17
13832,corrugatedMetalShapes:pillar0.025Middle,3
14071,corrugatedMetalShapes:wedge60,4
14259,corrugatedMetalShapes:plateWedgeTip,6
14261,corrugatedMetalShapes:plateWedgeTipCap,2
14262,corrugatedMetalShapes:plateWallRoof,12
14263,corrugatedMetalShapes:plateWallRoofLeft,2
14264,corrugatedMetalShapes:plateWallRoofRight,2
14265,corrugatedMetalShapes:plateDiagonalFillerWallDouble,2
14342,corrugatedMetalShapes:plateDiagonal,20
14345,corrugatedMetalShapes:plateDiagonalFiller,10
14350,corrugatedMetalShapes:plateDiagonalFillerWallLeft,4
14351,corrugatedMetalShapes:plateDiagonalFillerWallRight,4
14352,corrugatedMetalShapes:plateDiagonalWallLeft,4
14353,corrugatedMetalShapes:plateDiagonalWallRight,4
15030,corrugatedMetalShapes:doorTrim1m,4
15123,corrugatedMetalShapes:windowStoreCornerFull,4
15136,corrugatedMetalShapes:windowStoreThreeSidedBroken,2
15137,corrugatedMetalShapes:windowStoreFourSidedBroken,1
15138,corrugatedMetalShapes:windowStoreCornerBroken,8
15421,corrugatedMetalShapes:plateDestroyed,1
15422,corrugatedMetalShapes:plateDestroyed02,1
15423,corrugatedMetalShapes:plateDestroyed03,5
15424,corrugatedMetalShapes:plateDiagonalDestroyed,1
15426,corrugatedMetalShapes:plateDiagonalDestroyed03,1
15427,corrugatedMetalShapes:plateDiagonalDestroyed04,1
15429,corrugatedMetalShapes:plateDiagonalDestroyed06,1
15768,corrugatedMetalShapes:signLetter_a,1
15774,corrugatedMetalShapes:signLetter_g,1
15786,corrugatedMetalShapes:signLetter_s,1
18175,cntWallSafeRandomLootHelper,1
18267,cntAmmoPileSmall,1
18291,cntShippingCrateCarParts,2
18309,cntLootChestHeroInsecureT1,1
18329,cntQuestInfestedT1LootHelper,1
18388,cntCabinetBottomFiller,4
18403,cntCabinetOldBottomLootHelper,2
18409,cntCounterHollowCabinetOldRandomLootHelper,1
18411,cntCupboardCabinetOldTopLootHelper,1
18421,sinkKitchen,1
18496,cntTrashPile02,2
18497,cntTrashPile03,2
18501,cntTrashPile07,1
18504,garbage_decor1,4
18505,garbage_decor2,2
18506,garbage_decor3,1
18512,glassBrokenCapRight,1
18589,cntDumpster,1
18602,cntTiltTruckRandomLootHelper,1
18680,electricalBox01,1
18689,airConditioner,1
18710,controlPanelTop07,1
18796,residentialSingleMeterDisconnect,1
18960,cntSodaFountain,1
18965,wallClockRandomLootHelper,1
19019,lightWallGooseneckBlack,2
19048,fluorescentLight,1
19049,fluorescentLightBayIntact,4
19067,lightIndustrialRed,2
19815,cntBarrelGasOld,1
19838,hubCapsHanging,3
19839,hubCapsHanging2,4
19861,decoCarTireSmallFlat,2
19942,cinderBlocks02,1
19975,palletBrownBoxesTopSmall,1
19976,palletBrownBoxesLoose,1
20036,palletEmpty,1
20253,cntCollapsedWorkbench,1
20293,ironDoorBrown,1
20508,commercialGlassDoor,1
20538,commercialDoorV2Red,1
20639,ironGarageDoorBrown,1
20728,steelGarageDoor3x3Grey,1
20830,ironHatchGrey,1
21471,cntDeskMetalGreyRandomLootHelper,1
21752,decoClassicDogHouse,1
21924,cntRollingToolBoxRandomLootHelperRed,1
21977,decoMetalBollard,4
22017,cntIceMachine,1
22047,cntFreezerBeveragesMiddleRandomLootHelper,2
22048,cntFreezerBeveragesLeftEmptyClosed,1
22052,cntFreezerBeveragesRightEmptyClosedBroken,1
