id,name,count
2,terrainFiller,10686
16,terrGravel,400
17,terrAsphalt,408
3941,brickShapes:brickDestroyed01,16
6549,concreteShapes:plate,175
6621,concreteShapes:pillar100,4
6853,concreteShapes:plateRound,4
8325,concreteShapes:plateSidewalkCrooked,86
8326,concreteShapes:plateSidewalkBroke01,62
8327,concreteShapes:plateSidewalkBroke02,40
8328,concreteShapes:plateSidewalkBroke03,15
8329,concreteShapes:plateSidewalkBroke04,18
12787,corrugatedMetalShapes:billboard,36
12807,corrugatedMetalShapes:pillar50,36
17154,garbage_decor1,5
17155,garbage_decor2,5
17156,garbage_decor3,5
17163,scrapMetalPile,52
17786,streetLight01,4
18450,cinderBlocks01,28
18451,cinderBlocks02,24
18452,cinderBlocks03,79
18493,palletBricksLoose,8
21280,signRoadStop,4
