id,name,count
2,terrainFiller,4045
16,terrGravel,127
17,terrAsphalt,129
3941,brickShapes:brickDestroyed01,4
6549,concreteShapes:plate,42
6621,concreteShapes:pillar100,2
6853,concreteShapes:plateRound,2
8325,concreteShapes:plateSidewalkCrooked,31
8326,concreteShapes:plateSidewalkBroke01,21
8327,concreteShapes:plateSidewalkBroke02,13
8328,concreteShapes:plateSidewalkBroke03,9
8329,concreteShapes:plateSidewalkBroke04,9
12787,corrugatedMetalShapes:billboard,12
12807,corrugatedMetalShapes:pillar50,18
17154,garbage_decor1,3
17155,garbage_decor2,2
17156,garbage_decor3,2
17163,scrapMetalPile,8
17786,streetLight01,2
18450,cinderBlocks01,6
18451,cinderBlocks02,6
18452,cinderBlocks03,8
18493,palletBricksLoose,4
21280,signRoadStop,2
