id,name,count
6621,concreteShapes:pillar100,4
12607,corrugatedMetalShapes:cube,45
12807,corrugatedMetalShapes:pillar50,46
14620,corrugatedMetalShapes:signLetter_a,2
14624,corrugatedMetalShapes:signLetter_e,2
14626,corrugatedMetalShapes:signLetter_g,1
14627,corrugatedMetalShapes:signLetter_h,1
14630,corrugatedMetalShapes:signLetter_k,1
14633,corrugatedMetalShapes:signLetter_n,2
14634,corrugatedMetalShapes:signLetter_o,2
14637,corrugatedMetalShapes:signLetter_r,1
14638,corrugatedMetalShapes:signLetter_s,1
14639,corrugatedMetalShapes:signLetter_t,2
14640,corrugatedMetalShapes:signLetter_u,1
14641,corrugatedMetalShapes:signLetter_v,1
14642,corrugatedMetalShapes:signLetter_w,1
14644,corrugatedMetalShapes:signLetter_y,1
21060,metalPipeCorner,2
21061,metalPipeJoint,4
21063,metalPipeFlange,2
