id,name,count
2,terrainFiller,51238
14,terrDestroyedStone,1
16,terrGravel,898
17,terrAsphalt,4138
29,terrStoneHelper,658
259,woodShapes:cube,130
274,woodShapes:cubeHalf,99
297,woodShapes:cubeQuarter,8
376,woodShapes:cubeQuarterCenteredSquareTop,15
383,woodShapes:plate,573
413,woodShapes:plateHalf,8
418,woodShapes:plateHalfTriangle,5
427,woodShapes:platePoleCorner,22
429,woodShapes:poleTwoWayPlate,4
700,woodShapes:cubeHalfQuarterRoundOutside,4
1351,woodShapes:cubeBaseboard4Sided,3
1370,woodShapes:cubeBaseboardChairRail,32
1373,woodShapes:cubeBaseboardChairRail4Sided,35
1380,woodShapes:halfChairRail,3
1384,woodShapes:cubeHalfBaseboardChairRail3Sided,1
1385,woodShapes:halfChairRail4Sided,18
1390,woodShapes:rampBaseboard,5
1391,woodShapes:rampBaseboardChairRail,4
1693,woodShapes:halfCrown2,1
1711,woodShapes:crown,414
1712,woodShapes:crownStraight,85
1713,woodShapes:crownEnd,1
1716,woodShapes:crownInsideCorner,140
1717,woodShapes:crownInsideCornerHalfLeft,1
1718,woodShapes:crownInsideCornerHalfRight,1
1730,woodShapes:doorTrim1m,1
1736,woodShapes:doorTrim2m,4
1737,woodShapes:doorTrimTop,2
2058,woodShapes:windowCentered,28
2059,woodShapes:windowPanel,6
2226,woodShapes:coffeeTable,4
2227,woodShapes:table,4
2228,woodShapes:tableDynamic,8
2247,woodShapes:counterHollowCombo,2
2248,woodShapes:plateCounter,8
2252,woodShapes:plateCounterHole,12
2268,woodShapes:bookcaseHalfEmpty,1
2270,woodShapes:bookcaseQuarterEmpty,2
7051,concreteShapes:cube,17091
7053,concreteShapes:cubeHalfInsideCorner,17
7054,concreteShapes:cubeThreeQuarter,50
7060,concreteShapes:cubeHalfCorner,186
7066,concreteShapes:cubeHalf,1798
7074,concreteShapes:cubeCornerBeveled,61
7082,concreteShapes:cubeHalfCornerBeveled,1
7083,concreteShapes:halfBlockPoleQuarter,2
7089,concreteShapes:cubeQuarter,70
7090,concreteShapes:cubeQuarterCenter,34
7154,concreteShapes:polePlateHalf,4
7171,concreteShapes:cubeHalfPlateCorner,3
7172,concreteShapes:cubeHalfPlateCorner2,2
7175,concreteShapes:plate,344
7210,concreteShapes:plateHalfTriangle,2
7212,concreteShapes:plateQuarterTriangleCorner,3
7260,concreteShapes:pillar50,21
7482,concreteShapes:plateRound,2
7498,concreteShapes:ramp,838
7534,concreteShapes:wedge60,2
7535,concreteShapes:wedge60Tip,2
7617,concreteShapes:wedge60SplitLeft02,2
7618,concreteShapes:wedge60SplitRight02,2
7663,concreteShapes:wedgeNarrowHigh,146
7664,concreteShapes:wedgeNarrowMid,101
7665,concreteShapes:wedgeNarrowLow,86
7666,concreteShapes:wedgeNarrowTip,134
7795,concreteShapes:halfRampStairs50,52
7796,concreteShapes:halfRampStairs50Filler,8
7798,concreteShapes:rampInclineFiller,169
7823,concreteShapes:plateRamp,5
7969,concreteShapes:cubeHalfPillar0.025,25
7985,concreteShapes:stairsFilledQuarterVerticalUV,19
7986,concreteShapes:stairsFilledVerticalUV,2
8007,concreteShapes:stairsHollow,51
8008,concreteShapes:stairsHollowRailingLeft,2
8010,concreteShapes:stairsHollowRailingMetalLeft,10
8011,concreteShapes:stairsHollowRailingMetalRight,39
8023,concreteShapes:wedgeTipStairs,9
8026,concreteShapes:wedgeTipStairsOutsideCorner,2
8032,concreteShapes:wedgeStairs,9
8050,concreteShapes:stairsHollowRailingMetalFillerLeft,10
8051,concreteShapes:stairsHollowRailingMetalFillerRight,37
8088,concreteShapes:wedgeNarrowHighLeftTrim2SidedRailEnd,4
8089,concreteShapes:wedgeNarrowMidLeftTrim2SidedRail,4
8090,concreteShapes:wedgeNarrowLowLeftTrim2SidedRail,4
8092,concreteShapes:wedgeNarrowTipLeftTrim2SidedRailEnd,4
8094,concreteShapes:wedgeNarrowHighRightTrim2SidedRailEnd,3
8095,concreteShapes:wedgeNarrowMidRightTrim2SidedRail,3
8096,concreteShapes:wedgeNarrowLowRightTrim2SidedRail,3
8098,concreteShapes:wedgeNarrowTipRightTrim2SidedRailEnd,3
8137,concreteShapes:cubeBaseboard,19
8140,concreteShapes:cubeBaseboardCorner2Sided,4
8152,concreteShapes:halfBaseboard,37
8157,concreteShapes:halfBaseboard4Sided,5
8162,concreteShapes:cubeBaseboardChairRail,743
8163,concreteShapes:cubeBaseboardChairRail2Sided,16
8164,concreteShapes:cubeBaseboardChairRail3Sided,6
8165,concreteShapes:cubeBaseboardChairRail4Sided,313
8166,concreteShapes:halfCornerChairRail,1
8167,concreteShapes:halfCornerChairRail2Sided,4
8168,concreteShapes:halfCornerChairRail4Sided,4
8169,concreteShapes:halfCornerChairRailOutside,1
8170,concreteShapes:halfCornerChairRailOutsideLeft,1
8171,concreteShapes:halfCornerChairRailOutsideRight,1
8172,concreteShapes:halfChairRail,18
