id,name,count
1,terrStone,20
2,terrainFiller,76675
16,terrGravel,78
17,terrAsphalt,2890
259,woodShapes:cube,441
262,woodShapes:cubeThreeQuarter,12
268,woodShapes:cubeHalfCorner,11
274,woodShapes:cubeHalf,146
275,woodShapes:cubeHalfCentered,36
281,woodShapes:cube0.25m,12
295,woodShapes:cubeQuarterPlateCorner,5
297,woodShapes:cubeQuarter,152
302,woodShapes:quarterInsideCorner,11
311,woodShapes:cubeEighth,5
316,woodShapes:pole,129
318,woodShapes:poleSideCentered,5
319,woodShapes:poleHalf,9
322,woodShapes:poleTwoWayCorner,12
333,woodShapes:poleSquareBracketCorner,6
341,woodShapes:poleSquareDouble,3
345,woodShapes:cubePoleCorner,1
361,woodShapes:polePlateQuarter,8
362,woodShapes:polePlateHalf,143
364,woodShapes:polePlateHalfOffCentered,20
367,woodShapes:polePlate,27
371,woodShapes:polePlateHalfCorner,34
383,woodShapes:plate,101
385,woodShapes:plateOffCentered,9
387,woodShapes:plateCladding02,4
388,woodShapes:plateCladding03,2
389,woodShapes:plateCladding04,5
395,woodShapes:plateCorner,6
413,woodShapes:plateHalf,136
415,woodShapes:plateHalfOffCentered,8
416,woodShapes:plateQuarter,4
417,woodShapes:plateCornerBeveled,2
418,woodShapes:plateHalfTriangle,9
419,woodShapes:plateQuarterTriangle,1
420,woodShapes:plateQuarterTriangleCorner,4
427,woodShapes:platePoleCorner,63
429,woodShapes:poleTwoWayPlate,21
444,woodShapes:billboardQuarter,3
445,woodShapes:billboardQuarterTrim,2
447,woodShapes:billboard,6
453,woodShapes:plateHalfDouble,1
463,woodShapes:plateQuarterRoundCorner,6
467,woodShapes:pillar50,24
484,woodShapes:pillar50CenteredSquareTop,12
485,woodShapes:pillar50CenteredSquareBottom,10
500,woodShapes:pillar0.025Middle,4
610,woodShapes:cube5mRoundCatwalkFiller01,2
611,woodShapes:cube5mRoundCatwalkFiller02,2
612,woodShapes:cube5mRoundCatwalkFiller03,4
613,woodShapes:cube5mRoundCatwalkFiller04,2
689,woodShapes:plateRound,2
690,woodShapes:plateHalfCornerRoundLeft,8
691,woodShapes:plateHalfCornerRoundRight,9
697,woodShapes:plateQuarterRoundInside,8
741,woodShapes:wedge60,284
742,woodShapes:wedge60Tip,248
743,woodShapes:wedge60TipHalf,345
744,woodShapes:wedge60TipHalfOutsideCorner,32
745,woodShapes:wedge60TipHalfInsideCorner,6
748,woodShapes:wedge60Corner,36
749,woodShapes:wedge60TipCorner,28
750,woodShapes:wedge60InsideCorner2,8
751,woodShapes:wedge60InsideCorner,15
754,woodShapes:wedge60Incline,12
766,woodShapes:wedge60InclineCorner,8
795,woodShapes:rampInclinePlateRight,3
848,woodShapes:wedge60InclineHalfLeft,1
849,woodShapes:wedge60InclineHalfRight,1
852,woodShapes:wedge60TipHalfLeft,2
853,woodShapes:wedge60TipHalfRight,2
1012,woodShapes:plateDiagonal,4
1015,woodShapes:plateDiagonalFiller,3
1034,woodShapes:plateWedge60RightTip,4
1038,woodShapes:plateWedge60HalfOffset,23
1039,woodShapes:plateWedge60HalfLeftOffset,1
1040,woodShapes:plateWedge60HalfRightOffset,1
1042,woodShapes:plateWedge60RightHollow,2
1047,woodShapes:plateWedge60Tip,24
1048,woodShapes:plateWedge60TipHalfLeft,5
1049,woodShapes:plateWedge60TipHalfRight,5
1054,woodShapes:plateWedge60Incline,29
1055,woodShapes:plateWedge60InclineHalfLeft,1
1056,woodShapes:plateWedge60InclineHalfRight,1
1075,woodShapes:plateWedge60InclineOutsideCorner,8
1076,woodShapes:plateWedge60TipInsideCorner,4
1077,woodShapes:plateWedge60InclineInsideCorner,4
1105,woodShapes:slopePlate01,34
1106,woodShapes:slopePlate02,5
1170,woodShapes:cubeHalfPillar0.025,2
1248,woodShapes:railingFloatRight,5
1323,woodShapes:railing,6
1326,woodShapes:railingBroke01,2
1336,woodShapes:cubeBaseboard,60
1382,woodShapes:rampBaseboardChairRail,1
1384,woodShapes:rampBaseboardChairRail3Sided,3
1393,woodShapes:counterBottomFiller,1
1394,woodShapes:counterRound1m,5
1472,woodShapes:cubeTrimQuarterEdge,6
1661,woodShapes:plateTrimSplitInside,2
1663,woodShapes:plateQuarterCornerTrimLeftInside,2
1690,woodShapes:crown,10
1691,woodShapes:crownStraight,136
1695,woodShapes:crownInsideCorner,48
1696,woodShapes:crownInsideCornerHalfLeft,4
1697,woodShapes:crownInsideCornerHalfRight,4
1708,woodShapes:doorTrim0.6m,36
1709,woodShapes:doorTrim1m,24
1710,woodShapes:doorTrim1mOffCenter,36
1713,woodShapes:doorTrim1mDouble,8
1716,woodShapes:doorTrimTop,2
1717,woodShapes:doorTrimTwoSided,4
1718,woodShapes:doorTrimThreeSided,4
1725,woodShapes:windowTrim,24
1727,woodShapes:windowTrimSides,20
1736,woodShapes:archWindowTrim,2
1737,woodShapes:archDoorTrim,4
1798,woodShapes:windowStoreOneSidedFull,5
1799,woodShapes:windowStoreTwoSidedFull,2
1800,woodShapes:windowStoreThreeSidedFull,10
1801,woodShapes:windowStoreFourSidedFull,2
1802,woodShapes:windowStoreCornerFull,4
1813,woodShapes:windowStoreOneSidedBroken,6
1814,woodShapes:windowStoreTwoSidedBroken,2
1815,woodShapes:windowStoreThreeSidedBroken,2
1817,woodShapes:windowStoreCornerBroken,4
1827,woodShapes:windowStoreOneSidedEmpty,1
1979,woodShapes:windowIndustrial02Empty,2
2032,woodShapes:windowBoarded,12
2038,woodShapes:windowPanel,9
2100,woodShapes:plateDestroyed,1
2103,woodShapes:plateDiagonalDestroyed,1
2159,woodShapes:wallStud,9
2160,woodShapes:wallStudBroken,2
2199,woodShapes:securityGatePlate,40
2200,woodShapes:dynamicGrate,5
2202,woodShapes:coffeeTable,3
2203,woodShapes:table,7
2204,woodShapes:tableDynamic,6
2205,woodShapes:tableDynamicHalf,5
2209,woodShapes:prepTableCornerLeft,2
2222,woodShapes:counterHollowFront,4
2223,woodShapes:counterHollowCombo,4
2225,woodShapes:plateCounter02,6
2226,woodShapes:plateCounter03,6
2235,woodShapes:cubeBookcase,6
2244,woodShapes:bookcaseHalfEmpty,34
2246,woodShapes:bookcaseQuarterEmpty,2
2248,woodShapes:bookcaseQuarterDoubleEmpty,17
2250,woodShapes:bookcaseOpenEnded,4
2252,woodShapes:tvStand02,35
2269,woodShapes:mirror,2
2270,woodShapes:mirrorRound,20
2278,woodShapes:trellisSquare,33
2279,woodShapes:trellisDiamond,99
2281,woodShapes:kneeler,1
2293,woodShapes:fenceCentered,16
2312,woodShapes:farmPlot,2
2314,woodShapes:farmPlotRaised,3
2387,woodShapes:cubeDrainStraightEnd,1
2389,woodShapes:cubeDrainEndCap,1
2499,brickShapes:cube,62
2514,brickShapes:cubeHalf,34
2556,brickShapes:pole,603
2559,brickShapes:poleHalf,3
2562,brickShapes:poleTwoWayCorner,33
2581,brickShapes:poleSquareDouble,24
2585,brickShapes:cubePoleCorner,32
2602,brickShapes:polePlateHalf,41
2607,brickShapes:polePlate,1
2805,brickShapes:cube5mArch02,8
2806,brickShapes:cube5mArch03,6
2808,brickShapes:cube5mArch05,8
2981,brickShapes:wedge60,32
2988,brickShapes:wedge60Corner,4
3596,brickShapes:halfBaseboard4Sided,28
3599,brickShapes:cubeQuarterBaseboard4Sided,2
3647,brickShapes:halfTrimSplit2,4
3945,brickShapes:doorTrimCorner,4
3949,brickShapes:doorTrim1m,114
3956,brickShapes:doorTrimTop,22
3974,brickShapes:windowTrimTopRound,6
4398,brickShapes:cubeHollowFloor,4
4464,brickShapes:plateCounter,4
4468,brickShapes:plateCounterHole,8
4470,brickShapes:counterWallMount,17
4471,brickShapes:counterWallMountRound,19
6979,concreteShapes:cube,18019
6981,concreteShapes:cubeHalfInsideCorner,6
6982,concreteShapes:cubeThreeQuarter,320
6983,concreteShapes:cube1mHole,2
6988,concreteShapes:cubeHalfCorner,54
6994,concreteShapes:cubeHalf,1305
6995,concreteShapes:cubeHalfCentered,4
7001,concreteShapes:cube0.25m,43
7002,concreteShapes:cubeCornerBeveled,60
7009,concreteShapes:cubeHalfCornerArch,2
7013,concreteShapes:halfQuarterPost,3
7015,concreteShapes:cubeQuarterPlateCorner,5
7017,concreteShapes:cubeQuarter,136
7022,concreteShapes:quarterInsideCorner,1
7031,concreteShapes:cubeEighth,6
7033,concreteShapes:cubeHalfPoleCorner,6
7034,concreteShapes:cubeHalfPoleSideCentered,2
7036,concreteShapes:pole,63
7038,concreteShapes:poleSideCentered,1
7039,concreteShapes:poleHalf,5
7043,concreteShapes:poleThreeWayCorner,2
7065,concreteShapes:cubePoleCorner,4
7080,concreteShapes:catwalkPlate,46
7081,concreteShapes:polePlateQuarter,2
7082,concreteShapes:polePlateHalf,98
7087,concreteShapes:polePlate,323
7089,concreteShapes:polePlateOffCentered,33
7090,concreteShapes:polePlateCorner,7
7091,concreteShapes:polePlateHalfCorner,2
7099,concreteShapes:cubeHalfPlateCorner,150
7100,concreteShapes:cubeHalfPlateCorner2,11
7103,concreteShapes:plate,98
7114,concreteShapes:plateHole,1
7115,concreteShapes:plateCorner,5
7118,concreteShapes:plateCornerHalf,4
7133,concreteShapes:plateHalf,106
7137,concreteShapes:plateCornerBeveled,10
7138,concreteShapes:plateHalfTriangle,1
7140,concreteShapes:plateQuarterTriangleCorner,11
7165,concreteShapes:billboardQuarterTrim,3
7166,concreteShapes:billboardHalf,1
7167,concreteShapes:billboard,4
7172,concreteShapes:plateDouble3,11
7175,concreteShapes:pillar100,30
7180,concreteShapes:halfPillar1mHalf,1
7182,concreteShapes:quarterPillar1m,51
7188,concreteShapes:halfPillar50,8
7189,concreteShapes:pillar50Corner,12
7193,concreteShapes:logsWall01,6
7195,concreteShapes:logsHalf,15
7206,concreteShapes:pillar50CornerSquareTop,6
7207,concreteShapes:pillar50CornerSquareBottom,6
7208,concreteShapes:cubeHalfTopPole1mBottom,3
7265,concreteShapes:3mTubeCenter,1
7266,concreteShapes:3mTubeCorner,2
7275,concreteShapes:3mTunnelInsideCenter,4
7279,concreteShapes:cube3mCenterStraightLeft,6
7280,concreteShapes:cube3mCenterStraightRight,6
7281,concreteShapes:cube3mCorner,10
7282,concreteShapes:cubeHalf3mCenter,3
7283,concreteShapes:cubeHalf3mCorner,6
7330,concreteShapes:cube5mRoundCatwalkFiller01,1
7331,concreteShapes:cube5mRoundCatwalkFiller02,1
7332,concreteShapes:cube5mRoundCatwalkFiller03,2
7333,concreteShapes:cube5mRoundCatwalkFiller04,1
7382,concreteShapes:arch,13
7383,concreteShapes:arch2,8
7407,concreteShapes:cornerRound,27
7408,concreteShapes:cubeHalfCornerRound1m,2
7416,concreteShapes:cubeHalfQuarterRoundInside,32
7418,concreteShapes:cubeQuarterRoundOutside,21
7419,concreteShapes:cubeHalfQuarterRoundOutside,2
7425,concreteShapes:ramp,51
7426,concreteShapes:cubeHalfRamp,4
7427,concreteShapes:cubeHalfRampTip,5
7461,concreteShapes:wedge60,8
7462,concreteShapes:wedge60Tip,12
7512,concreteShapes:rampInclineHalfLeft,4
7566,concreteShapes:cubeHalfWedge60BevelLeft,10
7567,concreteShapes:cubeHalfWedge60BevelRight,5
7572,concreteShapes:wedge60TipHalfLeft,11
7573,concreteShapes:wedge60TipHalfRight,6
7584,concreteShapes:wedgeNarrowHigh,12
7585,concreteShapes:wedgeNarrowMid,12
7586,concreteShapes:wedgeNarrowLow,20
7587,concreteShapes:wedgeNarrowTip,16
7717,concreteShapes:halfRampStairs50Filler,4
