id,name,count
2,terrainFiller,14252
5,terrDirt,34
14,terrDestroyedStone,141
16,terrGravel,313
17,terrAsphalt,618
259,woodShapes:cube,402
268,woodShapes:cubeHalfCorner,17
274,woodShapes:cubeHalf,198
376,woodShapes:cubeQuarterCenteredSquareTop,7
383,woodShapes:plate,264
389,woodShapes:plateCladding04,160
412,woodShapes:plateThreeQuarter,32
413,woodShapes:plateHalf,18
447,woodShapes:billboard,3
455,woodShapes:pillar100,3
1031,woodShapes:plateRamp,2
1193,woodShapes:stairsFilledQuarterVerticalUV,6
1251,woodShapes:stairsFilledQuarterCrown,7
1345,woodShapes:cubeBaseboard,21
1349,woodShapes:cubeBaseboard2Sided,15
1350,woodShapes:cubeBaseboard3Sided,38
1351,woodShapes:cubeBaseboard4Sided,56
1354,woodShapes:halfCornerBaseboard4Sided,8
1364,woodShapes:cubeHalfBaseboard3Sided,7
1365,woodShapes:halfBaseboard4Sided,27
1373,woodShapes:cubeBaseboardChairRail4Sided,4
1402,woodShapes:counterBottomFiller,11
1403,woodShapes:counterRound1m,12
1691,woodShapes:halfCrown,11
1697,woodShapes:halfCrownCorner1,1
1698,woodShapes:halfCrownCorner2,4
1701,woodShapes:halfCrownCorner5,7
1702,woodShapes:halfCrownCorner6,7
1703,woodShapes:halfCrownCorner7,3
1711,woodShapes:crown,54
1712,woodShapes:crownStraight,319
1713,woodShapes:crownEnd,8
1716,woodShapes:crownInsideCorner,118
1728,woodShapes:doorTrim0.5m,6
2053,woodShapes:windowBoarded,3
2059,woodShapes:windowPanel,26
2160,woodShapes:woodDebris01,2
2162,woodShapes:woodDebris03,3
2165,woodShapes:shantywall03,1
2177,woodShapes:sawhorse,1
2226,woodShapes:coffeeTable,1
2227,woodShapes:table,7
2228,woodShapes:tableDynamic,24
2229,woodShapes:tableDynamicHalf,7
2242,woodShapes:buffetCounter,6
2246,woodShapes:counterHollowFront,9
2254,woodShapes:counterWallMount,7
2255,woodShapes:counterWallMountRound,24
2256,woodShapes:counterWallMountSquare,7
2259,woodShapes:cubeBookcase,1
2278,woodShapes:tvStand04,14
2279,woodShapes:tvStand05,14
2298,woodShapes:ladderSquare,3
2312,woodShapes:fence,2
7051,concreteShapes:cube,10769
7054,concreteShapes:cubeThreeQuarter,64
7060,concreteShapes:cubeHalfCorner,16
7066,concreteShapes:cubeHalf,1456
7074,concreteShapes:cubeCornerBeveled,52
7080,concreteShapes:cubeCornerArch,16
7083,concreteShapes:halfBlockPoleQuarter,13
7085,concreteShapes:halfQuarterPost,16
7089,concreteShapes:cubeQuarter,123
7090,concreteShapes:cubeQuarterCenter,16
7175,concreteShapes:plate,2
7204,concreteShapes:plateThreeQuarter,2
7205,concreteShapes:plateHalf,11
7239,concreteShapes:billboard,1
7283,concreteShapes:halfBlockPillar50,2
7498,concreteShapes:ramp,199
7499,concreteShapes:cubeHalfRamp,76
7528,concreteShapes:rampSplitLeft04,1
7534,concreteShapes:wedge60,2
7643,concreteShapes:cubeHalfWedge60BevelLeft,6
7644,concreteShapes:cubeHalfWedge60BevelRight,6
7651,concreteShapes:wedge60TipHalfLeft,6
7652,concreteShapes:wedge60TipHalfRight,6
7663,concreteShapes:wedgeNarrowHigh,15
7664,concreteShapes:wedgeNarrowMid,15
7665,concreteShapes:wedgeNarrowLow,15
7666,concreteShapes:wedgeNarrowTip,15
7795,concreteShapes:halfRampStairs50,40
7796,concreteShapes:halfRampStairs50Filler,18
7797,concreteShapes:rampIncline,42
7798,concreteShapes:rampInclineFiller,133
7985,concreteShapes:stairsFilledQuarterVerticalUV,6
7986,concreteShapes:stairsFilledVerticalUV,43
7999,concreteShapes:stairsFilledRailingLeft,10
8000,concreteShapes:stairsFilledRailingRight,9
8007,concreteShapes:stairsHollow,40
8008,concreteShapes:stairsHollowRailingLeft,10
8009,concreteShapes:stairsHollowRailingRight,8
8010,concreteShapes:stairsHollowRailingMetalLeft,5
8011,concreteShapes:stairsHollowRailingMetalRight,8
8023,concreteShapes:wedgeTipStairs,12
8032,concreteShapes:wedgeStairs,12
8050,concreteShapes:stairsHollowRailingMetalFillerLeft,3
8051,concreteShapes:stairsHollowRailingMetalFillerRight,5
8087,concreteShapes:wedgeNarrowHighLeftTrim2SidedRail,1
8089,concreteShapes:wedgeNarrowMidLeftTrim2SidedRail,1
8090,concreteShapes:wedgeNarrowLowLeftTrim2SidedRail,1
8092,concreteShapes:wedgeNarrowTipLeftTrim2SidedRailEnd,1
8137,concreteShapes:cubeBaseboard,354
8141,concreteShapes:cubeBaseboard2Sided,45
8142,concreteShapes:cubeBaseboard3Sided,8
8143,concreteShapes:cubeBaseboard4Sided,85
8153,concreteShapes:halfBaseboardOffset,72
8157,concreteShapes:halfBaseboard4Sided,33
8162,concreteShapes:cubeBaseboardChairRail,186
8163,concreteShapes:cubeBaseboardChairRail2Sided,64
8164,concreteShapes:cubeBaseboardChairRail3Sided,12
8165,concreteShapes:cubeBaseboardChairRail4Sided,13
8168,concreteShapes:halfCornerChairRail4Sided,3
8172,concreteShapes:halfChairRail,18
8173,concreteShapes:halfChairRailOffset,20
8176,concreteShapes:cubeHalfBaseboardChairRail3Sided,16
8177,concreteShapes:halfChairRail4Sided,20
8180,concreteShapes:cubeQuarterBaseboardChairRail4Sided,5
8182,concreteShapes:rampBaseboard,44
8183,concreteShapes:rampBaseboardChairRail,54
8184,concreteShapes:rampBaseboard3Sided,20
8203,concreteShapes:cubeTrimHalfSplit,75
8222,concreteShapes:cubeTrimTriangle,4
8224,concreteShapes:cubeTrimTriangleInverted,2
8225,concreteShapes:cubeTrimTriangleInvertedTwoSided,2
8226,concreteShapes:cubeTrimChevron,6
8233,concreteShapes:cubeTrimDiagonalHalf,4
8273,concreteShapes:cubeTrimQuarterEdge,7
8275,concreteShapes:halfTrimQuarterEdge,66
8284,concreteShapes:cubeHalfTrimQuarter2SidedOffset,3
8286,concreteShapes:cubeTrimQuarterCenter,4
8289,concreteShapes:cubeTrimQuarterCenteredFloorTransition,20
8308,concreteShapes:cubeTrimQuarterCornerInside,8
8311,concreteShapes:cubeTrimQuarterCornerInside2,2
8313,concreteShapes:cubeHalfTrimQuarterCornerInside2Offset,2
8321,concreteShapes:cubeTrimQuarterCornerInsideTriangle,13
8327,concreteShapes:cubeTrimQuarterDiagonal2,2
8330,concreteShapes:cubeTrimQuarterDiagonalCorner,2
