id,name,count
2,terrainFiller,1569
5,terrDirt,128
16,terrGravel,54
259,woodShapes:cube,986
269,woodShapes:cubeHalfCorner2,4
274,woodShapes:cubeHalf,253
291,woodShapes:cubeQuarter,4
310,woodShapes:pole,59
312,woodShapes:poleSideCentered,13
325,woodShapes:poleSquareBracketCorner,10
328,woodShapes:poleSquareBracketLeft,3
329,woodShapes:poleSquareBracketRight,3
349,woodShapes:corniceBracketHalfCentered,7
375,woodShapes:plate,43
391,woodShapes:plateHalfThreeSided,1
405,woodShapes:plateHalf,11
406,woodShapes:plateHalfCentered,2
415,woodShapes:platePole,1
419,woodShapes:platePoleCorner,22
437,woodShapes:billboardQuarterTrim,1
438,woodShapes:billboardHalf,5
439,woodShapes:billboard,5
441,woodShapes:billboard2m,2
689,woodShapes:plateQuarterRoundOutside,4
694,woodShapes:ramp,59
716,woodShapes:rampSplitLeft01,4
717,woodShapes:rampSplitRight01,4
728,woodShapes:wedge60,150
729,woodShapes:wedge60Tip,655
730,woodShapes:wedge60TipHalf,36
733,woodShapes:wedge60TipHalfCornerLeft,1
734,woodShapes:wedge60TipHalfCornerRight,1
741,woodShapes:wedge60Incline,274
745,woodShapes:wedge60SplitInclineLeft,2
746,woodShapes:wedge60SplitInclineRight,2
747,woodShapes:wedge60SplitInclineLeft02,10
748,woodShapes:wedge60SplitInclineRight02,10
772,woodShapes:wedgeInclineCornerTop,4
773,woodShapes:wedgeInclineCornerTop2,2
775,woodShapes:rampInclineHalfLeft,1
776,woodShapes:rampInclineHalfRight,2
785,woodShapes:wedge60TipRampInclineHalfFillerLeft,1
795,woodShapes:rampSplitWedge60TipLeft,1
801,woodShapes:wedge60SplitLeft03,5
802,woodShapes:wedge60SplitRight03,5
805,woodShapes:wedge60SplitLeft05,18
806,woodShapes:wedge60SplitRight05,15
807,woodShapes:wedge60SplitLeft06,9
808,woodShapes:wedge60SplitRight06,7
827,woodShapes:wedge60InclineHalfLeft,24
828,woodShapes:wedge60InclineHalfRight,21
831,woodShapes:wedge60TipHalfLeft,46
832,woodShapes:wedge60TipHalfRight,36
837,woodShapes:wedge60TipCornerTop,4
838,woodShapes:wedgeInsideCornerBase,10
839,woodShapes:wedgeInsideCornerTop,2
898,woodShapes:wedgeTipFull,14
924,woodShapes:gable1mHalf,1
954,woodShapes:gableInvertedSteep,13
955,woodShapes:gableInvertedSteepHalf,1
978,woodShapes:rampInclineFillerHalfLeft,4
979,woodShapes:rampInclineFillerHalfRight,1
988,woodShapes:plateDiagonal,2
991,woodShapes:plateDiagonalFiller,14
1074,woodShapes:slopePlate04,2
1119,woodShapes:poleSquareSideCenteredPillar0.025,5
1126,woodShapes:wedge60TipPillar0.025,1
1136,woodShapes:stairsFilledQuarterVerticalUV,28
1137,woodShapes:stairsFilledVerticalUV,5
1151,woodShapes:stairsFilledRailingRight,5
1181,woodShapes:stairsFilledQuarterCrown,1
1184,woodShapes:railingFloatLeft,5
1263,woodShapes:railingBroke01,4
1273,woodShapes:cubeBaseboard,2
1302,woodShapes:cubeHalfBaseboardChairRail2SidedLeft,1
1303,woodShapes:cubeHalfBaseboardChairRail2SidedRight,1
1305,woodShapes:halfChairRail4Sided,1
1329,woodShapes:cubeTrimHalfSplit,12
1332,woodShapes:halfTrimSplit,7
