id,name,count
2,terrainFiller,8970
5,terrDirt,940
14,terrDestroyedStone,23
16,terrGravel,522
17,terrAsphalt,9
259,woodShapes:cube,732
262,woodShapes:cubeThreeQuarter,12
265,woodShapes:cube1mHoleFilledCentered,2
268,woodShapes:cubeHalfCorner,80
274,woodShapes:cubeHalf,192
282,woodShapes:cubeCornerBeveled,2
297,woodShapes:cubeQuarter,3
316,woodShapes:pole,16
319,woodShapes:poleHalf,2
359,woodShapes:poleSquareCircle,2
362,woodShapes:polePlateHalf,113
376,woodShapes:cubeQuarterCenteredSquareTop,2
380,woodShapes:cubeHalfPlateCorner2,11
383,woodShapes:plate,38
412,woodShapes:plateThreeQuarter,6
413,woodShapes:plateHalf,22
468,woodShapes:pillar50,2
470,woodShapes:pillar50Corner,2
485,woodShapes:pillar50CenteredSquareTop,2
487,woodShapes:pillar50CornerSquareTop,2
488,woodShapes:pillar50CornerSquareBottom,2
706,woodShapes:ramp,2
742,woodShapes:wedge60,76
743,woodShapes:wedge60Tip,113
750,woodShapes:wedge60TipCorner,2
755,woodShapes:wedge60Incline,20
957,woodShapes:gable3Quarter,4
960,woodShapes:gable3QuarterFull,10
965,woodShapes:gablePlate,2
966,woodShapes:gablePlateHalf,2
1006,woodShapes:rampInclineFiller,2
1054,woodShapes:plateWedge60Tip,40
1055,woodShapes:plateWedge60TipHalfLeft,8
1056,woodShapes:plateWedge60TipHalfRight,7
1061,woodShapes:plateWedge60Incline,4
1062,woodShapes:plateWedge60InclineHalfLeft,6
1063,woodShapes:plateWedge60InclineHalfRight,6
1065,woodShapes:plateWedge60FillerHalfLeft,5
1066,woodShapes:plateWedge60FillerHalfRight,6
1081,woodShapes:plateWedge60TipOutsideCorner,4
1112,woodShapes:slopePlate01,3
1164,woodShapes:ramp8m01,6
1165,woodShapes:ramp8m02,6
1166,woodShapes:ramp8m03,6
1167,woodShapes:ramp8m04,6
1168,woodShapes:ramp8m05,6
1169,woodShapes:ramp8m06,6
1170,woodShapes:ramp8m07,6
1171,woodShapes:ramp8m08,6
1189,woodShapes:gablePlatePillar0.025,1
1208,woodShapes:stairsFilledRailingRight,1
1217,woodShapes:stairsHollowRailingRight,4
1251,woodShapes:stairsFilledQuarterCrown,2
1332,woodShapes:railing,3
1345,woodShapes:cubeBaseboard,56
1349,woodShapes:cubeBaseboard2Sided,4
1350,woodShapes:cubeBaseboard3Sided,11
1351,woodShapes:cubeBaseboard4Sided,8
1354,woodShapes:halfCornerBaseboard4Sided,1
1360,woodShapes:halfBaseboard,10
1361,woodShapes:halfBaseboardOffset,4
1365,woodShapes:halfBaseboard4Sided,6
1411,woodShapes:cubeTrimHalfSplit,5
1426,woodShapes:cubeTrimCornerQuarter,1
1497,woodShapes:cubeTrimQuarterCenteredFloorTransition,9
1500,woodShapes:cubeTrimCircle,2
1509,woodShapes:cubeTrimQuarterSquare,1
1691,woodShapes:halfCrown,6
1692,woodShapes:cubeHalfCrownTrim,3
1694,woodShapes:halfCrown1Left,1
1697,woodShapes:halfCrownCorner1,5
1698,woodShapes:halfCrownCorner2,5
1701,woodShapes:halfCrownCorner5,1
1711,woodShapes:crown,10
1712,woodShapes:crownStraight,85
1716,woodShapes:crownInsideCorner,29
1718,woodShapes:crownInsideCornerHalfRight,1
1726,woodShapes:doorTrimCorner,4
1728,woodShapes:doorTrim0.5m,2
1730,woodShapes:doorTrim1m,24
1734,woodShapes:doorTrim1mDouble,1
1737,woodShapes:doorTrimTop,2
1741,woodShapes:doorTrimHalfDouble,4
1744,woodShapes:doorTrimHalfSquare,8
1746,woodShapes:windowTrim,50
1747,woodShapes:windowTrimBottom,27
1820,woodShapes:windowStoreTwoSidedFull,1
1821,woodShapes:windowStoreThreeSidedFull,30
1822,woodShapes:windowStoreFourSidedFull,18
1836,woodShapes:windowStoreThreeSidedBroken,3
1837,woodShapes:windowStoreFourSidedBroken,1
1849,woodShapes:windowStoreTwoSidedEmpty,12
1850,woodShapes:windowStoreThreeSidedEmpty,1
1851,woodShapes:windowStoreFourSidedEmpty,12
1974,woodShapes:window01,1
2084,woodShapes:cubeTrimDestroyed03,2
2085,woodShapes:cubeTrimDestroyed04,2
2133,woodShapes:plateWedge60InclineDestroyed,1
2135,woodShapes:plateWedge60TipDestroyed,3
2136,woodShapes:plateWedge60TipDestroyed02,3
2153,woodShapes:sidingBurnt01,2
2154,woodShapes:sidingBurnt02,4
2155,woodShapes:sidingBurnt03,1
2159,woodShapes:sidingBurnt07,4
2160,woodShapes:woodDebris01,2
2181,woodShapes:floorJoist2,6
2233,woodShapes:prepTableCornerLeft,1
2234,woodShapes:prepTableCornerRight,1
2237,woodShapes:counterFlipDoorOpen,2
2247,woodShapes:counterHollowCombo,1
2250,woodShapes:plateCounter03,1
2259,woodShapes:cubeBookcase,1
2260,woodShapes:cubeCornerBeveledBookcaseEmpty,2
2264,woodShapes:cubeHalfBookshelfTriple,2
2265,woodShapes:bookcaseEmpty,20
2268,woodShapes:bookcaseHalfEmpty,5
2270,woodShapes:bookcaseQuarterEmpty,5
2272,woodShapes:bookcaseQuarterDoubleEmpty,14
2274,woodShapes:bookcaseOpenEnded,4
2275,woodShapes:tvStand01,1
2276,woodShapes:tvStand02,3
2278,woodShapes:tvStand04,1
2279,woodShapes:tvStand05,1
2302,woodShapes:trellisSquare,8
2312,woodShapes:fence,25
2315,woodShapes:fenceBroken1,5
2316,woodShapes:fenceBroken2,3
2523,brickShapes:cube,70
2538,brickShapes:cubeHalf,27
2560,brickShapes:cubeQuarterPlateCorner2,6
2644,brickShapes:cubeHalfPlateCorner2,3
2647,brickShapes:plate,2
2734,brickShapes:pillar50Corner,4
2751,brickShapes:pillar50CornerSquareTop,2
2752,brickShapes:pillar50CornerSquareBottom,2
2965,brickShapes:plateQuarterRoundOutside,2
3006,brickShapes:wedge60,2
3095,brickShapes:wedge60SplitLeft05,1
3115,brickShapes:cubeHalfWedge60BevelLeft,1
3116,brickShapes:cubeHalfWedge60BevelRight,1
3123,brickShapes:wedge60TipHalfLeft,1
3124,brickShapes:wedge60TipHalfRight,1
3268,brickShapes:halfRampStairs50Filler,2
3609,brickShapes:cubeBaseboard,15
3614,brickShapes:cubeBaseboard3Sided,2
3624,brickShapes:halfBaseboard,10
3678,brickShapes:halfTrimSplit,2
3761,brickShapes:cubeTrimQuarterCenteredFloorTransition,3
3955,brickShapes:halfCrown,4
3956,brickShapes:cubeHalfCrownTrim,7
3961,brickShapes:halfCrownCorner1,3
3962,brickShapes:halfCrownCorner2,3
4010,brickShapes:windowTrim,20
4011,brickShapes:windowTrimBottom,14
4013,brickShapes:windowTrimTop,1
4014,brickShapes:windowTrimTopLeft,4
4015,brickShapes:windowTrimTopMiddle,4
4016,brickShapes:windowTrimTopRight,4
4301,brickShapes:cubeHalfWindowTopRound,1
4329,brickShapes:brickDestroyed02,5
4522,brickShapes:cubeHollow,1
4603,brickShapes:plateSidewalkCrooked,2
4604,brickShapes:plateSidewalkBroke01,4
4605,brickShapes:plateSidewalkBroke02,1
4606,brickShapes:plateSidewalkBroke03,1
4607,brickShapes:plateSidewalkBroke04,1
8521,concreteShapes:doorTrim0.6m,4
8523,concreteShapes:doorTrim1mOffCenter,2
9330,steelShapes:cubeHalf,11
9503,steelShapes:billboard,10
10062,steelShapes:rampInclineFiller,12
11764,awningShapes:billboardQuarter,1
11765,awningShapes:billboardQuarterTrim,1
11766,awningShapes:billboardHalf,2
13858,corrugatedMetalShapes:cubeHalf,17
13881,corrugatedMetalShapes:cubeQuarter,14
13890,corrugatedMetalShapes:quarterTeeCentered,1
13900,corrugatedMetalShapes:pole,14
13902,corrugatedMetalShapes:poleSideCentered,4
13903,corrugatedMetalShapes:poleHalf,2
13915,corrugatedMetalShapes:poleSquareSideCenteredCornerBracket,1
13916,corrugatedMetalShapes:poleSquareCornerBracketRight,2
13929,corrugatedMetalShapes:cubePoleCorner,2
13951,corrugatedMetalShapes:polePlate,2
13964,corrugatedMetalShapes:cubeHalfPlateCorner2,4
13967,corrugatedMetalShapes:plate,181
13980,corrugatedMetalShapes:plateCornerHalfTop,1
13997,corrugatedMetalShapes:plateHalf,10
14012,corrugatedMetalShapes:platePoleCorner2,15
14014,corrugatedMetalShapes:poleTwoWayPlate2,22
14039,corrugatedMetalShapes:pillar100,2
14043,corrugatedMetalShapes:halfPillar1m,1
14051,corrugatedMetalShapes:pillar100Cap,2
14065,corrugatedMetalShapes:logsQuarter,2
14068,corrugatedMetalShapes:pillar50CornerPlate,2
14070,corrugatedMetalShapes:pillar50CenteredSquareBottom,9
14074,corrugatedMetalShapes:cubeHalfBottomPole1mTop,2
14075,corrugatedMetalShapes:halfBlockPillar50,12
14076,corrugatedMetalShapes:pillar50Plate,6
14085,corrugatedMetalShapes:pillar0.025Middle,4
14086,corrugatedMetalShapes:pillar0.025MiddleHalf,2
14119,corrugatedMetalShapes:pipeThinCornerDown,2
14591,corrugatedMetalShapes:rampInclineFillerHalfLeft,7
14592,corrugatedMetalShapes:rampInclineFillerHalfRight,7
14593,corrugatedMetalShapes:rampInclineInsideCnrFiller,12
14769,corrugatedMetalShapes:pillar50PlatePillar0.025,1
14770,corrugatedMetalShapes:pillar50PlatePillar0.05,4
14815,corrugatedMetalShapes:wedgeTipStairs,1
15009,corrugatedMetalShapes:cubeHalfCornerTrimHalfEdge,3
15310,corrugatedMetalShapes:doorTrimCorner,8
15314,corrugatedMetalShapes:doorTrim1m,73
15330,corrugatedMetalShapes:windowTrim,18
15404,corrugatedMetalShapes:windowStoreTwoSidedFull,1
15405,corrugatedMetalShapes:windowStoreThreeSidedFull,4
15432,corrugatedMetalShapes:windowStoreOneSidedEmpty,18
15498,corrugatedMetalShapes:windowPlateRoundedSquare4SidedHalfWidthFull,1
15505,corrugatedMetalShapes:windowPlateRoundedSquare3SidedFull,4
15506,corrugatedMetalShapes:windowPlateRoundedSquare4SidedFull,1
15533,corrugatedMetalShapes:windowPlateRoundedSquare3SidedEmpty,2
15765,corrugatedMetalShapes:floorJoist2,8
15769,corrugatedMetalShapes:iBeamSmall,42
15770,corrugatedMetalShapes:iBeam,99
15784,corrugatedMetalShapes:bracket,2
15789,corrugatedMetalShapes:trussingUncentered,2
15814,corrugatedMetalShapes:prepTable,1
15849,corrugatedMetalShapes:bookcaseEmpty,2
15851,corrugatedMetalShapes:bookcaseFull,1
15858,corrugatedMetalShapes:bookcaseOpenEnded,1
15874,corrugatedMetalShapes:verticalBlindsBottomOpen,3
15879,corrugatedMetalShapes:ladderRound,1
16062,corrugatedMetalShapes:signLetter_a,1
16065,corrugatedMetalShapes:signLetter_d,2
16066,corrugatedMetalShapes:signLetter_e,1
16070,corrugatedMetalShapes:signLetter_i,1
16073,corrugatedMetalShapes:signLetter_l,1
16076,corrugatedMetalShapes:signLetter_o,1
16084,corrugatedMetalShapes:signLetter_w,1
18603,cntAmmoPileSmall,2
18613,cntMedicLootPileA,1
18624,cntShippingCrateShamway,1
18645,cntLootChestHeroInsecureT1,1
18665,cntQuestInfestedT1LootHelper,1
18714,cntFootlockerBrownRandomLootHelper,1
18716,cntFootlockerOrangeRandomLootHelper,1
18724,cntCabinetBottomFiller,1
18725,cntCabinetBottomRandomLootHelper,2
18731,cntCounterHollowCabinetRandomLootHelper,1
18733,cntCupboardCabinetRedTopLootHelper,7
18736,cntCupboardCornerCNRRed,1
18757,sinkKitchen,1
18758,pedestalSink,3
18759,wallMountSinkCommercial,1
18767,showerHead02,2
18768,showerHandle01,2
18769,cntBathTubEmpty,2
18774,cntToilet02,3
18775,cntToilet03,1
18791,cntMedicineCabinetClosedRandomLootHelper,1
18792,wallMirror,1
18794,wallMirrorRandomHelper,1
18816,cntbasketLaundryWhiteRandomLootHelper,1
18829,laundryPileLong,1
18830,laundryLoose,1
18843,garbage_decor1,2
18844,garbage_decor2,2
18845,garbage_decor3,3
18883,cntBinTrashMetalWhiteRandomLootHelper,1
18915,cntBinTrashPlasticGreyRandomLootHelper,1
18941,cntTiltTruckRandomLootHelper,1
19014,cntLuggagePileBClosed,1
19017,cntSportsBag01RandomLootHelper,1
19138,commercialDistributionBox,1
19144,conduit01,1
19160,keyRackWood01,1
19217,cntFridgeStainlessSteelRandomLootHelper,1
19223,hoodRangeWhiteOffset,1
19236,cntgasRangeGrey,1
19242,cntwallOvenFullGrey,1
19269,cntDishwasherWhiteRandomLootHelper,1
19276,cntWasherRandomLootHelper,1
19280,cntDryerRandomLootHelper,1
19292,cntMicrowaveRandomLootHelper,1
19302,cntCoffeeMaker,2
19317,decoComputerMonitorKeyboardMousePC,1
