id,name,count
2,terrainFiller,1147
16,terrGravel,113
17,terrAsphalt,227
259,woodShapes:cube,514
274,woodShapes:cubeHalf,56
298,woodShapes:cubeQuarterCenter,4
376,woodShapes:cubeQuarterCenteredSquareTop,8
383,woodShapes:plate,5
438,woodShapes:arrowSlitQuarter,1
686,woodShapes:cornerRound,1
703,woodShapes:rampFrame,1
704,woodShapes:ramp,109
739,woodShapes:wedge60,62
740,woodShapes:wedge60Tip,111
741,woodShapes:wedge60TipHalf,38
742,woodShapes:wedge60TipHalfOutsideCorner,4
746,woodShapes:wedge60Corner,4
747,woodShapes:wedge60TipCorner,8
749,woodShapes:wedge60InsideCorner,7
752,woodShapes:wedge60Incline,48
764,woodShapes:wedge60InclineCorner,4
790,woodShapes:rampInclineHalfLeft,5
791,woodShapes:rampInclineHalfRight,6
923,woodShapes:wedgeTipHalf,10
937,woodShapes:wedgeTipQuarter,10
945,woodShapes:gableHalf,1
978,woodShapes:gableWedge60CubeHalf,2
998,woodShapes:rampInclineFillerHalfLeft,4
999,woodShapes:rampInclineFillerHalfRight,4
1196,woodShapes:stairsRailing,4
1198,woodShapes:stairsFilledRailingLeft,1
1199,woodShapes:stairsFilledRailingRight,5
1249,woodShapes:catwalkV1Corner,1
1318,woodShapes:railing,7
1569,woodShapes:cubeTrimQuarterEdgeTwoSided,38
1674,woodShapes:crown,37
1679,woodShapes:crownInsideCorner,15
1693,woodShapes:doorTrim1m,6
1709,woodShapes:windowTrim,40
1710,woodShapes:windowTrimBottom,26
1711,woodShapes:windowTrimSides,18
2089,woodShapes:woodDebris01,2
2090,woodShapes:woodDebris02,1
2091,woodShapes:woodDebris03,1
2156,woodShapes:table,1
2175,woodShapes:counterHollowFront,1
2205,woodShapes:tvStand03,1
2206,woodShapes:tvStand04,1
2207,woodShapes:tvStand05,1
2240,woodShapes:fence,20
2243,woodShapes:fenceBroken1,9
2244,woodShapes:fenceBroken2,9
6814,concreteShapes:cube,288
6829,concreteShapes:cubeHalf,11
13608,corrugatedMetalShapes:pillar0.025Centered,1
14286,corrugatedMetalShapes:pillar50PlatePillar0.025,1
15018,corrugatedMetalShapes:window01,15
15019,corrugatedMetalShapes:window01Broken,14
17933,cntWeaponsBagSmall,1
17940,cntAmmoPileSmall,1
17957,cntFoodPileSmallRandomHelper,1
17964,cntShippingCrateCarParts,1
17982,cntLootChestHeroInsecureT1,1
18001,cntQuestInfestedT1LootHelper,1
18067,cntCabinetBottomFiller,5
18075,cntCabinetGraniteSinkHoleRound,1
18082,cntCabinetOldBottomLootHelper,7
18088,cntCounterHollowCabinetOldRandomLootHelper,1
18090,cntCupboardCabinetOldTopLootHelper,4
18093,cntCupboardCornerCNROld,1
18100,sinkKitchen,1
18104,counterMountedSinkCommercialOffset,1
18109,showerHead,1
18114,cntBathTubsRandomLootHelper,1
18116,cntToilet01,1
18134,cntMedicineCabinetClosedRandomLootHelper,1
18183,garbage_decor1,3
18184,garbage_decor2,3
18185,garbage_decor3,2
18194,cntbinTrashRollingBrown,1
18236,cntBinTrashPlasticBlackRandomLootHelper,1
18247,cntBruteStyleTrashCanRandomLootHelper,1
18289,cntCoolerRandomLootHelper,1
18347,airConditioner,1
18453,breakerBoxWallOpen,1
18454,residentialSingleMeterDisconnect,1
18466,conduitSingleCentered,1
18477,keyRackWood01,1
18529,cntRetroFridgeRandomLootHelper,1
18534,hoodRangeWhite,1
18550,cntStoveRandomLootHelper,1
18567,cntGasGrillRandomLootHelper,1
18608,cntMicrowaveRandomLootHelper,1
18614,cntMiniBeverageCoolerUnderCounterRandomLootHelper,1
18615,cntToaster,1
18616,cntCoffeeMaker,1
18646,tvSmallStand1x1,1
18668,lightWallGooseneckBrown,3
18694,recessedLight,4
18698,lightCeiling07,1
18774,ceilingFanLight,1
18780,endTableLamp,1
18792,deskLampLight02Brown,1
18825,tableLampLight01TippedOverBrown,1
18835,workLightPOI,1
19412,pictureSmallRandomHelper,3
19486,decoCarTireSmallFlat,1
19489,decoCarTireStack,1
19599,palletBrownBoxesTile,1
19600,palletBrownBoxesTop,1
19658,palletTarpTileRandomHelper,1
19698,palletBagConcreteBaseMed,1
19861,plantHouseTallPottedBrown,2
19957,exteriorHouseDoorWhite,4
20049,interiorHouseDoorWhite,3
20290,woodenGarageDoor3x3White,2
20534,curtainDrapesFullTopBrown,7
20545,curtainDrapesFullTileBrown,3
20556,curtainDrapesFullBottomBrown,7
20821,cntMailBox03White,1
20947,cntNightstandRandomLootHelper,1
21063,cntDeskWoodRandomLootHelper,1
21118,decoPicnicTable,1
21141,officeChair01,1
21154,woodChair1,2
21211,chairCampingYellow,2
21220,barStoolBrown,2
21237,couchUglySingleBrown,2
21259,couchUglyLargeBrown,1
21375,decoPoolTable,1
21379,decoLargePetCage,1
21403,bed02,1
21685,cntStoreShelfSingleBottomEmpty,3
21880,cntBookcaseEmpty,3
21882,cntBookcaseGoodRandomLootHelper,2
22123,cntFileCabinetTallRandomLootHelper,1
22276,decoHandTruck,1
22357,burntWoodBlock2,2
22619,tankPropaneWhite,1
22637,signNeonColdBeer,1
22962,carsRandomHelper,1
23432,treeSmallRandomHelper,6
23553,questRallyMarker,1
23561,sleeperSit,4
23562,sleeperBack,2
23565,sleeperStomach,1
23566,sleeperIdle,4
23576,sleeperZombieDogAnimal,1
23578,infestedSleeperSit,3
23580,infestedSleeperSideLeft,4
23581,infestedSleeperSideRight,1
23582,infestedSleeperStomach,2
23583,infestedSleeperIdle,4
23591,infestedSleeperZombieDogAnimal,1
